"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-02-19","15:45:00",6850.09,"1 Mar 6 6660 P STO 45.65 | 1 Mar 6 6995 C STO 28.95 | 1 Mar 30 6675 P BTO 92.35 | 1 Mar 30 7025 C BTO 63.95",-8190,6740.02,"2026-03-06","16:00:00",-15595,"Expired",7397.88,90.32820512820513,1,3513485.08,11190,"",7.12,0.477,0.001,-19.97,-11.25,94.32,-1.28
"2026-02-19","15:30:00",6845.55,"1 Mar 6 6655 P STO 45.75 | 1 Mar 6 6990 C STO 29.30 | 1 Mar 30 6675 P BTO 93.55 | 1 Mar 30 7025 C BTO 62.10",-8080,6740.02,"2026-03-06","16:00:00",-15595,"Expired",7507.88,92.91930693069307,1,3520992.96,11580,"",7.12,0.482,0.001,-19.97,-15.79,96.97,-4.15
"2026-02-19","15:00:00",6842.56,"1 Mar 6 6650 P STO 46.40 | 1 Mar 6 6990 C STO 28.80 | 1 Mar 30 6650 P BTO 89.95 | 1 Mar 30 7025 C BTO 61.40",-7635,6740.02,"2026-03-06","16:00:00",-14870,"Expired",7227.88,94.66771447282252,1,3528220.84,11135,"",7.12,0.497,0.001,-19.97,-18.78,98.62,-1.18
"2026-02-19","14:30:00",6849.38,"1 Mar 6 6660 P STO 46.30 | 1 Mar 6 6995 C STO 28.80 | 1 Mar 30 6675 P BTO 92.75 | 1 Mar 30 7025 C BTO 63.50",-8135,6740.02,"2026-03-06","16:00:00",-15595,"Expired",7452.88,91.61499692685925,1,3535673.72,11135,"",7.12,0.481,0.001,-19.97,-11.96,95.64,-0.61
"2026-02-19","14:00:00",6854.41,"1 Mar 6 6670 P STO 45.95 | 1 Mar 6 7000 C STO 27.55 | 1 Mar 30 6675 P BTO 90.40 | 1 Mar 30 7025 C BTO 64.05",-8115,6740.02,"2026-03-06","16:00:00",-15595,"Expired",7472.88,92.08724584103513,1,3543146.6,10615,"",7.12,0.476,0.001,-19.97,-6.93,96.06,-0.37
"2026-02-19","13:30:00",6841.15,"1 Mar 6 6650 P STO 47.05 | 1 Mar 6 6990 C STO 29.10 | 1 Mar 30 6650 P BTO 90.55 | 1 Mar 30 7025 C BTO 61.35",-7595,6740.02,"2026-03-06","16:00:00",-14870,"Expired",7267.88,95.69295589203423,1,3550414.48,11095,"",7.12,0.501,0.001,-19.97,-20.19,99.67,-0.66
"2026-02-19","13:00:00",6841.03,"1 Mar 6 6650 P STO 46.80 | 1 Mar 6 6990 C STO 29.30 | 1 Mar 30 6650 P BTO 90.20 | 1 Mar 30 7025 C BTO 61.65",-7595,6740.02,"2026-03-06","16:00:00",-14870,"Expired",7267.88,95.69295589203423,1,3557682.36,11095,"",7.12,0.501,0.001,-19.97,-20.31,99.67,-0.86
"2026-02-19","12:30:00",6856.33,"1 Mar 6 6670 P STO 45.10 | 1 Mar 6 7000 C STO 28.60 | 1 Mar 30 6675 P BTO 89.60 | 1 Mar 30 7025 C BTO 65.45",-8155,6740.02,"2026-03-06","16:00:00",-15595,"Expired",7432.88,91.1450643776824,1,3565115.24,10655,"",7.12,0.475,0.001,-19.97,-5.01,95.1,-1.9
"2026-02-19","12:00:00",6852.52,"1 Mar 6 6665 P STO 46.05 | 1 Mar 6 7000 C STO 28.10 | 1 Mar 30 6675 P BTO 91.50 | 1 Mar 30 7025 C BTO 64.60",-8215,6740.02,"2026-03-06","16:00:00",-15595,"Expired",7372.88,89.74899573950091,1,3572488.12,10715,"",7.12,0.475,0.001,-19.97,-8.82,93.67,-3.1
"2026-02-19","11:30:00",6858.63,"1 Mar 6 6675 P STO 45.85 | 1 Mar 6 7005 C STO 27.65 | 1 Mar 30 6675 P BTO 89.30 | 1 Mar 30 7050 C BTO 56.00",-7200,6740.02,"2026-03-06","16:00:00",-15010,"Expired",7802.88,108.37333333333335,1,3580291,11700,"",7.12,0.506,0.001,-19.97,-2.71,112.99,-2.43
