"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-01-28","09:45:00",7000.57,"128 Feb 18 6890 P STO 46.15 | 128 Feb 18 7110 C STO 32.75 | 128 Feb 25 6890 P BTO 59.55 | 128 Feb 25 7125 C BTO 41.85",-2280,6791.94,"2026-02-05","10:16:00",-1905,"Above Delta",-49310.72,-16.896491228070175,128,8928865.36,483840,"",911.36,399.36,0.778,0.884,23.4,-1.43,8.33,-19.08
"2026-01-13","09:45:00",6976.48,"117 Feb 3 6880 P STO 42.55 | 117 Feb 3 7080 C STO 32.60 | 117 Feb 10 6880 P BTO 55.80 | 117 Feb 10 7100 C BTO 40.15",-2110,6938.13,"2026-02-02","09:36:00",-3125,"Below Short/Long Ratio",117556.92,47.618957345971566,117,8978176.08,480870,"",833.04,365.04,0.783,0.246,0.14,-0.93,55.21,-14.93
"2025-12-26","09:45:00",6944.68,"181 Jan 16 6855 P STO 39.85 | 181 Jan 16 7045 C STO 30.85 | 181 Jan 23 6860 P BTO 51.35 | 181 Jan 23 7050 C BTO 40.75",-2170,6921.72,"2026-01-14","15:33:00",-2495,"Below Short/Long Ratio",56971.56,14.505069124423963,181,8860619.16,483270,"",1288.72,564.72,0.768,0.247,3.97,8.66,35.48,-20.05
"2025-11-03","09:45:00",6852.91,"136 Nov 24 6730 P STO 52.25 | 136 Nov 24 6980 C STO 40.05 | 136 Dec 1 6730 P BTO 63.05 | 136 Dec 1 7000 C BTO 45.60",-1665,6657.12,"2025-11-17","14:41:00",-1620,"Above Delta",-7512.64,-3.3177177177177177,136,8803647.6,498440,"",968.32,424.32,0.85,0.869,42.12,-29.41,15.62,-17.72
"2025-10-31","09:45:00",6854.12,"210 Nov 21 6735 P STO 51.55 | 210 Nov 21 6980 C STO 39.70 | 210 Nov 28 6735 P BTO 62.30 | 210 Nov 28 6980 C BTO 52.40",-2375,6631.44,"2025-11-07","12:08:00",-1485,"Above Delta",-189050.4,-37.90484210526316,210,8898751.04,498750,"",1495.2,655.2,0.796,0.91,56.83,-25.05,5.26,-38.53
"2025-10-30","09:45:00",6845.75,"170 Nov 20 6725 P STO 50.90 | 170 Nov 20 6970 C STO 38.35 | 170 Nov 28 6725 P BTO 63.60 | 170 Nov 28 6970 C BTO 54.70",-2935,6668.62,"2025-11-17","14:27:00",-2430,"Above Delta",-87590.8,-17.55502555366269,170,8811160.24,498950,"",1210.4,530.4,0.754,0.78,-30.09,-14.75,10.9,-32.54
"2025-10-10","09:45:00",6758.68,"162 Oct 31 6650 P STO 46.50 | 162 Oct 31 6875 C STO 33.25 | 162 Nov 7 6650 P BTO 58.05 | 162 Nov 7 6875 C BTO 48.20",-2680,6919.75,"2025-10-29","10:00:00",-3040,"Below Delta",56661.12,13.050746268656715,162,9087801.44,434160,"",1153.44,505.44,0.751,0.71,5.38,18.19,15.3,-36.94
"2025-10-09","09:45:00",6750.78,"146 Oct 30 6650 P STO 46.60 | 146 Oct 30 6870 C STO 32.20 | 146 Nov 6 6650 P BTO 58.35 | 146 Nov 6 6875 C BTO 44.80",-2465,6901.68,"2025-10-28","14:16:00",-2825,"Below Delta",51064.96,14.189046653144016,146,9031140.32,432890,"",1039.52,455.52,0.764,0.66,6.78,-9.72,29.82,-32.86
"2025-10-08","09:45:00",6720.98,"118 Oct 29 6610 P STO 46.80 | 118 Oct 29 6840 C STO 33.20 | 118 Nov 5 6610 P BTO 60.40 | 118 Nov 5 6850 C BTO 46.00",-2670,6862.78,"2025-10-27","14:37:00",-3115,"Below Delta",51301.68,16.28314606741573,118,8980075.36,433060,"",840.16,368.16,0.752,0.556,9.28,-2.89,37.83,-20.79
"2025-10-01","09:45:00",6678.08,"116 Oct 22 6575 P STO 43.95 | 116 Oct 22 6790 C STO 31.85 | 116 Oct 29 6575 P BTO 56.65 | 116 Oct 29 6800 C BTO 43.35",-2450,6704.31,"2025-10-20","09:32:00",-4375,"Below Short/Long Ratio",222112.16,78.15346938775511,116,8928773.68,400200,"",825.92,361.92,0.758,0.187,-23.54,13.16,99.18,-2.86
"2025-09-30","09:45:00",6655.97,"113 Oct 21 6560 P STO 43.00 | 113 Oct 21 6760 C STO 33.30 | 113 Oct 28 6560 P BTO 54.60 | 113 Oct 28 6775 C BTO 41.90",-2050,6675.7,"2025-10-17","15:15:00",-4795,"Below Short/Long Ratio",309027.88,133.4029268292683,113,8706661.52,401150,"",804.56,352.56,0.791,0.249,-5.02,-0.22,148.29,-5.37
"2025-09-26","09:45:00",6636.36,"157 Oct 17 6530 P STO 44.65 | 157 Oct 17 6750 C STO 34.35 | 157 Oct 24 6530 P BTO 56.10 | 157 Oct 24 6750 C BTO 48.10",-2550,6680.21,"2025-10-15","12:03:00",-4380,"Below Short/Long Ratio",285702.32,71.36313725490197,157,8397633.64,400350,"",1117.84,489.84,0.758,0.247,10.66,20.98,78.82,-4.71
"2025-09-24","09:45:00",6661.11,"105 Oct 15 6560 P STO 46.40 | 105 Oct 15 6780 C STO 34.00 | 105 Oct 22 6560 P BTO 57.90 | 105 Oct 22 6800 C BTO 40.45",-1825,6662.84,"2025-10-13","12:56:00",-2905,"Below Short/Long Ratio",112324.8,58.61698630136986,105,8111931.32,401625,"",747.6,327.6,0.817,0.246,12.87,-8.68,77.26,-2.19
