"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-02-24","09:32:00",6824.13,"880 Feb 26 6725 P STO 22.35 | 1320 Feb 26 6915 C STO 12.40 | 880 Feb 27 6725 P BTO 30.15 | 1320 Feb 27 6915 C BTO 19.55",-3715,6907.44,"2026-02-26","15:43:00",-5630,"Exited at Specified Time",831336,50.85868102288021,440,17177704.4,1634600,"",7832,3432,0.689,0.052,21.83,18.52,-0.38,-13.24,57.47,-22.88
"2026-02-03","10:25:00",6931.42,"1082 Feb 5 6865 P STO 15.30 | 1623 Feb 5 6995 C STO 8.75 | 1082 Feb 6 6865 P BTO 21.45 | 1623 Feb 6 6995 C BTO 14.85",-3070,6811.1,"2026-02-05","09:32:00",-2570,"Above Delta",-284349.6,-17.120521172638433,541,16346368.4,1660870,"",9629.8,4219.8,0.65,0.83,17.43,21.96,9.01,-54.03,22.48,-15.96
"2026-01-13","09:49:00",6971.06,"1518 Jan 15 6925 P STO 13.25 | 2277 Jan 15 7025 C STO 5.10 | 1518 Jan 16 6925 P BTO 17.10 | 2277 Jan 16 7025 C BTO 9.75",-2175,6972.97,"2026-01-13","09:50:00",-2350,"Below VIX9D/VIX Ratio",113394.6,6.86896551724138,759,16630718,1650825,"",13510.2,5920.2,0.659,0.631,15.38,15.32,0.14,-6.35,8.51,0
"2025-12-16","09:32:00",6811.06,"1218 Dec 18 6750 P STO 14.95 | 1827 Dec 18 6880 C STO 8.45 | 1218 Dec 19 6750 P BTO 20.25 | 1827 Dec 19 6880 C BTO 14.05",-2750,6784.31,"2025-12-18","15:24:00",-2365,"Below VIX9D/VIX Ratio",-250055.4,-14.93090909090909,609,16517323.4,1674750,"",10840.2,4750.2,0.668,0.031,16.74,16.52,-16.39,10.94,28.18,-33.82
"2025-12-09","09:32:00",6842.73,"1112 Dec 11 6775 P STO 15.40 | 1668 Dec 11 6915 C STO 9.60 | 1112 Dec 12 6775 P BTO 21.40 | 1668 Dec 12 6915 C BTO 15.75",-3055,6894.92,"2025-12-11","15:43:00",-2680,"Exited at Specified Time",-222733.6,-13.112929623567924,556,16767378.8,1698580,"",9896.8,4336.8,0.662,0.015,17.14,15.11,-5.9,2.12,14.73,-44.68
"2025-11-18","09:32:00",6625.19,"968 Nov 20 6515 P STO 26.15 | 1452 Nov 20 6740 C STO 15.15 | 968 Nov 21 6515 P BTO 32.90 | 1452 Nov 21 6740 C BTO 21.35",-3220,6549.76,"2025-11-20","15:43:00",-6085,"Exited at Specified Time",1374269.6,88.18012422360249,484,16990112.4,1558480,"",8615.2,3775.2,0.753,0.031,24.13,26.44,-31.22,-16,100.62,-6.06
"2025-11-04","09:32:00",6778.86,"1180 Nov 6 6710 P STO 17.35 | 1770 Nov 6 6855 C STO 9.90 | 1180 Nov 7 6710 P BTO 22.20 | 1770 Nov 7 6855 C BTO 15.35",-2615,6736.31,"2025-11-06","15:43:00",-2930,"Exited at Specified Time",170746,11.066921606118546,590,15615842.8,1542850,"",10502,4602,0.712,0.028,18.97,19.35,-63.45,-9.66,34.99,-21.99
"2025-10-28","09:32:00",6894.82,"1146 Oct 30 6830 P STO 14.10 | 1719 Oct 30 6960 C STO 8.00 | 1146 Oct 31 6830 P BTO 19.20 | 1719 Oct 31 6960 C BTO 13.10",-2560,6829.5,"2025-10-30","15:43:00",-3930,"Exited at Specified Time",770341.2,52.515625,573,15445096.8,1466880,"",10199.4,4469.4,0.672,0.233,15.71,17.27,22.58,-2.92,57.03,-23.05
"2025-10-14","09:32:00",6588.11,"922 Oct 16 6500 P STO 20.90 | 1383 Oct 16 6675 C STO 10.85 | 922 Oct 17 6500 P BTO 27.40 | 1383 Oct 17 6675 C BTO 17.15",-3200,6721.41,"2025-10-15","10:25:00",-3030,"Below Delta",-90171.6,-6.112500000000001,461,14674755.6,1475200,"",8205.8,3595.8,0.7,0.853,21.76,19.13,-52.23,-14.38,42.19,-5
"2025-10-07","11:37:00",6707.7,"1232 Oct 9 6655 P STO 12.25 | 1848 Oct 9 6760 C STO 6.90 | 1232 Oct 10 6655 P BTO 16.60 | 1848 Oct 10 6760 C BTO 11.85",-2365,6750.55,"2025-10-08","15:15:00",-2675,"Below VIX9D/VIX Ratio",175190.4,12.02536997885835,616,14764927.2,1456840,"",10964.8,4804.8,0.657,0.513,17.14,16.43,5.86,-38.44,24.52,-4.86
"2025-09-23","13:41:00",6650.1,"1322 Sep 25 6605 P STO 11.85 | 1983 Sep 25 6700 C STO 6.20 | 1322 Sep 26 6605 P BTO 16.10 | 1983 Sep 26 6700 C BTO 10.95",-2285,6580.18,"2025-09-25","09:41:00",-1530,"Above Delta",-515976.6,-34.16192560175054,661,14589736.8,1510385,"",11765.8,5155.8,0.65,0.793,16.95,17.64,-1.31,-42.34,27.79,-32.6
"2025-09-16","09:32:00",6622.26,"1320 Sep 18 6565 P STO 12.90 | 1980 Sep 18 6680 C STO 7.55 | 1320 Sep 19 6565 P BTO 17.50 | 1980 Sep 19 6680 C BTO 12.30",-2355,6631.11,"2025-09-18","15:43:00",-1685,"Exited at Specified Time",-459096,-29.53715498938429,660,15105713.4,1554300,"",11748,5148,0.674,0.015,15.7,15.75,8.85,-1.87,52.65,-30.15
"2025-09-09","09:32:00",6503.01,"1878 Sep 11 6450 P STO 11.40 | 2817 Sep 11 6555 C STO 6.10 | 1878 Sep 12 6450 P BTO 14.30 | 2817 Sep 12 6555 C BTO 9.30",-1550,6573.96,"2025-09-11","10:34:00",-2645,"Below Delta",1004166.6,68.99354838709677,939,15564809.4,1455450,"",16714.2,7324.2,0.727,0.726,15.31,14.99,8.18,-0.32,75.48,-24.19
"2025-08-26","09:32:00",6437.86,"1374 Aug 28 6385 P STO 11.70 | 2061 Aug 28 6495 C STO 7.00 | 1374 Aug 29 6385 P BTO 15.50 | 2061 Aug 29 6495 C BTO 10.90",-1940,6500.97,"2025-08-28","14:31:00",-3735,"Below Delta",1215577.8,91.20618556701031,687,14560642.8,1332780,"",12228.6,5358.6,0.697,0.373,15.19,14.22,-3.83,2.37,93.04,-2.32
"2025-08-12","09:32:00",6398.71,"1198 Aug 14 6355 P STO 11.15 | 1797 Aug 14 6450 C STO 5.70 | 1198 Aug 15 6355 P BTO 15.90 | 1797 Aug 15 6450 C BTO 9.60",-2130,6467.56,"2025-08-14","10:40:00",-3100,"Below Delta",565695.6,44.33802816901408,599,13345065,1275870,"",10662.2,4672.2,0.65,0.671,15.33,14.71,21.72,3.54,59.15,-3.99
"2025-07-22","09:32:00",6303.35,"1328 Jul 24 6260 P STO 9.60 | 1992 Jul 24 6355 C STO 5.40 | 1328 Jul 25 6260 P BTO 13.10 | 1992 Jul 25 6355 C BTO 9.30",-1880,6368.26,"2025-07-24","09:35:00",-2350,"Below Delta",295081.6,23.638297872340424,664,12779369.4,1248320,"",11819.2,5179.2,0.654,0.686,16.85,15.12,1,-3.25,27.13,-10.11
