"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-02-24","09:32:00",601.42,"5710 Feb 26 591 P STO 2.87 | 8565 Feb 26 612 C STO 1.68 | 5710 Feb 27 591 P BTO 3.71 | 8565 Feb 27 612 C BTO 2.45",-401,606.23,"2026-02-26","12:41:00",-357,"Below Short/Long Ratio",-133043,-11.620947630922695,2855,11318628.2,1144855,"",3711.5,3711.5,0.73,0.075,21.83,19.93,0.88,-0.87,33.17,-12.97
"2026-01-20","09:32:00",610.95,"6790 Jan 22 603 P STO 2.40 | 10185 Jan 22 620 C STO 1.42 | 6790 Jan 23 603 P BTO 3.09 | 10185 Jan 23 620 C BTO 2.06",-332,622.08,"2026-01-22","12:58:00",-387,"Below Delta",177898,15.783132530120481,3395,11451671.2,1127140,"",4413.5,4413.5,0.733,0.65,19.69,15.37,-10.51,0.2,28.31,-11.75
"2025-11-18","09:32:00",598.41,"5316 Nov 20 586 P STO 3.61 | 7974 Nov 20 613 C STO 2.03 | 5316 Nov 21 586 P BTO 4.43 | 7974 Nov 21 613 C BTO 2.78",-391,588.56,"2025-11-20","13:56:00",-724,"Profit Target",878203.2,84.50127877237851,2658,11273773.2,1039278,"",3455.4,3455.4,0.774,0.346,24.13,27.45,-4.33,-0.92,90.79,-9.46
"2025-11-04","09:32:00",623.25,"6790 Nov 6 616 P STO 2.29 | 10185 Nov 6 632 C STO 1.32 | 6790 Nov 7 616 P BTO 2.91 | 10185 Nov 7 632 C BTO 1.94",-312,611.58,"2025-11-06","11:36:00",-256,"Above Delta",-198947,-18.78205128205128,3395,10395570,1059240,"",4413.5,4413.5,0.734,0.794,18.97,20.06,-8.83,0,11.22,-18.59
"2025-10-28","09:32:00",631.11,"7726 Oct 30 623 P STO 2.18 | 11589 Oct 30 640 C STO 1.43 | 7726 Oct 31 623 P BTO 2.71 | 11589 Oct 31 640 C BTO 1.96",-267,627.78,"2025-10-30","15:31:00",-342,"Exited at Specified Time",279681.2,27.116104868913858,3863,10594517,1031421,"",5021.9,5021.9,0.765,0.175,15.71,17.04,2.34,0.68,58.8,-24.34
"2025-10-14","09:37:00",592.22,"5128 Oct 16 583 P STO 2.69 | 7692 Oct 16 602 C STO 1.57 | 5128 Oct 17 583 P BTO 3.49 | 7692 Oct 17 602 C BTO 2.34",-393,606.92,"2025-10-16","10:36:00",-488,"Below Delta",236913.6,23.511450381679392,2564,10314835.8,1007652,"",3333.2,3333.2,0.721,0.776,22.29,20.53,-6.7,-3.09,42.24,-11.45
"2025-09-16","09:32:00",592.67,"7068 Sep 18 587 P STO 1.60 | 10602 Sep 18 598 C STO 1.18 | 7068 Sep 19 587 P BTO 2.11 | 10602 Sep 19 598 C BTO 1.71",-263,597.82,"2025-09-18","11:19:00",-487,"Profit Target",782427.6,84.18250950570342,3534,10077922.2,929442,"",4594.2,4594.2,0.721,0.355,15.7,15.63,0.93,0.06,86.31,-44.49
"2025-09-09","09:32:00",579.92,"8324 Sep 11 575 P STO 1.54 | 12486 Sep 11 585 C STO 1.01 | 8324 Sep 12 575 P BTO 1.93 | 12486 Sep 12 585 C BTO 1.43",-206,584.48,"2025-09-11","13:34:00",-382,"Profit Target",721690.8,84.1747572815534,4162,9295494.6,857372,"",5410.6,5410.6,0.75,0.247,15.31,14.86,0.8,0.25,87.86,-10.19
"2025-08-26","09:32:00",570.44,"7910 Aug 28 564 P STO 1.72 | 11865 Aug 28 578 C STO 0.99 | 7910 Aug 29 564 P BTO 2.11 | 11865 Aug 29 578 C BTO 1.39",-200,576.9,"2025-08-28","12:29:00",-370,"Profit Target",662067,83.7,3955,8573803.8,791000,"",5141.5,5141.5,0.764,0.271,15.19,14.14,-0.49,0.61,86.5,0
"2025-07-29","09:32:00",571.27,"1628 Jul 31 566 P STO 1.32 | 2442 Jul 31 577 C STO 0.93 | 1628 Aug 1 566 P BTO 1.88 | 2442 Aug 1 580 C BTO 0.77",-66,568.42,"2025-07-29","11:16:00",-123,"Profit Target",44281.6,82.42424242424242,814,7911736.8,786324,"",1058.2,1058.2,0.895,0.805,14.81,15.09,2.62,0.51,92.42,-257.58
