"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-03-04","15:30:00",6877.29,"103 Mar 6 6775 P STO 13.50 | 103 Mar 6 6955 C STO 5.20 | 103 Mar 11 6775 P BTO 34.15 | 103 Mar 11 6955 C BTO 22.00",-3755,6719.34,"2026-03-06","09:37:00",-4680,"Above Delta",94220.28,24.361118508655128,103,4415809.6,386765,"",733.36,321.36,0.333,0.587,15.06,45.6,27.83,0
"2026-03-02","15:30:00",6868.71,"91 Mar 4 6765 P STO 13.60 | 91 Mar 4 6945 C STO 5.40 | 91 Mar 9 6765 P BTO 36.20 | 91 Mar 9 6945 C BTO 24.75",-4205,6838.37,"2026-03-04","09:32:00",-4475,"Below Short/Long Ratio",23638.16,6.177407847800238,91,4321589.32,382655,"",647.92,283.92,0.312,0.115,-54.52,44.35,11.41,-4.52
"2026-02-25","15:30:00",6945.96,"140 Feb 27 6855 P STO 11.60 | 140 Feb 27 7015 C STO 5.20 | 140 Mar 4 6855 P BTO 26.00 | 140 Mar 4 7015 C BTO 17.40",-2670,6871.52,"2026-02-27","11:03:00",-3530,"Below Short/Long Ratio",118966.4,31.826217228464422,140,4297951.16,373800,"",996.8,436.8,0.387,0.197,25.08,30.81,36.33,-3.93
"2026-02-23","15:30:00",6830.04,"75 Feb 25 6740 P STO 12.70 | 75 Feb 25 6915 C STO 5.90 | 75 Mar 2 6740 P BTO 39.90 | 75 Mar 2 6915 C BTO 28.50",-4990,6862.24,"2026-02-24","09:52:00",-4980,"Below Short/Long Ratio",-1518,-0.4056112224448898,75,4178984.76,374250,"",534,234,0.272,0.199,-8.26,-71.21,3.91,-1.1
"2026-02-18","15:30:00",6859.94,"102 Feb 20 6760 P STO 13.20 | 102 Feb 20 6940 C STO 5.90 | 102 Feb 25 6760 P BTO 33.00 | 102 Feb 25 6940 C BTO 22.55",-3655,6873.22,"2026-02-19","11:23:00",-3785,"Below Short/Long Ratio",12215.52,3.2766073871409027,102,4180502.76,372810,"",726.24,318.24,0.344,0.199,12.26,4.46,9.44,-1.09
"2026-02-11","15:30:00",6943.45,"175 Feb 13 6865 P STO 10.85 | 175 Feb 13 7010 C STO 4.30 | 175 Feb 18 6865 P BTO 22.70 | 175 Feb 18 7010 C BTO 13.60",-2125,6805.88,"2026-02-13","09:41:00",-2220,"Above Delta",14833,3.9887058823529413,175,4168287.24,371875,"",1246,546,0.417,0.75,34.67,-33.03,20.71,-0.71
"2026-02-04","15:30:00",6897.43,"115 Feb 6 6795 P STO 13.10 | 115 Feb 6 6995 C STO 6.60 | 115 Feb 11 6795 P BTO 32.00 | 115 Feb 11 6995 C BTO 19.75",-3215,6856.67,"2026-02-06","09:33:00",-3505,"Below Short/Long Ratio",32172.4,8.701710730948678,115,4153454.24,369725,"",818.8,358.8,0.381,0.192,6.69,-27.07,14.62,-0.47
"2026-02-02","15:30:00",6979.59,"110 Feb 4 6920 P STO 7.90 | 110 Feb 4 7030 C STO 3.05 | 110 Feb 9 6920 P BTO 24.50 | 110 Feb 9 7030 C BTO 20.05",-3370,6986.25,"2026-02-03","09:32:00",-3275,"Below Short/Long Ratio",-11576.4,-3.1228486646884273,110,4121281.84,370700,"",783.2,343.2,0.246,0.195,-22.39,62.95,1.19,-2.52
"2026-01-28","15:30:00",6977.57,"164 Jan 30 6900 P STO 10.50 | 164 Jan 30 7045 C STO 5.45 | 164 Feb 4 6900 P BTO 22.20 | 164 Feb 4 7045 C BTO 16.10",-2245,6964.07,"2026-01-29","15:56:00",-2415,"Below Short/Long Ratio",26200.64,7.116258351893095,164,4132858.24,368180,"",1167.68,511.68,0.416,0.192,23.4,-24.43,17.59,-1.11
"2026-01-26","15:30:00",6958.84,"104 Jan 28 6900 P STO 8.00 | 104 Jan 28 7010 C STO 3.60 | 104 Feb 2 6900 P BTO 25.60 | 104 Feb 2 7010 C BTO 21.40",-3550,6964.88,"2026-01-27","09:32:00",-3570,"Below Short/Long Ratio",1015.04,0.27492957746478874,104,4106657.6,369200,"",740.48,324.48,0.247,0.196,7.62,35.61,0.85,-2.68
