"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-02-27","11:00:00",6867.58,"94 Mar 4 6770 P STO 23.35 | 94 Mar 4 6940 C STO 15.30 | 94 Mar 6 6770 P BTO 36.25 | 94 Mar 6 6940 C BTO 27.90",-2555,6877.29,"2026-03-04","15:30:00",-2175,"Exited at Specified Time",-36682.56,-15.273581213307239,94,4285173.28,240170,"",669.28,293.28,0.602,0.005,20.2,21.03,-52.32,11.04,26.42,-18.98
"2026-02-06","11:00:00",6879.43,"111 Feb 11 6785 P STO 22.80 | 111 Feb 11 6955 C STO 15.40 | 111 Feb 13 6785 P BTO 33.65 | 111 Feb 13 6955 C BTO 26.15",-2165,6909.28,"2026-02-06","12:46:00",-2150,"VIX9D Move Down",-2801.64,-1.1658198614318707,111,4321855.84,240315,"",790.32,346.32,0.639,0.611,18.88,17.84,18.34,62.69,1.39,-2.54
"2026-01-09","11:17:00",6959.58,"147 Jan 14 6900 P STO 14.50 | 147 Jan 14 7010 C STO 11.00 | 147 Jan 16 6900 P BTO 21.90 | 147 Jan 16 7010 C BTO 19.75",-1620,6915.68,"2026-01-14","15:30:00",-2090,"Exited at Specified Time",67584.72,28.380246913580248,147,4324657.48,238140,"",1046.64,458.64,0.612,0.037,14.95,16.85,6.37,31.75,47.22,-5.56
"2025-12-26","11:00:00",6936.7,"308 Dec 31 6895 P STO 10.80 | 308 Dec 31 6975 C STO 7.20 | 308 Jan 2 6895 P BTO 14.20 | 308 Jan 2 6975 C BTO 11.75",-800,6854.36,"2025-12-31","15:30:00",-300,"Exited at Specified Time",-157153.92,-63.78,308,4257072.76,246400,"",2192.96,960.96,0.694,0.93,13.86,15.17,3.97,0.68,23.12,-63.12
"2025-12-19","11:00:00",6819.08,"279 Dec 24 6760 P STO 14.20 | 279 Dec 24 6870 C STO 10.30 | 279 Dec 26 6760 P BTO 18.40 | 279 Dec 26 6870 C BTO 14.90",-885,6837.2,"2025-12-19","15:02:00",-885,"VIX9D Move Down",-2856.96,-1.1570621468926554,279,4414226.68,246915,"",1986.48,870.48,0.736,0.681,15.57,15.11,17.86,26.46,2.82,-5.65
"2025-12-12","11:00:00",6827.74,"123 Dec 17 6755 P STO 17.85 | 123 Dec 17 6895 C STO 13.50 | 123 Dec 19 6755 P BTO 27.80 | 123 Dec 19 6895 C BTO 23.55",-2005,6829.33,"2025-12-12","15:22:00",-2040,"VIX9D Move Down",3045.48,1.234912718204489,123,4417083.64,246615,"",875.76,383.76,0.611,0.51,16.52,15.86,-14.15,-59.11,9.23,0
"2025-11-21","11:00:00",6541.92,"202 Nov 26 6405 P STO 32.35 | 202 Nov 26 6665 C STO 23.90 | 202 Nov 28 6405 P BTO 39.35 | 202 Nov 28 6665 C BTO 29.15",-1230,6586.12,"2025-11-21","11:41:00",-1055,"VIX9D Move Down",-37418.48,-15.060162601626018,202,4414038.16,248460,"",1438.24,630.24,0.821,0.829,26.61,24.96,17.01,-13.85,4.07,-13.82
"2025-11-07","11:00:00",6652.56,"103 Nov 12 6550 P STO 24.20 | 103 Nov 12 6745 C STO 18.20 | 103 Nov 14 6550 P BTO 35.95 | 103 Nov 14 6745 C BTO 30.70",-2430,6695.38,"2025-11-07","14:33:00",-2245,"VIX9D Move Down",-20109.72,-8.034567901234569,103,4451456.64,250290,"",733.36,321.36,0.636,0.612,21.61,20.33,-24.14,-43.62,3.09,-7.41
"2025-10-31","11:00:00",6865.84,"130 Nov 5 6795 P STO 16.70 | 130 Nov 5 6930 C STO 12.30 | 130 Nov 7 6795 P BTO 25.75 | 130 Nov 7 6930 C BTO 22.50",-1930,6818.65,"2025-11-05","15:30:00",-1710,"Exited at Specified Time",-29931.2,-11.929533678756476,130,4471566.36,250900,"",925.6,405.6,0.601,0.02,16.94,17.51,56.83,-13.33,7.51,-25.39
"2025-10-17","11:00:00",6617.13,"99 Oct 22 6500 P STO 28.00 | 99 Oct 22 6710 C STO 18.55 | 99 Oct 24 6500 P BTO 40.60 | 99 Oct 24 6710 C BTO 31.25",-2535,6660.47,"2025-10-17","14:16:00",-2580,"VIX9D Move Down",3441.24,1.3712031558185405,99,4501497.56,250965,"",704.88,308.88,0.648,0.611,24.42,22.99,-15.8,3.86,5.72,-0.39
"2025-10-10","11:00:00",6713.45,"143 Oct 15 6645 P STO 16.25 | 143 Oct 15 6765 C STO 11.45 | 143 Oct 17 6645 P BTO 24.00 | 143 Oct 17 6765 C BTO 20.65",-1700,6636.08,"2025-10-15","13:27:00",-2720,"Profit Target",144395.68,59.39764705882353,143,4498056.32,243100,"",1018.16,446.16,0.62,0.448,17.09,21.58,5.38,-27.04,60.29,-40.88
"2025-09-26","11:00:00",6610.32,"149 Oct 1 6550 P STO 15.50 | 149 Oct 1 6670 C STO 11.90 | 149 Oct 3 6550 P BTO 23.40 | 149 Oct 3 6670 C BTO 20.20",-1625,6640.58,"2025-09-26","15:38:00",-1675,"VIX9D Move Down",5924.24,2.4467692307692306,149,4353660.64,242125,"",1060.88,464.88,0.628,0.581,16.61,15.58,10.66,-5.06,5.54,-0.92
"2025-09-05","11:00:00",6452.4,"142 Sep 10 6385 P STO 16.40 | 142 Sep 10 6510 C STO 11.25 | 142 Sep 12 6385 P BTO 24.15 | 142 Sep 12 6510 C BTO 20.50",-1705,6477.49,"2025-09-05","12:14:00",-1785,"VIX9D Move Down",9905.92,4.091495601173021,142,4347736.4,242110,"",1011.04,443.04,0.619,0.56,16.57,15.69,27,-76.68,5.87,-1.17
"2025-08-08","11:00:00",6377,"176 Aug 13 6315 P STO 15.10 | 176 Aug 13 6430 C STO 11.90 | 176 Aug 15 6315 P BTO 21.85 | 176 Aug 15 6430 C BTO 19.00",-1390,6468.67,"2025-08-13","09:32:00",-1200,"Below Delta",-35242.24,-14.40575539568345,176,4337830.48,244640,"",1253.12,549.12,0.661,0.768,15.93,14.32,15.22,21.78,25.9,-13.31
"2025-08-01","11:00:00",6238.66,"129 Aug 6 6145 P STO 21.60 | 129 Aug 6 6315 C STO 16.40 | 129 Aug 8 6145 P BTO 30.95 | 129 Aug 8 6315 C BTO 25.95",-1895,6283.52,"2025-08-04","09:32:00",-1845,"VIX9D Move Down",-7770.96,-3.178891820580475,129,4373072.72,244455,"",918.48,402.48,0.668,0.524,20.39,18.57,-52.11,-48.62,12.4,-2.37
"2025-07-11","11:00:00",6260.12,"170 Jul 16 6205 P STO 13.90 | 170 Jul 16 6315 C STO 10.30 | 170 Jul 18 6205 P BTO 20.40 | 170 Jul 18 6315 C BTO 17.70",-1395,6203.97,"2025-07-16","11:37:00",-2235,"Profit Target",141059.2,59.4810035842294,170,4380843.68,237150,"",1210.4,530.4,0.635,0.398,16.43,19.39,-24.78,4.44,67.03,-2.51
"2025-06-20","11:00:00",5967.56,"131 Jun 25 5885 P STO 20.40 | 131 Jun 25 6040 C STO 14.10 | 131 Jun 27 5885 P BTO 29.20 | 131 Jun 27 6040 C BTO 23.40",-1815,6069.3,"2025-06-24","09:32:00",-1550,"VIX9D Move Down",-36056.44,-15.164738292011021,131,4239784.48,237765,"",932.72,408.72,0.656,0.726,20.52,18.03,18.8,-32.11,13.5,-14.33
"2025-06-13","11:00:00",5999.3,"167 Jun 18 5910 P STO 19.90 | 167 Jun 18 6075 C STO 14.10 | 167 Jun 20 5910 P BTO 26.65 | 167 Jun 20 6075 C BTO 21.10",-1380,5981.18,"2025-06-17","14:40:00",-2210,"Profit Target",136899.92,59.40289855072465,167,4275840.92,230460,"",1189.04,521.04,0.712,0.36,19.95,21.59,-44.7,-1.26,61.23,-6.16
"2025-06-06","11:00:00",6002.54,"142 Jun 11 5940 P STO 15.70 | 142 Jun 11 6060 C STO 12.70 | 142 Jun 13 5940 P BTO 23.20 | 142 Jun 13 6060 C BTO 21.20",-1605,6014.04,"2025-06-11","15:30:00",-2050,"Exited at Specified Time",61735.92,27.08785046728972,142,4138941,227910,"",1011.04,443.04,0.64,0.005,17.18,17.77,47.76,15.48,34.89,-13.08
"2025-05-16","11:00:00",5918.96,"136 May 21 5850 P STO 14.60 | 136 May 21 5980 C STO 11.70 | 136 May 23 5850 P BTO 22.20 | 136 May 23 5980 C BTO 20.20",-1615,5863.07,"2025-05-21","14:05:00",-2585,"Profit Target",130527.36,59.42786377708978,136,4077205.08,219640,"",968.32,424.32,0.62,0.215,17.64,20.11,12.16,-10.13,62.54,-0.93
"2025-05-09","11:00:00",5662.02,"131 May 14 5570 P STO 22.05 | 131 May 14 5750 C STO 18.60 | 131 May 16 5570 P BTO 31.45 | 131 May 16 5750 C BTO 26.25",-1710,5812.24,"2025-05-12","09:32:00",-1220,"VIX9D Move Down",-65531.44,-29.253801169590645,131,3946677.72,224010,"",932.72,408.72,0.705,0.867,22.34,19.51,15.71,-17.63,8.19,-28.36
"2025-05-02","11:00:00",5675.44,"86 May 7 5585 P STO 22.20 | 86 May 7 5755 C STO 16.10 | 86 May 9 5585 P BTO 33.15 | 86 May 9 5760 C BTO 25.50",-2040,5596.2,"2025-05-07","15:30:00",-3280,"Exited at Specified Time",105759.36,60.28235294117646,86,4012209.16,218440,"",612.32,268.32,0.653,0.138,22.98,24.59,41.74,29.56,61.03,-4.41
"2025-04-25","11:00:00",5481.67,"72 Apr 30 5375 P STO 25.05 | 72 Apr 30 5580 C STO 19.95 | 72 May 2 5375 P BTO 39.80 | 72 May 2 5580 C BTO 34.85",-2970,5515.72,"2025-04-30","15:30:00",-3485,"Exited at Specified Time",36342.72,16.995286195286194,72,3906449.8,213840,"",512.64,224.64,0.603,0.007,26.22,25.68,4.96,-8.06,31.48,-5.72
"2025-04-11","11:00:00",5250.24,"53 Apr 16 5010 P STO 62.50 | 53 Apr 16 5445 C STO 39.05 | 53 Apr 21 5010 P BTO 85.30 | 53 Apr 21 5445 C BTO 57.00",-4080,5300.67,"2025-04-11","12:13:00",-4130,"VIX9D Move Down",2107.28,0.9745098039215687,53,3870107.08,216240,"",377.36,165.36,0.714,0.686,45.16,41.76,-12.49,-5.32,3.06,-2.33
"2025-04-04","11:00:00",5172.7,"71 Apr 9 4970 P STO 51.20 | 71 Apr 9 5350 C STO 34.05 | 71 Apr 11 4970 P BTO 67.95 | 71 Apr 11 5350 C BTO 47.50",-3025,5228.33,"2025-04-04","11:21:00",-2945,"VIX9D Move Down",-6407.04,-2.9831404958677683,71,3867999.8,214775,"",505.52,221.52,0.738,0.731,40.97,37.41,-104.38,-119.44,2.31,-9.09
"2025-03-28","11:00:00",5609.22,"90 Apr 2 5515 P STO 23.30 | 90 Apr 2 5705 C STO 19.15 | 90 Apr 4 5515 P BTO 34.95 | 90 Apr 4 5705 C BTO 30.75",-2330,5623.63,"2025-04-01","11:06:00",-3730,"Profit Target",125078.4,59.64635193133048,90,3874406.84,209700,"",640.8,280.8,0.646,0.25,20.6,21.78,-14.11,-69.98,60.52,-4.72
"2025-03-21","11:00:00",5637.25,"98 Mar 26 5555 P STO 18.30 | 98 Mar 26 5710 C STO 16.00 | 98 Mar 28 5555 P BTO 28.70 | 98 Mar 28 5710 C BTO 27.05",-2150,5753.54,"2025-03-24","10:17:00",-1745,"Below Delta",-40693.52,-19.313488372093023,98,3749328.44,210700,"",697.76,305.76,0.615,0.778,20,18.49,-32.16,6.52,5.58,-20
"2025-03-14","11:00:00",5609.21,"92 Mar 19 5510 P STO 23.05 | 92 Mar 19 5700 C STO 18.65 | 92 Mar 21 5510 P BTO 34.05 | 92 Mar 21 5700 C BTO 30.15",-2255,5686.26,"2025-03-19","14:54:00",-2870,"VIX9D Move Down",55637.92,26.81862527716186,92,3790021.96,207460,"",655.04,287.04,0.65,0.183,22.39,19.77,42.33,45.36,27.49,-3.33
"2025-03-07","11:00:00",5718.39,"94 Mar 12 5605 P STO 27.80 | 94 Mar 12 5835 C STO 22.65 | 94 Mar 14 5605 P BTO 39.70 | 94 Mar 14 5835 C BTO 32.80",-2210,5774.5,"2025-03-07","15:55:00",-2080,"VIX9D Move Down",-13182.56,-6.345701357466063,94,3734384.04,207740,"",669.28,293.28,0.696,0.684,24.82,23.23,-12.51,-7.62,6.79,-5.66
