"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-01-09","11:01:00",6946.81,"224 Jan 15 6880 P STO 14.65 | 224 Jan 15 7025 C STO 5.90 | 224 Jan 16 6880 P BTO 18.60 | 224 Jan 16 7025 C BTO 9.70",-785,6974.55,"2026-01-15","11:46:00",-280,"Below Short/Long Ratio",-115360,-65.60509554140127,224,2402165,175840,"SPX","",1568,672,0.726,0.092,14.89,15.42,6.37,18.98,31.21,-64.33
"2025-12-05","11:00:00",6878.78,"228 Dec 11 6800 P STO 18.80 | 228 Dec 11 6980 C STO 6.95 | 228 Dec 12 6800 P BTO 22.90 | 228 Dec 12 6980 C BTO 10.80",-805,6879.73,"2025-12-11","11:47:00",-320,"Below Short/Long Ratio",-112860,-61.49068322981367,228,2517525,183540,"SPX","",1596,684,0.764,0.095,15.8,15.61,9.2,12.46,18.01,-58.39
"2025-10-31","11:00:00",6865.84,"207 Nov 6 6785 P STO 19.00 | 207 Nov 6 6970 C STO 6.90 | 207 Nov 7 6785 P BTO 23.70 | 207 Nov 7 6970 C BTO 11.10",-900,6743.82,"2025-11-06","10:37:00",-750,"Above Delta",-33120,-17.77777777777778,207,2630385,186300,"SPX","",1449,621,0.744,0.851,16.94,19.43,56.83,-13.33,13.89,-33.33
"2025-10-24","11:00:00",6789.31,"198 Oct 30 6705 P STO 20.80 | 198 Oct 30 6890 C STO 6.80 | 198 Oct 31 6705 P BTO 25.45 | 198 Oct 31 6890 C BTO 11.00",-895,6871.24,"2025-10-30","12:13:00",-1530,"Profit Target",123750,69.83240223463687,198,2663505,177210,"SPX","",1386,594,0.757,0.216,16.57,16.57,33.63,17.24,72.63,-3.91
"2025-10-10","11:00:00",6713.45,"244 Oct 16 6635 P STO 18.65 | 244 Oct 16 6800 C STO 6.45 | 244 Oct 17 6635 P BTO 22.15 | 244 Oct 17 6800 C BTO 9.75",-690,6680.5,"2025-10-16","10:12:00",-1225,"Profit Target",128100,76.08695652173914,244,2539755,168360,"SPX","",1708,732,0.787,0.38,17.09,21.02,5.38,-27.04,79.71,-41.3
"2025-10-03","11:00:00",6746,"244 Oct 9 6680 P STO 15.00 | 244 Oct 9 6825 C STO 5.25 | 244 Oct 10 6680 P BTO 18.65 | 244 Oct 10 6825 C BTO 8.60",-710,6736.91,"2025-10-09","11:52:00",-445,"Below Short/Long Ratio",-67100,-38.732394366197184,244,2411655,173240,"SPX","",1708,732,0.743,0.098,16.4,16.75,6.79,23.86,2.82,-64.79
"2025-09-26","11:20:00",6618.01,"219 Oct 2 6550 P STO 16.40 | 219 Oct 2 6710 C STO 6.65 | 219 Oct 3 6550 P BTO 20.60 | 219 Oct 3 6710 C BTO 10.20",-785,6729.15,"2025-10-02","09:32:00",-865,"Below Delta",15330,8.9171974522293,219,2478755,171915,"SPX","",1533,657,0.748,0.719,16.42,16,10.66,2.63,30.57,-50.32
"2025-09-19","11:00:00",6642.23,"231 Sep 25 6580 P STO 15.50 | 231 Sep 25 6720 C STO 5.90 | 231 Sep 26 6580 P BTO 19.05 | 231 Sep 26 6720 C BTO 9.35",-710,6575.95,"2025-09-25","14:08:00",-1210,"Profit Target",113190,69.01408450704226,231,2463425,164010,"SPX","",1617,693,0.754,0.463,15.84,17.43,15.15,-4.88,72.54,-32.39
"2025-09-12","11:00:00",6593.27,"241 Sep 18 6530 P STO 14.35 | 241 Sep 18 6675 C STO 5.60 | 241 Sep 19 6530 P BTO 17.70 | 241 Sep 19 6675 C BTO 8.60",-645,6603.83,"2025-09-17","14:00:00",-1165,"Profit Target",122910,79.06976744186046,241,2350235,155445,"SPX","",1687,723,0.759,0.591,14.6,16.22,3.19,2.61,82.95,-7.75
"2025-08-22","11:00:00",6471.24,"168 Aug 28 6405 P STO 16.85 | 168 Aug 28 6555 C STO 5.90 | 168 Aug 29 6405 P BTO 19.55 | 168 Aug 29 6560 C BTO 7.60",-450,6495.04,"2025-08-28","13:28:00",-140,"Below Short/Long Ratio",-53760,-71.11111111111111,168,2227325,159600,"SPX","",1176,504,0.838,0.088,14.61,14.16,14.42,86.65,30,-66.67
