"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-03-20","11:00:00",6547.51,"322 Mar 26 6410 P STO 32.45 | 322 Mar 26 6725 C STO 12.55 | 322 Mar 27 6410 P BTO 40.25 | 322 Mar 27 6725 C BTO 18.10",-1345,6508.39,"2026-03-20","15:59:00",-1285,"Backtest Completed",-22540,-5.204460966542751,322,6165720,433090,"SPX","",2254,966,0.771,0.8,26,27.39,-11.83,-47.15,13.01,-11.52
"2026-03-13","11:00:00",6662.54,"352 Mar 19 6505 P STO 38.40 | 352 Mar 19 6855 C STO 12.95 | 352 Mar 20 6505 P BTO 45.60 | 352 Mar 20 6855 C BTO 18.20",-1255,6736.03,"2026-03-17","09:32:00",-870,"VIX9D Move Down",-139040,-31.47410358565737,352,6188260,441760,"SPX","",2464,1056,0.805,0.47,26.94,22.3,0.87,-10.95,27.49,-29.48
"2026-03-06","11:00:00",6763.07,"397 Mar 12 6610 P STO 35.85 | 397 Mar 12 6925 C STO 10.90 | 397 Mar 13 6610 P BTO 42.80 | 397 Mar 13 6925 C BTO 15.15",-1130,6836.14,"2026-03-10","13:18:00",-910,"VIX9D Move Down",-91310,-20.353982300884958,397,6327300,448610,"SPX","",2779,1191,0.807,0.533,25.89,22.45,-61.68,-5.96,20.35,-21.24
"2026-02-27","11:00:00",6867.58,"377 Mar 5 6755 P STO 26.65 | 377 Mar 5 6980 C STO 8.25 | 377 Mar 6 6755 P BTO 33.25 | 377 Mar 6 6980 C BTO 13.35",-1180,6825.82,"2026-03-05","11:58:00",-1325,"Below Short/Long Ratio",50895,11.440677966101696,377,6418610,444860,"SPX","",2639,1131,0.749,0.095,20.2,22.9,-52.32,11.04,48.73,-37.71
"2026-02-20","11:00:00",6905.83,"451 Feb 26 6800 P STO 25.70 | 451 Feb 26 7015 C STO 7.30 | 451 Feb 27 6800 P BTO 31.25 | 451 Feb 27 7015 C BTO 11.75",-1010,6881.79,"2026-02-26","12:07:00",-695,"Below Short/Long Ratio",-146575,-32.17821782178218,451,6367715,455510,"SPX","",3157,1353,0.767,0.096,18.89,19.77,-18.63,62.57,17.33,-54.46
"2026-02-13","11:00:00",6843.9,"389 Feb 19 6735 P STO 26.25 | 389 Feb 19 6960 C STO 8.40 | 389 Feb 20 6735 P BTO 32.65 | 389 Feb 20 6960 C BTO 13.90",-1200,6869.47,"2026-02-19","09:54:00",-770,"Below Short/Long Ratio",-171160,-36.666666666666664,389,6514290,466800,"SPX","",2723,1167,0.744,0.098,20.28,20.31,1.51,9.63,5.42,-34.58
"2026-02-06","11:00:00",6879.43,"470 Feb 12 6770 P STO 25.10 | 470 Feb 12 6995 C STO 8.40 | 470 Feb 13 6770 P BTO 30.50 | 470 Feb 13 6995 C BTO 12.80",-990,6929.49,"2026-02-06","15:45:00",-1065,"VIX9D Move Down",30550,6.565656565656567,470,6685450,465300,"SPX","",3290,1410,0.774,0.7,18.88,17.52,18.34,62.69,16.16,-3.03
"2026-01-30","11:00:00",6943.78,"435 Feb 5 6855 P STO 21.55 | 435 Feb 5 7045 C STO 6.70 | 435 Feb 6 6855 P BTO 27.15 | 435 Feb 6 7045 C BTO 11.50",-1050,6791.09,"2026-02-05","10:24:00",-1340,"Above Delta",121800,26.666666666666668,435,6654900,456750,"SPX","",3045,1305,0.731,0.836,17.08,22.72,-21.74,-3.49,52.38,-26.19
"2026-01-23","11:00:00",6928.63,"532 Jan 29 6850 P STO 19.20 | 532 Jan 29 7025 C STO 6.00 | 532 Jan 30 6850 P BTO 23.70 | 532 Jan 30 7025 C BTO 9.60",-820,6881.59,"2026-01-29","10:51:00",-1395,"Profit Target",300580,68.90243902439023,532,6533100,436240,"SPX","",3724,1596,0.757,0.379,15.42,19.48,-5.5,20.78,71.95,-4.88
"2026-01-16","11:00:00",6942.37,"617 Jan 22 6880 P STO 14.80 | 617 Jan 22 7020 C STO 4.90 | 617 Jan 23 6880 P BTO 18.70 | 617 Jan 23 7020 C BTO 8.20",-730,6818.2,"2026-01-21","12:09:00",-410,"Above Delta",-203610,-45.20547945205479,617,6232520,450410,"SPX","",4319,1851,0.732,0.939,15.8,19,16.07,-18.17,4.11,-46.58
"2026-01-09","11:00:00",6945.56,"609 Jan 15 6880 P STO 15.00 | 609 Jan 15 7025 C STO 5.70 | 609 Jan 16 6880 P BTO 18.90 | 609 Jan 16 7025 C BTO 9.45",-775,6974.55,"2026-01-15","11:46:00",-280,"Below Short/Long Ratio",-307545,-65.16129032258064,609,6436130,471975,"SPX","",4263,1827,0.73,0.092,14.91,15.42,6.37,17.73,32.9,-63.87
"2026-01-02","11:00:00",6840.12,"455 Jan 8 6775 P STO 16.30 | 455 Jan 8 6930 C STO 5.70 | 455 Jan 9 6775 P BTO 21.75 | 455 Jan 9 6930 C BTO 10.40",-1025,6947.09,"2026-01-06","14:43:00",-1200,"Below Delta",75075,16.097560975609756,455,6743675,466375,"SPX","",3185,1365,0.684,0.713,15.28,14.76,32.61,-37.99,33.66,-11.71
"2025-12-12","11:00:00",6827.74,"608 Dec 18 6740 P STO 20.35 | 608 Dec 18 6940 C STO 8.20 | 608 Dec 19 6740 P BTO 24.50 | 608 Dec 19 6940 C BTO 11.25",-730,6761.77,"2025-12-18","12:25:00",-1275,"Profit Target",325280,73.28767123287672,608,6668600,443840,"SPX","",4256,1824,0.799,0.383,16.52,17.22,-14.15,-59.11,76.71,-31.51
"2025-12-05","11:00:00",6878.78,"576 Dec 11 6800 P STO 18.80 | 576 Dec 11 6980 C STO 6.95 | 576 Dec 12 6800 P BTO 22.90 | 576 Dec 12 6980 C BTO 10.80",-805,6879.73,"2025-12-11","11:47:00",-320,"Below Short/Long Ratio",-285120,-61.49068322981367,576,6343320,463680,"SPX","",4032,1728,0.764,0.095,15.8,15.61,9.2,12.46,18.01,-58.39
"2025-11-28","11:00:00",6839.69,"575 Dec 4 6765 P STO 17.50 | 575 Dec 4 6930 C STO 6.85 | 575 Dec 5 6765 P BTO 22.15 | 575 Dec 5 6930 C BTO 10.60",-850,6854.22,"2025-12-04","12:21:00",-225,"Below Short/Long Ratio",-365125,-74.70588235294117,575,6628440,488750,"SPX","",4025,1725,0.744,0.094,16.99,16.08,9.91,17.17,0.59,-72.94
"2025-11-14","11:00:00",6739.67,"540 Nov 20 6625 P STO 27.25 | 540 Nov 20 6880 C STO 9.50 | 540 Nov 21 6625 P BTO 32.05 | 540 Nov 21 6880 C BTO 13.20",-860,6674.82,"2025-11-20","11:38:00",-1520,"Profit Target",351000,75.5813953488372,540,6993565,464400,"SPX","",3780,1620,0.812,0.362,20.47,22.74,-65.35,67.53,78.49,-57.56
"2025-11-07","11:00:00",6652.56,"482 Nov 13 6540 P STO 27.75 | 482 Nov 13 6800 C STO 10.45 | 482 Nov 14 6540 P BTO 33.60 | 482 Nov 14 6800 C BTO 14.15",-965,6717.89,"2025-11-07","15:53:00",-960,"VIX9D Move Down",-7230,-1.5544041450777202,482,6642565,465130,"SPX","",3374,1446,0.8,0.742,21.61,19.65,-24.14,-43.62,11.4,-1.55
"2025-10-31","11:00:00",6865.84,"523 Nov 6 6785 P STO 19.00 | 523 Nov 6 6970 C STO 6.90 | 523 Nov 7 6785 P BTO 23.70 | 523 Nov 7 6970 C BTO 11.10",-900,6743.82,"2025-11-06","10:37:00",-750,"Above Delta",-83680,-17.77777777777778,523,6649795,470700,"SPX","",3661,1569,0.744,0.851,16.94,19.43,56.83,-13.33,13.89,-33.33
"2025-10-24","11:00:00",6789.31,"502 Oct 30 6705 P STO 20.80 | 502 Oct 30 6890 C STO 6.80 | 502 Oct 31 6705 P BTO 25.45 | 502 Oct 31 6890 C BTO 11.00",-895,6871.24,"2025-10-30","12:13:00",-1530,"Profit Target",313750,69.83240223463687,502,6733475,449290,"SPX","",3514,1506,0.757,0.216,16.57,16.57,33.63,17.24,72.63,-3.91
"2025-10-17","11:00:00",6617.13,"374 Oct 23 6485 P STO 30.90 | 374 Oct 23 6760 C STO 9.55 | 374 Oct 24 6485 P BTO 37.60 | 374 Oct 24 6760 C BTO 14.75",-1200,6666.04,"2025-10-17","14:58:00",-1205,"VIX9D Move Down",-1870,-0.4166666666666667,374,6419725,448800,"SPX","",2618,1122,0.773,0.692,24.42,22.13,-15.8,3.86,6.67,-2.92
"2025-10-10","11:00:00",6713.45,"618 Oct 16 6635 P STO 18.65 | 618 Oct 16 6800 C STO 6.45 | 618 Oct 17 6635 P BTO 22.15 | 618 Oct 17 6800 C BTO 9.75",-690,6680.5,"2025-10-16","10:12:00",-1225,"Profit Target",324450,76.08695652173914,618,6421595,426420,"SPX","",4326,1854,0.787,0.38,17.09,21.02,5.38,-27.04,79.71,-41.3
"2025-10-03","11:00:00",6746,"617 Oct 9 6680 P STO 15.00 | 617 Oct 9 6825 C STO 5.25 | 617 Oct 10 6680 P BTO 18.65 | 617 Oct 10 6825 C BTO 8.60",-710,6736.91,"2025-10-09","11:52:00",-445,"Below Short/Long Ratio",-169675,-38.732394366197184,617,6097145,438070,"SPX","",4319,1851,0.743,0.098,16.4,16.75,6.79,23.86,2.82,-64.79
"2025-09-26","11:00:00",6610.32,"561 Oct 2 6540 P STO 16.95 | 561 Oct 2 6705 C STO 7.00 | 561 Oct 3 6540 P BTO 21.10 | 561 Oct 3 6705 C BTO 10.45",-770,6718.12,"2025-10-01","15:05:00",-945,"Below Delta",92565,21.428571428571427,561,6266820,431970,"SPX","",3927,1683,0.759,0.715,16.61,16.06,10.66,-5.06,27.92,-16.23
"2025-09-19","11:00:00",6642.23,"580 Sep 25 6580 P STO 15.50 | 580 Sep 25 6720 C STO 5.90 | 580 Sep 26 6580 P BTO 19.05 | 580 Sep 26 6720 C BTO 9.35",-710,6575.95,"2025-09-25","14:08:00",-1210,"Profit Target",284200,69.01408450704226,580,6174255,411800,"SPX","",4060,1740,0.754,0.463,15.84,17.43,15.15,-4.88,72.54,-32.39
"2025-09-12","11:00:00",6593.27,"605 Sep 18 6530 P STO 14.35 | 605 Sep 18 6675 C STO 5.60 | 605 Sep 19 6530 P BTO 17.70 | 605 Sep 19 6675 C BTO 8.60",-645,6603.83,"2025-09-17","14:00:00",-1165,"Profit Target",308550,79.06976744186046,605,5890055,390225,"SPX","",4235,1815,0.759,0.591,14.6,16.22,3.19,2.61,82.95,-7.75
"2025-09-05","11:00:00",6452.4,"768 Sep 11 6375 P STO 19.45 | 768 Sep 11 6550 C STO 6.60 | 768 Sep 12 6375 P BTO 22.05 | 768 Sep 12 6550 C BTO 9.00",-510,6481.91,"2025-09-05","15:37:00",-495,"VIX9D Move Down",-19200,-4.901960784313726,768,5581505,391680,"SPX","",5376,2304,0.839,0.759,16.57,15.2,27,-76.68,9.8,-9.8
"2025-08-22","11:00:00",6471.24,"422 Aug 28 6405 P STO 16.85 | 422 Aug 28 6555 C STO 5.90 | 422 Aug 29 6405 P BTO 19.55 | 422 Aug 29 6560 C BTO 7.60",-450,6495.04,"2025-08-28","13:28:00",-140,"Below Short/Long Ratio",-135040,-71.11111111111111,422,5600705,400900,"SPX","",2954,1266,0.838,0.088,14.61,14.16,14.42,86.65,30,-66.67
"2025-08-15","11:00:00",6451.87,"385 Aug 21 6390 P STO 13.50 | 385 Aug 21 6525 C STO 5.40 | 385 Aug 22 6390 P BTO 18.70 | 385 Aug 22 6525 C BTO 10.20",-1010,6364.99,"2025-08-21","12:49:00",-1480,"Above Delta",177100,45.54455445544555,385,5735745,388850,"SPX","",2695,1155,0.654,0.642,14.83,16.82,8.84,-25.51,70.79,-23.27
"2025-08-08","11:00:00",6377,"634 Aug 14 6305 P STO 16.40 | 634 Aug 14 6470 C STO 6.00 | 634 Aug 15 6305 P BTO 19.75 | 634 Aug 15 6470 C BTO 8.40",-585,6459.13,"2025-08-14","10:16:00",-1005,"Profit Target",259940,70.08547008547008,634,5558645,370890,"SPX","",4438,1902,0.796,0.322,15.93,14.85,15.22,21.78,74.36,-5.13
"2025-08-01","11:00:00",6238.66,"521 Aug 7 6135 P STO 24.65 | 521 Aug 7 6365 C STO 8.70 | 521 Aug 8 6135 P BTO 28.85 | 521 Aug 8 6365 C BTO 11.55",-715,6292.49,"2025-08-04","09:42:00",-670,"VIX9D Move Down",-28655,-7.6923076923076925,521,5298705,372515,"SPX","",3647,1563,0.825,0.657,20.39,18.24,-52.11,-48.62,20.98,-7.69
"2025-07-25","11:00:00",6378.37,"379 Jul 31 6315 P STO 15.40 | 379 Jul 31 6465 C STO 5.85 | 379 Aug 1 6315 P BTO 20.75 | 379 Aug 1 6465 C BTO 10.40",-1000,6413.89,"2025-07-31","09:55:00",-780,"Below Short/Long Ratio",-87170,-23,379,5327360,379000,"SPX","",2653,1137,0.682,0.097,15.05,15.15,6.66,8.36,14,-27
"2025-07-18","11:00:00",6292.32,"602 Jul 24 6230 P STO 14.10 | 602 Jul 24 6375 C STO 5.05 | 602 Jul 25 6230 P BTO 17.10 | 602 Jul 25 6375 C BTO 7.95",-600,6372.71,"2025-07-24","13:08:00",-1025,"Profit Target",249830,69.16666666666667,602,5414530,361200,"SPX","",4214,1806,0.764,0.304,16.47,15.11,15.59,-20.63,73.33,-25
"2025-07-11","11:00:00",6260.12,"635 Jul 17 6195 P STO 15.00 | 635 Jul 17 6350 C STO 5.90 | 635 Jul 18 6195 P BTO 18.20 | 635 Jul 18 6350 C BTO 8.60",-600,6289.74,"2025-07-17","13:28:00",-170,"Below Short/Long Ratio",-279400,-73.33333333333333,635,5164700,381000,"SPX","",4445,1905,0.78,0.098,16.43,16.71,-24.78,4.44,40,-71.67
"2025-06-27","11:00:00",6172.33,"354 Jul 3 6110 P STO 14.70 | 354 Jul 3 6260 C STO 6.20 | 354 Jul 7 6110 P BTO 20.60 | 354 Jul 7 6260 C BTO 10.70",-1050,6268.51,"2025-07-03","10:02:00",-1435,"Below Delta",132750,35.714285714285715,354,5444100,371700,"SPX","",2478,1062,0.668,0.48,16.55,16.33,9.68,21.63,40.48,-15.24
"2025-06-20","11:00:00",5967.56,"477 Jun 26 5875 P STO 22.85 | 477 Jun 26 6080 C STO 8.20 | 477 Jun 27 5875 P BTO 27.10 | 477 Jun 27 6080 C BTO 11.65",-780,6069.3,"2025-06-24","09:32:00",-780,"VIX9D Move Down",-4770,-1.282051282051282,477,5311350,372060,"SPX","",3339,1431,0.801,0.745,20.52,18.03,18.8,-32.11,6.41,-13.46
"2025-06-06","11:00:00",6002.54,"552 Jun 12 5930 P STO 17.15 | 552 Jun 12 6100 C STO 7.00 | 552 Jun 13 5930 P BTO 20.80 | 552 Jun 13 6100 C BTO 10.20",-695,6038.39,"2025-06-12","12:29:00",-395,"Below Short/Long Ratio",-171120,-44.60431654676259,552,5316120,383640,"SPX","",3864,1656,0.779,0.099,17.18,17.94,47.76,15.48,10.79,-47.48
"2025-05-30","11:00:00",5897.93,"317 Jun 5 5815 P STO 19.10 | 317 Jun 5 6010 C STO 7.40 | 317 Jun 6 5815 P BTO 25.80 | 317 Jun 6 6010 C BTO 12.60",-1200,5982.53,"2025-06-05","12:18:00",-1370,"Below Short/Long Ratio",50720,13.333333333333334,317,5487240,380400,"SPX","",2219,951,0.69,0.092,19.25,17.31,-8.5,-5.74,45,-14.17
"2025-05-23","11:00:00",5783.47,"382 May 29 5685 P STO 23.55 | 382 May 29 5920 C STO 9.30 | 382 May 30 5685 P BTO 29.45 | 382 May 30 5920 C BTO 13.35",-1005,5899.69,"2025-05-27","11:37:00",-870,"VIX9D Move Down",-55390,-14.427860696517413,382,5436520,383910,"SPX","",2674,1146,0.768,0.748,22.55,19.33,-60.12,1.58,17.41,-12.94
"2025-05-16","11:00:00",5918.96,"543 May 22 5845 P STO 17.45 | 543 May 22 6020 C STO 6.80 | 543 May 23 5845 P BTO 21.10 | 543 May 23 6020 C BTO 9.80",-675,5861.56,"2025-05-22","10:10:00",-1150,"Profit Target",252495,68.88888888888889,543,5491910,366525,"SPX","",3801,1629,0.785,0.478,17.64,20.27,12.16,-10.13,72.59,-3.7
"2025-05-09","11:00:00",5662.02,"533 May 15 5555 P STO 23.60 | 533 May 15 5805 C STO 10.40 | 533 May 16 5555 P BTO 27.85 | 533 May 16 5805 C BTO 12.95",-690,5837.24,"2025-05-12","14:48:00",-655,"VIX9D Move Down",-23985,-6.521739130434782,533,5239415,367770,"SPX","",3731,1599,0.833,0.899,22.34,18.62,15.71,-17.63,23.19,-13.77
