"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-01-28","09:40:00",6995.7,"15 Feb 4 6930 P STO 26.80 | 15 Feb 4 7055 C STO 19.80 | 15 Feb 11 6935 P BTO 46.35 | 15 Feb 11 7060 C BTO 38.20",-3805,6985.73,"2026-02-02","12:05:00",-4330,"Below Short/Long Ratio",7721.4,13.528515111695139,15,1316189.76,64575,"",106.8,46.8,0.551,0.199,23.4,-6.3,19.71,-16.56
"2026-01-12","09:42:00",6955.24,"20 Jan 20 6895 P STO 22.10 | 20 Jan 20 7010 C STO 18.90 | 20 Jan 26 6900 P BTO 35.60 | 20 Jan 26 7015 C BTO 30.95",-2565,6952.67,"2026-01-16","12:37:00",-3055,"Below Short/Long Ratio",9595.2,18.704093567251466,20,1308468.36,61300,"",142.4,62.4,0.616,0.198,-22.16,11.12,28.27,-3.31
"2026-01-09","10:23:00",6948.23,"19 Jan 16 6895 P STO 22.30 | 19 Jan 16 7000 C STO 18.20 | 19 Jan 23 6900 P BTO 37.50 | 19 Jan 23 7005 C BTO 31.15",-2825,6961.81,"2026-01-15","10:17:00",-3580,"Below Short/Long Ratio",14150.44,26.363185840707963,19,1298873.16,63175,"",135.28,59.28,0.59,0.199,6.37,20.4,35.22,-5.13
"2026-01-07","09:40:00",6950.87,"19 Jan 14 6895 P STO 22.40 | 19 Jan 14 7005 C STO 17.50 | 19 Jan 21 6900 P BTO 36.95 | 19 Jan 21 7010 C BTO 30.75",-2790,6956.22,"2026-01-13","10:54:00",-3270,"Below Short/Long Ratio",8925.44,16.837275985663084,19,1284722.72,62510,"",135.28,59.28,0.589,0.194,0.25,5.8,19.53,-16.85
"2025-12-26","09:40:00",6942.18,"14 Jan 2 6900 P STO 16.15 | 14 Jan 2 6985 C STO 12.25 | 14 Jan 9 6905 P BTO 36.55 | 14 Jan 9 6990 C BTO 32.45",-4070,6885.24,"2025-12-31","13:50:00",-3285,"Exited at Specified Time",-11133.36,-19.539066339066338,14,1275797.28,63980,"",99.68,43.68,0.412,0.416,3.97,6.16,2.83,-26.9
"2025-12-24","09:43:00",6914.2,"18 Dec 31 6870 P STO 16.80 | 18 Dec 31 6955 C STO 12.60 | 18 Jan 7 6875 P BTO 32.10 | 18 Jan 7 6960 C BTO 27.85",-3065,6907.07,"2025-12-30","11:05:00",-2835,"Below Short/Long Ratio",-4324.32,-7.838172920065252,18,1286930.64,64170,"",128.16,56.16,0.49,0.197,-4.88,9.29,4.4,-8.65
"2025-12-12","09:40:00",6898.64,"25 Dec 19 6840 P STO 23.60 | 25 Dec 19 6960 C STO 18.30 | 25 Dec 26 6845 P BTO 35.35 | 25 Dec 26 6965 C BTO 26.95",-2050,6792.65,"2025-12-18","13:50:00",-1830,"Exited at Specified Time",-5756,-11.231219512195123,25,1291254.96,63750,"",178,78,0.673,0.737,-14.15,11.79,4.63,-45.85
"2025-12-05","09:47:00",6875.28,"14 Dec 12 6810 P STO 26.70 | 14 Dec 12 6940 C STO 21.00 | 14 Dec 19 6815 P BTO 47.20 | 14 Dec 19 6945 C BTO 40.45",-4005,6863.05,"2025-12-11","09:36:00",-4655,"Below Short/Long Ratio",8956.64,15.974032459425718,14,1297010.96,63070,"",99.68,43.68,0.544,0.199,9.2,8.96,20.85,-4
"2025-11-12","09:41:00",6865.41,"13 Nov 19 6800 P STO 24.65 | 13 Nov 19 6925 C STO 20.20 | 13 Nov 26 6805 P BTO 47.40 | 13 Nov 26 6930 C BTO 42.15",-4480,6659.51,"2025-11-18","13:50:00",-2260,"Exited at Specified Time",-28993.12,-49.78214285714285,13,1288054.32,64740,"",92.56,40.56,0.501,0.861,21.16,-2.36,2.9,-75.89
"2025-11-03","09:40:00",6858,"14 Nov 10 6795 P STO 26.65 | 14 Nov 10 6925 C STO 20.65 | 14 Nov 17 6800 P BTO 48.40 | 14 Nov 17 6930 C BTO 39.75",-4095,6806.5,"2025-11-10","09:38:00",-4470,"Below Short/Long Ratio",5106.64,8.907448107448108,14,1317047.44,64330,"",99.68,43.68,0.537,0.195,42.12,-24.32,9.4,-56.41
"2025-10-31","09:40:00",6863.63,"15 Nov 7 6800 P STO 26.80 | 15 Nov 7 6930 C STO 21.85 | 15 Nov 14 6805 P BTO 46.60 | 15 Nov 14 6935 C BTO 39.40",-3745,6738.57,"2025-11-06","13:50:00",-3285,"Exited at Specified Time",-7053.6,-12.556475300400535,15,1311940.8,63675,"",106.8,46.8,0.566,0.66,56.83,-15.54,15.62,-26.3
"2025-10-29","09:40:00",6912.62,"17 Nov 5 6835 P STO 28.90 | 17 Nov 5 6985 C STO 24.30 | 17 Nov 12 6840 P BTO 45.15 | 17 Nov 12 6990 C BTO 39.75",-3180,6775.47,"2025-11-04","13:50:00",-2845,"Exited at Specified Time",-5869.08,-10.856603773584906,17,1318994.4,62560,"",121.04,53.04,0.627,0.686,20.06,1.67,24.37,-14.78
