"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-01-28","09:35:00",6997.83,"37 Feb 6 6905 P STO 28.85 | 37 Feb 6 7075 C STO 22.65 | 37 Feb 20 6905 P BTO 55.70 | 37 Feb 20 7075 C BTO 53.00",-5730,6863.88,"2026-02-04","12:28:00",-5615,"Above Delta",-4633.88,-2.1856893542757416,37,2547751.28,212010,"",263.44,115.44,0.474,0.546,23.4,-4.17,13.09,-12.3
"2025-12-12","09:35:00",6895.6,"41 Dec 22 6820 P STO 24.05 | 41 Dec 22 6965 C STO 18.85 | 41 Jan 5 6820 P BTO 47.30 | 41 Jan 5 6970 C BTO 44.50",-4900,6776.59,"2025-12-16","11:38:00",-3410,"Above Delta",-61509.84,-30.61714285714286,41,2560194.52,221400,"",291.92,127.92,0.467,0.668,-14.15,8.75,0.2,-30.41
"2025-12-08","09:35:00",6873.36,"39 Dec 17 6780 P STO 28.75 | 39 Dec 17 6955 C STO 24.20 | 39 Dec 31 6780 P BTO 55.45 | 39 Dec 31 6955 C BTO 54.00",-5660,6764.37,"2025-12-17","10:46:00",-5470,"Above Delta",-7809.36,-3.5378091872791515,39,2552385.16,220740,"",277.68,121.68,0.484,0.318,4.8,-1.84,6.36,-12.01
"2025-12-05","09:35:00",6873.63,"35 Dec 15 6790 P STO 26.35 | 35 Dec 15 6945 C STO 22.15 | 35 Dec 29 6790 P BTO 54.00 | 35 Dec 29 6950 C BTO 52.30",-5790,6895.61,"2025-12-12","09:32:00",-5965,"Below Short/Long Ratio",5766.6,2.8455958549222804,35,2621704.36,220150,"",249.2,109.2,0.456,0.079,9.2,7.31,9.76,-6.91
"2025-11-12","09:36:00",6866.5,"37 Nov 21 6775 P STO 29.50 | 37 Nov 21 6950 C STO 23.45 | 37 Dec 5 6775 P BTO 57.70 | 37 Dec 5 6950 C BTO 56.35",-6120,6661.67,"2025-11-14","09:32:00",-3860,"Above Delta",-83998.88,-37.09542483660131,37,2615937.76,226440,"",263.44,115.44,0.464,0.783,21.16,-1.27,1.23,-36.76
"2025-10-30","09:36:00",6846.88,"30 Nov 10 6755 P STO 31.10 | 30 Nov 10 6935 C STO 24.90 | 30 Nov 24 6760 P BTO 64.60 | 30 Nov 24 6940 C BTO 58.65",-6735,6716.46,"2025-11-06","11:46:00",-6750,"Above Delta",142.8,0.0706755753526355,30,2699936.64,217050,"",213.6,93.6,0.454,0.47,-30.09,-13.62,19.97,-0.82
"2025-10-29","09:35:00",6912.25,"35 Nov 7 6820 P STO 30.95 | 35 Nov 7 7000 C STO 26.25 | 35 Nov 21 6820 P BTO 60.15 | 35 Nov 21 7000 C BTO 59.00",-6205,6778.86,"2025-11-04","09:32:00",-5815,"Above Delta",-14008.4,-6.450282030620468,35,2699793.84,217175,"",249.2,109.2,0.48,0.519,20.06,1.3,22.4,-6.12
"2025-10-27","09:35:00",6849.35,"39 Nov 5 6770 P STO 26.60 | 39 Nov 5 6925 C STO 20.50 | 39 Nov 19 6770 P BTO 52.80 | 39 Nov 19 6925 C BTO 50.35",-5615,6862.83,"2025-11-03","13:37:00",-7955,"Below Short/Long Ratio",90860.64,41.49171861086376,39,2713802.24,218985,"",277.68,121.68,0.457,0.099,53.77,3.89,54.41,0
"2025-10-24","09:35:00",6789.74,"37 Nov 3 6705 P STO 28.40 | 37 Nov 3 6865 C STO 21.70 | 37 Nov 17 6710 P BTO 54.80 | 37 Nov 17 6870 C BTO 49.35",-5415,6906.1,"2025-10-28","14:21:00",-5560,"Below Delta",4986.12,2.4886426592797783,37,2622941.6,218855,"",263.44,115.44,0.481,0.594,33.63,17.67,8.03,-1.2
"2025-09-18","09:40:00",6625.08,"33 Sep 29 6550 P STO 24.15 | 33 Sep 29 6695 C STO 21.40 | 33 Oct 13 6550 P BTO 50.30 | 33 Oct 13 6700 C BTO 50.35",-5520,6620.93,"2025-09-26","09:32:00",-7000,"Below Short/Long Ratio",48502.08,26.62608695652174,33,2617955.48,198660,"",234.96,102.96,0.453,0.084,26.5,-1.77,37.59,-1.63
