time,open,high,low,close,Volume
1356964200,1402.42993,1426.73999,1398.11011,1426.18994,
1357137000,1426.18994,1462.42993,1426.18994,1462.41992,
1357223400,1462.41992,1465.46997,1455.53003,1459.37012,
1357309800,1459.37012,1467.93994,1458.98999,1466.46997,
1357569000,1466.46997,1466.46997,1456.62012,1461.88989,
1357655400,1461.88989,1461.88989,1451.63989,1457.1499,
1357741800,1457.1499,1464.72998,1457.1499,1461.02002,
1357828200,1461.02002,1472.30005,1461.02002,1472.12012,
1357914600,1472.12012,1472.75,1467.58008,1472.05005,
1358173800,1472.05005,1472.05005,1465.68994,1470.67993,
1358260200,1470.66992,1473.31006,1463.76001,1472.34009,
1358346600,1472.33008,1473.95996,1467.6001,1472.62988,
1358433000,1472.62988,1485.15991,1472.62988,1480.93994,
1358519400,1480.94995,1485.97998,1475.81006,1485.97998,
1358865000,1485.97998,1492.56006,1481.15991,1492.56006,
1358951400,1492.56006,1496.12988,1489.8999,1494.81006,
1359037800,1494.81006,1502.27002,1489.45996,1494.82007,
1359124200,1494.82007,1503.26001,1494.82007,1502.95996,
1359383400,1502.95996,1503.22998,1496.33008,1500.17993,
1359469800,1500.17993,1509.3501,1498.09009,1507.84009,
1359556200,1507.84009,1509.93994,1500.11011,1501.95996,
1359642600,1501.95996,1504.18994,1496.76001,1498.11011,
1359729000,1498.11011,1514.40991,1498.11011,1513.16992,
1359988200,1513.16992,1513.16992,1495.02002,1495.70996,
1360074600,1495.70996,1514.95996,1495.70996,1511.29004,
1360161000,1511.29004,1512.53003,1504.70996,1512.12012,
1360247400,1512.12012,1512.8999,1498.48999,1509.38989,
1360333800,1509.38989,1518.31006,1509.38989,1517.92993,
1360593000,1517.92993,1518.31006,1513.61011,1517.01001,
1360679400,1517.01001,1522.29004,1515.61011,1519.42993,
1360765800,1519.42993,1524.68994,1515.92993,1520.33008,
1360852200,1520.33008,1523.13989,1514.02002,1521.37988,
1360938600,1521.37988,1524.23999,1514.13989,1519.79004,
1361284200,1519.79004,1530.93994,1519.79004,1530.93994,
1361370600,1530.93994,1530.93994,1511.40991,1511.94995,
1361457000,1511.94995,1511.94995,1497.29004,1502.41992,
1361543400,1502.41992,1515.63989,1502.41992,1515.6001,
1361802600,1515.6001,1525.84009,1487.8501,1487.8501,
1361889000,1487.8501,1498.98999,1485.01001,1496.93994,
1361975400,1496.93994,1520.08008,1494.87988,1515.98999,
1362061800,1515.98999,1525.34009,1514.45996,1514.67993,
1362148200,1514.67993,1519.98999,1501.47998,1518.19995,
1362407400,1518.19995,1525.27002,1512.29004,1525.19995,
1362493800,1525.19995,1543.46997,1525.19995,1539.79004,
1362580200,1539.79004,1545.25,1538.11011,1541.45996,
1362666600,1541.45996,1545.78003,1541.45996,1544.26001,
