time,open,high,low,close
1739889000,6121.6,6125.39,6118.41,6122.64
1739889300,6122.78,6123.27,6118.24,6122.27
1739889600,6122.59,6124.07,6116.3,6117.13
1739889900,6117.11,6119.12,6114.75,6117.79
1739890200,6117.53,6121.6,6114.32,6119.91
1739890500,6119.77,6121.84,6116.67,6118.31
1739890800,6115.58,6116.65,6108.94,6113.9
1739891100,6113.99,6116.24,6112.29,6114.72
1739891400,6114.71,6119.05,6112.45,6117.27
1739891700,6117.3,6118.48,6110.54,6111.2
1739892000,6111.51,6115.75,6111.06,6114.28
1739892300,6114.32,6115.35,6109.95,6111.34
1739892600,6111.26,6114.46,6109.39,6112.45
1739892900,6112.53,6117.32,6112.31,6115.42
1739893200,6115.83,6117.95,6114.7,6117.15
1739893500,6117.03,6117.45,6112.05,6114.46
1739893800,6114.48,6120.88,6113.42,6120.8
1739894100,6120.99,6122.35,6119.43,6122.13
1739894400,6121.95,6122.21,6120.68,6120.89
1739894700,6120.83,6122.25,6118.9,6121.67
1739895000,6121.5,6123.32,6119.49,6119.74
1739895300,6119.61,6121.24,6119.46,6119.46
1739895600,6119.54,6119.71,6113.53,6115.29
1739895900,6115.39,6120.42,6115.01,6119.84
1739896200,6119.83,6119.83,6116.03,6117.4
1739896500,6117.34,6119.46,6116.36,6119.2
1739896800,6119.3,6119.3,6117.02,6117.69
1739897100,6117.76,6122.25,6117.63,6122.25
1739897400,6122.29,6123.56,6122.01,6122.83
1739897700,6122.87,6123.4,6117.74,6118.16
1739898000,6118.15,6118.15,6116.2,6117.57
1739898300,6117.58,6118.44,6114.57,6115.62
1739898600,6115.52,6118.22,6113.83,6117.48
1739898900,6117.54,6117.64,6114.02,6114.86
1739899200,6114.85,6115.41,6113.48,6114.7
1739899500,6114.51,6116.09,6114.25,6115.73
1739899800,6115.86,6118.54,6115.86,6116.76
1739900100,6116.69,6118.85,6116.2,6118.26
1739900400,6118.19,6119.22,6117.01,6117.54
1739900700,6117.53,6118.38,6116.84,6117.61
1739901000,6117.71,6120.83,6117.66,6120.43
1739901300,6120.41,6120.42,6118.57,6118.88
1739901600,6118.9,6122.28,6118.2,6121.67
1739901900,6121.76,6122.05,6117.43,6117.87
1739902200,6117.9,6117.96,6115.2,6116.4
1739902500,6116.36,6116.78,6114.26,6114.26
1739902800,6114.24,6114.94,6111,6114.29
1739903100,6114.28,6115.63,6113.84,6114.06
1739903400,6114.02,6114.02,6111.34,6112.6
1739903700,6112.57,6113.06,6111.05,6112.13
1739904000,6111.97,6112.04,6110.31,6111.05
1739904300,6111.04,6113.64,6109.93,6113.64
1739904600,6113.55,6114.58,6112.55,6113.68
1739904900,6113.64,6114.89,6111.85,6111.91
1739905200,6111.97,6113.82,6111.84,6112.7
1739905500,6112.69,6113.55,6100.51,6102.93
1739905800,6102.83,6106.02,6102.8,6103.94
1739906100,6103.89,6104.28,6100.95,6101.3
1739906400,6101.32,6111.04,6099.51,6109.91
1739906700,6109.98,6110.42,6107.61,6107.61
1739907000,6107.69,6110.2,6106.59,6110.03
1739907300,6110.02,6110.91,6106.88,6106.94
1739907600,6106.93,6110.01,6106.93,6109.26
1739907900,6109.3,6112.77,6108.8,6112.62
1739908200,6112.64,6115.77,6112.09,6114.65
1739908500,6114.6,6115.85,6113.86,6114.21
1739908800,6114.27,6114.55,6113.2,6113.76
1739909100,6113.75,6114.05,6112.59,6113.48
1739909400,6113.43,6114.52,6112.17,6114.19
1739909700,6114.21,6114.27,6112.04,6113
1739910000,6112.99,6114.28,6112.04,6114.02
1739910300,6114.04,6115.15,6113.09,6113.21
1739910600,6113.25,6116.01,6112.99,6113.77
1739910900,6113.82,6114.44,6112.39,6113.21
1739911200,6113.27,6115.25,6111.64,6112.85
1739911500,6112.89,6114.29,6111.52,6112.31
1739911800,6112.84,6118.26,6112.55,6117.56
1739912100,6117.66,6129.39,6117.66,6129.39
1739912400,6129.49,6129.63,6129.49,6129.58
1739975400,6117.76,6119.06,6112.37,6116.84
1739975700,6116.75,6117.98,6114.5,6114.59
1739976000,6114.6,6118.17,6113.97,6115.51
1739976300,6115.33,6118.06,6112.19,6113.37
1739976600,6113.46,6117,6112.44,6116.67
1739976900,6116.7,6117.25,6114.27,6114.75
1739977200,6115.35,6118.3,6111.31,6112.39
1739977500,6112.48,6115.68,6111.15,6113.09
1739977800,6113.13,6114.27,6111.53,6112.91
1739978100,6112.84,6117.89,6111.86,6115.6
1739978400,6115.62,6116.24,6113.03,6115.55
1739978700,6115.63,6117.86,6115.06,6116.97
1739979000,6116.88,6123.97,6116.76,6120.98
1739979300,6120.84,6121.68,6118.99,6119.91
1739979600,6120.03,6121.48,6119.19,6121.16
1739979900,6121.34,6122.54,6120.26,6121.21
1739980200,6121.13,6121.44,6119.24,6120.25
1739980500,6120.14,6120.14,6114.16,6117.15
1739980800,6117.17,6122.75,6117.03,6121.33
1739981100,6121.39,6123.97,6121.22,6123.43
1739981400,6123.52,6128.78,6122.58,6128.24
1739981700,6128.23,6128.98,6125.75,6127.45
1739982000,6127.4,6127.4,6125.98,6127.11
1739982300,6127.18,6128.32,6126.62,6127.53
1739982600,6127.6,6128.74,6125.95,6128.11
1739982900,6128.19,6129.09,6126.7,6127.83
1739983200,6127.67,6132.89,6127.67,6132.86
1739983500,6132.87,6133.56,6130.66,6130.74
1739983800,6130.77,6133.14,6130.67,6133.04
1739984100,6132.97,6134.08,6132.37,6132.95
1739984400,6132.99,6135.07,6132.52,6134.07
1739984700,6133.96,6134.61,6133.35,6134.1
1739985000,6134.01,6134.27,6130.36,6131.68
1739985300,6131.59,6131.79,6129.85,6131
1739985600,6130.87,6131.37,6127.09,6127.09
1739985900,6127.02,6127.73,6125.5,6126.12
