time,open,high,low,close,Volume
1454573700,22.29,23.14,21.24,21.84,
1454660100,22.09,24.11,21.91,23.38,
1454919300,25.89,27.72,25.56,26,
1455005700,28.3,28.31,25.99,26.54,
1455092100,25.75,26.6,24.47,26.29,
1455178500,29.01,29.87,26.67,28.14,
1455264900,27.16,27.57,24.92,25.4,
1455610500,24.96,25.52,23.32,24.11,
1455696900,23.4,23.87,22.28,22.31,
1455783300,22.16,22.53,21.29,21.64,
1455869700,22.39,23.44,20.52,20.53,
1456128900,20.14,20.35,19.02,19.38,
1456215300,19.75,21.16,19.54,20.98,
1456301700,22.28,22.87,20.61,20.72,
1456388100,20.54,21.26,19.1,19.11,
1456474500,18.89,20.13,18.88,19.81,
1456733700,20.49,20.81,19.26,20.55,
1456820100,19.84,20.17,17.66,17.7,
1456906500,17.98,18.41,16.78,17.09,
1456992900,17.25,17.56,16.32,16.7,
1457079300,16.48,17.35,16.05,16.86,
1457338500,17.98,18.04,16.96,17.35,
1457424900,18.38,18.89,17.82,18.67,
1457511300,18.56,19.11,18.31,18.34,
1457597700,18.17,19.59,17.06,18.05,
1457684100,17.09,17.27,16.28,16.5,
1457939700,17.01,17.67,16.69,16.92,
1458026100,17.6,17.85,16.84,16.84,
1458112500,15.96,16.33,14.89,14.99,
1458198900,15.34,15.38,13.82,14.44,
1458285300,14.05,14.36,13.75,14.02,
1458544500,14.57,14.73,13.79,13.79,
1458630900,14.57,14.76,13.75,14.17,
1458717300,14.57,15.03,14.33,14.94,
1458803700,16.3,16.44,14.71,14.74,
1459149300,15.65,16.04,14.89,15.24,
1459235700,15.74,15.89,13.79,13.82,
1459322100,13.69,13.89,13.06,13.56,
1459408500,13.73,14.28,13.49,13.95,
1459494900,15.23,15.28,13,13.1,
1459754100,13.88,14.24,13.66,14.12,
1459840500,15.39,15.72,14.93,15.42,
1459926900,15.61,15.98,14,14.09,
1460013300,15.14,16.77,14.68,16.16,
1460099700,15.34,15.93,14.84,15.36,
1460358900,15.34,16.26,14.83,16.26,
1460445300,15.98,16.57,14.84,14.85,
1460531700,14.49,14.53,13.6,13.84,
1460618100,13.9,14.12,13.38,13.72,
1460704500,13.77,14.19,13.58,13.62,
1460963700,14.87,14.94,13.23,13.35,
1461050100,13.18,13.88,12.98,13.24,
1461136500,13.39,13.5,12.5,13.28,
1461222900,13.2,14.14,13.16,13.95,
1461309300,13.7,14.19,13.15,13.22,
1461568500,14.07,14.76,13.86,14.08,
1461654900,14.01,14.43,13.66,13.96,
1461741300,14.15,14.95,13.5,13.77,
1461827700,14.53,15.61,13.3,15.22,
1461914100,15.21,17.09,14.91,15.7,
1462173300,16.33,16.5,14.48,14.68,
1462259700,14.92,16.42,14.91,15.6,
1462346100,15.47,16.85,15.39,16.05,
1462432500,15.54,16.45,15.22,15.91,
1462518900,16.2,16.58,14.71,14.72,
