time,open,high,low,close
1755501300,15.73,15.74,15.7,15.72
1755501600,15.73,15.73,15.68,15.69
1755501900,15.68,15.73,15.68,15.73
1755502200,15.76,15.85,15.76,15.85
1755502500,15.84,15.84,15.79,15.79
1755502800,15.78,15.79,15.75,15.77
1755503100,15.76,15.77,15.74,15.75
1755503400,15.76,15.77,15.75,15.75
1755503700,15.76,15.76,15.74,15.74
1755504000,15.75,15.81,15.75,15.79
1755504300,15.81,15.82,15.78,15.79
1755504600,15.8,15.85,15.79,15.84
1755504900,15.85,15.85,15.82,15.82
1755505200,15.81,15.89,15.8,15.89
1755505500,15.9,15.95,15.88,15.88
1755505800,15.87,15.87,15.81,15.81
1755506100,15.8,15.8,15.78,15.78
1755506400,15.77,15.78,15.75,15.77
1755506700,15.76,15.77,15.75,15.75
1755507000,15.74,15.75,15.72,15.73
1755507300,15.72,15.73,15.71,15.72
1755507600,15.74,15.76,15.73,15.74
1755507900,15.73,15.75,15.73,15.75
1755508200,15.74,15.75,15.73,15.74
1755508500,15.75,15.78,15.74,15.78
1755508800,15.77,15.83,15.76,15.82
1755509100,15.81,15.84,15.8,15.8
1755509400,15.81,15.81,15.78,15.79
1755509700,15.77,15.78,15.75,15.76
1755510000,15.75,15.75,15.74,15.75
1755510300,15.74,15.76,15.74,15.75
1755510600,15.76,15.77,15.76,15.77
1755510900,15.75,15.77,15.75,15.77
1755511200,15.76,15.76,15.74,15.75
1755511500,15.74,15.75,15.74,15.75
1755511800,15.74,15.74,15.72,15.72
1755512100,15.71,15.74,15.71,15.73
1755512400,15.72,15.72,15.71,15.71
1755512700,15.72,15.73,15.72,15.73
1755513000,15.72,15.72,15.69,15.69
1755513300,15.7,15.7,15.66,15.66
1755513600,15.65,15.65,15.63,15.63
1755513900,15.62,15.62,15.62,15.62
1755514200,15.61,15.61,15.6,15.6
1755514500,15.61,15.61,15.61,15.61
1755514800,15.6,15.62,15.59,15.6
1755515100,15.59,15.59,15.57,15.57
1755515400,15.58,15.59,15.57,15.57
1755515700,15.58,15.6,15.57,15.6
1755516000,15.61,15.61,15.6,15.61
1755516300,15.6,15.61,15.6,15.6
1755516600,15.61,15.62,15.61,15.61
1755516900,15.62,15.63,15.61,15.62
1755517200,15.61,15.64,15.61,15.63
1755517500,15.62,15.62,15.62,15.62
1755517800,15.61,15.62,15.61,15.61
1755518100,15.6,15.6,15.58,15.58
1755518400,15.59,15.64,15.59,15.64
1755518700,15.65,15.65,15.64,15.64
1755519000,15.63,15.63,15.59,15.6
1755519300,15.59,15.6,15.59,15.59
1755519600,15.58,15.58,15.58,15.58
1755519900,15.59,15.59,15.57,15.57
1755520200,15.58,15.59,15.57,15.59
1755520500,15.6,15.6,15.58,15.58
1755520800,15.59,15.59,15.56,15.56
1755521100,15.55,15.55,15.51,15.51
1755521400,15.52,15.52,15.52,15.52
1755521700,15.51,15.51,15.48,15.48
1755522000,15.49,15.49,15.44,15.46
1755522300,15.45,15.45,15.44,15.45
1755522600,15.46,15.49,15.46,15.48
1755522900,15.49,15.49,15.46,15.46
1755523200,15.47,15.49,15.46,15.49
1755523800,15.43,15.47,15.4,15.43
1755524100,15.41,15.44,15.39,15.41
1755524400,15.4,15.51,15.4,15.46
1755524700,15.44,15.44,15.36,15.4
1755525000,15.41,15.54,15.41,15.5
1755525300,15.51,15.6,15.48,15.59
1755525600,15.58,15.58,15.47,15.47
1755525900,15.46,15.5,15.45,15.48
1755526200,15.47,15.49,15.44,15.45
1755526500,15.44,15.45,15.38,15.4
1755526800,15.42,15.42,15.28,15.28
1755527100,15.29,15.38,15.28,15.38
1755527400,15.41,15.47,15.35,15.35
1755527700,15.36,15.36,15.31,15.32
1755528000,15.33,15.35,15.29,15.35
1755528300,15.36,15.52,15.36,15.44
1755528600,15.43,15.43,15.28,15.28
1755528900,15.27,15.34,15.27,15.28
1755529200,15.27,15.27,15.21,15.22
1755529500,15.24,15.25,15.2,15.2
1755529800,15.21,15.26,15.21,15.24
1755530100,15.26,15.26,15.23,15.24
1755530400,15.22,15.22,15.17,15.18
1755530700,15.19,15.21,15.16,15.21
1755531000,15.2,15.23,15.2,15.22
1755531300,15.21,15.25,15.16,15.17
1755531600,15.18,15.2,15.18,15.18
1755531900,15.17,15.18,15.14,15.15
1755532200,15.17,15.2,15.17,15.2
1755532500,15.23,15.26,15.23,15.26
1755532800,15.25,15.25,15.22,15.24
1755533100,15.25,15.25,15.2,15.2
1755533400,15.21,15.22,15.16,15.2
1755533700,15.21,15.21,15.17,15.17
1755534000,15.15,15.16,15.15,15.15
1755534300,15.17,15.17,15.15,15.16
1755534600,15.17,15.18,15.14,15.18
1755534900,15.2,15.29,15.2,15.28
1755535200,15.29,15.29,15.26,15.27
1755535500,15.28,15.33,15.27,15.31
1755535800,15.3,15.31,15.26,15.3
1755536100,15.31,15.33,15.29,15.32
1755536400,15.31,15.31,15.23,15.23
1755536700,15.24,15.26,15.22,15.24
1755537000,15.25,15.25,15.19,15.19
1755537300,15.18,15.18,15.17,15.17
1755537600,15.18,15.2,15.18,15.19
1755537900,15.18,15.18,15.15,15.15
1755538200,15.13,15.13,15.05,15.1
1755538500,15.11,15.19,15.09,15.19
1755538800,15.21,15.23,15.19,15.21
1755539100,15.2,15.24,15.2,15.24
1755539400,15.23,15.26,15.23,15.24
1755539700,15.25,15.26,15.23,15.24
1755540000,15.25,15.27,15.22,15.23
1755540300,15.22,15.22,15.17,15.17
1755540600,15.15,15.2,15.15,15.2
1755540900,15.21,15.24,15.19,15.21
1755541200,15.22,15.23,15.2,15.2
1755541500,15.18,15.21,15.18,15.2
1755541800,15.19,15.19,15.14,15.14
1755542100,15.15,15.17,15.12,15.17
1755542400,15.16,15.17,15.11,15.11
1755542700,15.1,15.1,15.08,15.08
1755543000,15.05,15.06,15.01,15.01
1755543300,15,15.01,14.98,15
1755543600,14.99,15.01,14.99,15.01
1755543900,15.02,15.06,15.02,15.06
1755544200,15.05,15.11,15.05,15.11
1755544500,15.1,15.11,15.09,15.09
1755544800,15.08,15.1,15.07,15.07
1755545100,15.08,15.1,15.07,15.07
1755545400,15.08,15.09,15.08,15.08
1755545700,15.07,15.07,15.03,15.05
1755546000,15.06,15.06,15.02,15.02
1755546300,15.01,15.01,14.99,15.01
1755546600,15.02,15.04,14.98,14.98
1755546900,14.95,15.04,14.95,15.03
1755547200,15.02,15.03,15.02,15.03
1755547500,15,15.02,15,15.01
1755547800,15,15.01,14.98,14.99
1755587700,15.23,15.23,15.21,15.21
1755588000,15.22,15.23,15.22,15.22
1755588300,15.21,15.21,15.21,15.21
1755588600,15.22,15.23,15.22,15.23
1755588900,15.22,15.23,15.21,15.21
1755589200,15.2,15.2,15.18,15.18
1755589500,15.17,15.18,15.17,15.18
1755589800,15.17,15.18,15.17,15.18
1755590100,15.17,15.18,15.17,15.18
1755590400,15.17,15.17,15.12,15.13
1755590700,15.14,15.16,15.14,15.15
1755591000,15.16,15.2,15.16,15.19
1755591300,15.18,15.2,15.18,15.19
1755591600,15.18,15.18,15.16,15.16
1755591900,15.15,15.16,15.15,15.15
1755592200,15.14,15.15,15.14,15.14
1755592500,15.15,15.16,15.15,15.16
1755592800,15.15,15.15,15.09,15.1
1755593100,15.09,15.09,15.06,15.06
1755593400,15.05,15.06,15.05,15.05
1755594300,15.04,15.04,15.04,15.04
1755594600,15.03,15.03,15.02,15.03
1755594900,15.02,15.02,15.01,15.01
1755595200,15,15,14.97,14.98
1755595500,14.99,14.99,14.96,14.97
1755595800,14.96,14.98,14.96,14.97
1755596400,14.98,14.99,14.98,14.99
1755596700,14.98,14.99,14.98,14.99
1755597000,15,15,14.99,14.99
1755597300,15,15.01,14.99,15.01
1755597600,15.03,15.06,15.02,15.03
1755597900,15.02,15.02,15.01,15.02
1755598500,15.03,15.04,15.02,15.03
1755598800,15.02,15.03,15.01,15.02
1755599400,15.03,15.03,15.02,15.03
1755599700,15.02,15.02,15.02,15.02
1755600000,15.03,15.05,15.03,15.03
1755600300,15.02,15.05,15.02,15.04
1755600600,15.05,15.09,15.05,15.07
1755600900,15.06,15.08,15.06,15.07
1755601200,15.04,15.05,15.04,15.05
1755601800,15.04,15.04,15.03,15.03
1755602100,15.02,15.02,15.02,15.02
1755602400,15.03,15.03,15.02,15.02
1755602700,15.01,15.01,15.01,15.01
1755603000,15.02,15.03,15.02,15.03
1755603300,15.04,15.04,15.01,15.01
1755603600,15,15.01,15,15.01
1755603900,14.99,14.99,14.96,14.96
1755604200,14.95,14.96,14.95,14.96
1755604500,14.95,14.95,14.94,14.95
1755604800,14.94,14.99,14.94,14.99
1755605100,14.98,15.02,14.98,15.01
1755605400,15,15,14.99,14.99
1755605700,14.98,14.99,14.98,14.98
1755606000,14.99,14.99,14.97,14.97
1755606300,14.96,14.96,14.92,14.93
1755606600,14.92,14.93,14.91,14.93
1755606900,14.92,14.92,14.91,14.91
1755607500,14.92,14.95,14.92,14.95
1755607800,14.96,14.99,14.96,14.98
1755608100,14.97,14.99,14.97,14.98
1755608400,14.99,15,14.96,14.96
1755608700,14.98,15,14.98,15
1755609000,15.01,15.01,15,15.01
1755609300,15,15,14.99,14.99
1755609600,15,15,14.96,14.97
1755609900,14.98,14.98,14.98,14.98
1755610200,14.96,15.14,14.96,15.12
1755610500,15.11,15.12,15.02,15.05
1755610800,15.01,15.01,14.89,14.96
1755611100,14.99,15.09,14.99,15.05
1755611400,15.04,15.06,14.94,14.95
1755611700,14.94,14.99,14.94,14.98
1755612000,14.96,14.98,14.8,14.81
1755612300,14.82,14.87,14.82,14.85
1755612600,14.84,14.88,14.84,14.87
1755612900,14.86,14.88,14.83,14.84
1755613200,14.83,14.85,14.78,14.78
1755613500,14.77,14.87,14.76,14.86
1755613800,14.83,14.9,14.81,14.83
1755614100,14.82,14.94,14.82,14.94
1755614400,14.93,15.1,14.93,15.07
1755614700,15.05,15.19,15.05,15.13
1755615000,15.14,15.17,15.07,15.07
1755615300,15.08,15.25,15.04,15.25
1755615600,15.29,15.46,15.29,15.3
1755615900,15.29,15.35,15.24,15.26
1755616200,15.29,15.36,15.23,15.23
1755616500,15.24,15.3,15.24,15.25
1755616800,15.24,15.32,15.23,15.29
1755617100,15.32,15.33,15.21,15.23
1755617400,15.22,15.22,15.16,15.16
1755617700,15.12,15.23,15.11,15.23
1755618000,15.21,15.28,15.21,15.21
1755618300,15.23,15.27,15.22,15.25
