time,open,high,low,close,Volume
1767202200,14.68,14.68,14.64,14.64,
1767202500,14.63,14.66,14.63,14.66,
1767202800,14.67,14.68,14.65,14.65,
1767203100,14.66,14.67,14.65,14.66,
1767203400,14.67,14.69,14.67,14.68,
1767203700,14.7,14.72,14.69,14.69,
1767204000,14.68,14.69,14.67,14.67,
1767204300,14.66,14.69,14.64,14.64,
1767204600,14.63,14.63,14.58,14.58,
1767204900,14.57,14.62,14.57,14.62,
1767205200,14.61,14.61,14.59,14.59,
1767205500,14.58,14.58,14.53,14.53,
1767205800,14.54,14.54,14.51,14.51,
1767206100,14.53,14.54,14.52,14.54,
1767206400,14.53,14.54,14.5,14.51,
1767206700,14.5,14.52,14.49,14.49,
1767207000,14.47,14.49,14.44,14.44,
1767207300,14.45,14.46,14.43,14.46,
1767207600,14.45,14.45,14.38,14.38,
1767207900,14.39,14.4,14.38,14.39,
1767208200,14.4,14.41,14.4,14.4,
1767208500,14.41,14.47,14.41,14.47,
1767208800,14.48,14.51,14.47,14.47,
1767209100,14.49,14.51,14.48,14.51,
1767209400,14.5,14.7,14.5,14.7,
1767209700,14.69,14.69,14.53,14.6,
1767210000,14.61,14.62,14.57,14.62,
1767210300,14.63,14.66,14.61,14.66,
1767210600,14.67,14.73,14.67,14.73,
1767210900,14.71,14.72,14.7,14.72,
1767211200,14.7,14.82,14.7,14.78,
1767211500,14.75,14.9,14.74,14.9,
1767211800,14.89,14.97,14.89,14.95,
1767212100,14.93,14.93,14.89,14.92,
1767212400,14.93,15.06,14.93,15.04,
1767212700,15.05,15.17,15.05,15.15,
1767213000,15.17,15.17,14.97,14.98,
1767213300,14.96,14.96,14.85,14.9,
1767213600,14.92,14.96,14.87,14.87,
1767213900,14.86,14.97,14.86,14.96,
1767214200,14.97,14.98,14.88,14.91,
1767214500,14.93,15.06,14.81,15.01,
1767214800,15.04,15.04,14.99,15.01,
1767215100,15,15.04,15,15.02,
1767215400,15.01,15.01,14.94,14.94,
1767215700,14.95,14.95,14.95,14.95,
1767341700,14.85,14.85,14.84,14.84,
1767342000,14.83,14.85,14.82,14.84,
1767342300,14.85,14.85,14.81,14.84,
1767342600,14.86,14.86,14.83,14.83,
1767342900,14.84,14.85,14.84,14.85,
1767343200,14.84,14.85,14.81,14.81,
1767343500,14.82,14.82,14.8,14.8,
1767343800,14.81,14.81,14.78,14.79,
1767344100,14.8,14.81,14.78,14.81,
1767344400,14.8,14.81,14.77,14.8,
1767344700,14.79,14.81,14.78,14.78,
1767345000,14.77,14.8,14.77,14.79,
1767345300,14.8,14.82,14.8,14.81,
1767345600,14.8,14.82,14.79,14.82,
1767345900,14.81,14.81,14.79,14.79,
1767346200,14.78,14.79,14.77,14.79,
1767346500,14.78,14.78,14.78,14.78,
1767346800,14.77,14.77,14.76,14.76,
1767347100,14.77,14.81,14.76,14.81,
1767347400,14.8,14.84,14.8,14.83,
1767347700,14.82,14.83,14.77,14.78,
1767348000,14.79,14.8,14.78,14.8,
1767348300,14.81,14.81,14.81,14.81,
1767348600,14.8,14.8,14.79,14.8,
1767348900,14.79,14.79,14.77,14.79,
1767349200,14.8,14.83,14.8,14.82,
1767349500,14.83,14.83,14.81,14.83,
1767349800,14.84,14.86,14.84,14.86,
1767350100,14.85,14.85,14.84,14.84,
1767350400,14.83,14.83,14.82,14.82,
1767350700,14.81,14.81,14.77,14.77,
1767351000,14.78,14.79,14.77,14.78,
1767351300,14.79,14.79,14.78,14.78,
1767351600,14.79,14.79,14.76,14.77,
1767351900,14.78,14.78,14.77,14.78,
1767352200,14.79,14.79,14.78,14.78,
1767352500,14.79,14.81,14.79,14.81,
1767352800,14.82,14.82,14.81,14.82,
1767353100,14.83,14.85,14.83,14.84,
1767353400,14.83,14.84,14.83,14.84,
1767353700,14.83,14.83,14.81,14.83,
1767354000,14.82,14.82,14.81,14.82,
1767354300,14.81,14.82,14.81,14.82,
1767354600,14.81,14.84,14.81,14.84,
1767354900,14.85,14.85,14.82,14.82,
1767355200,14.83,14.86,14.81,14.82,
1767355500,14.8,14.81,14.8,14.81,
1767355800,14.82,14.89,14.82,14.88,
1767356100,14.86,14.87,14.85,14.85,
1767356400,14.84,14.85,14.83,14.85,
1767356700,14.84,14.85,14.83,14.83,
1767357000,14.82,14.82,14.81,14.82,
1767357300,14.83,14.83,14.82,14.82,
1767357600,14.83,14.83,14.8,14.8,
1767357900,14.81,14.81,14.81,14.81,
1767358200,14.8,14.81,14.8,14.81,
1767358500,14.82,14.82,14.81,14.81,
1767358800,14.82,14.82,14.8,14.81,
1767359100,14.8,14.82,14.8,14.82,
1767359400,14.81,14.82,14.81,14.81,
1767359700,14.82,14.82,14.8,14.81,
1767360000,14.82,14.84,14.81,14.83,
1767360300,14.82,14.84,14.82,14.83,
1767360600,14.84,14.85,14.84,14.84,
1767360900,14.85,14.85,14.82,14.84,
1767361200,14.83,14.84,14.81,14.81,
1767361500,14.8,14.83,14.8,14.8,
1767361800,14.81,14.82,14.8,14.81,
1767362100,14.82,14.82,14.78,14.78,
1767362400,14.79,14.79,14.75,14.75,
1767362700,14.74,14.78,14.74,14.76,
1767363000,14.77,14.78,14.77,14.77,
1767363300,14.78,14.78,14.75,14.76,
1767363600,14.77,14.78,14.73,14.73,
1767363900,14.74,14.74,14.74,14.74,
1767364200,14.71,14.96,14.71,14.93,
1767364500,14.92,15,14.88,14.96,
1767364800,15,15.06,14.96,14.97,
1767365100,14.98,14.98,14.71,14.78,
1767365400,14.75,14.75,14.64,14.7,
1767365700,14.68,14.7,14.63,14.68,
1767366000,14.69,14.69,14.6,14.66,
1767366300,14.65,14.74,14.65,14.73,
1767366600,14.75,14.94,14.75,14.94,
1767366900,14.93,15.01,14.85,14.97,
1767367200,14.96,15.35,14.96,15.33,
1767367500,15.38,15.41,15.16,15.16,
1767367800,15.17,15.2,14.9,14.92,
1767368100,14.91,15,14.84,14.93,
1767368400,14.91,14.91,14.73,14.79,
1767368700,14.8,14.9,14.77,14.9,
1767369000,14.93,15.17,14.92,15.06,
1767369300,15,15.34,14.94,15.33,
1767369600,15.28,15.4,15.26,15.35,
