time,open,high,low,close,Volume
1761917400,19.68,19.95,19.68,19.95,
1761918300,19.91,19.99,19.88,19.93,
1761919200,19.95,20.04,19.9,20.02,
1761920100,20.03,20.09,19.95,20.01,
1761921000,20,20.09,19.98,19.99,
1761921900,19.95,20.14,19.95,20.12,
1761922800,20.13,20.27,20.12,20.26,
1761923700,20.25,20.34,20.22,20.34,
1761924600,20.33,20.56,20.3,20.52,
1761925500,20.45,20.54,20.41,20.49,
1761926400,20.54,20.62,20.47,20.58,
1761927300,20.57,20.72,20.47,20.49,
1761928200,20.48,20.61,20.44,20.59,
1761929100,20.6,20.82,20.58,20.79,
1761930000,20.8,20.95,20.73,20.93,
1761930900,20.95,21.07,20.9,20.93,
1761931800,20.92,20.97,20.79,20.84,
1761932700,20.82,20.82,20.69,20.77,
1761933600,20.78,20.78,20.57,20.57,
1761934500,20.56,20.61,20.5,20.5,
1761935400,20.49,20.55,20.47,20.49,
1761936300,20.5,20.56,20.44,20.44,
1761937200,20.45,20.49,20.41,20.44,
1761938100,20.43,20.43,20.32,20.34,
1761939000,20.35,20.41,20.3,20.4,
1761939900,20.42,20.49,20.4,20.47,
1761940800,20.51,20.56,20.48,20.49,
1762180200,20.34,20.66,20.3,20.66,
1762181100,20.64,20.83,20.64,20.81,
1762182000,20.9,20.98,20.8,20.86,
1762182900,20.88,21.2,20.88,21.17,
1762183800,21.16,21.21,20.91,20.91,
1762184700,20.95,20.98,20.8,20.84,
1762185600,20.83,20.86,20.8,20.8,
1762186500,20.81,20.89,20.78,20.86,
1762187400,20.87,20.87,20.7,20.72,
1762188300,20.73,20.78,20.58,20.58,
1762189200,20.59,20.65,20.5,20.51,
1762190100,20.5,20.62,20.46,20.58,
1762191000,20.57,20.57,20.46,20.49,
1762191900,20.48,20.48,20.4,20.41,
1762192800,20.42,20.42,20.31,20.31,
1762193700,20.32,20.36,20.3,20.35,
1762194600,20.34,20.34,20.28,20.29,
1762195500,20.3,20.39,20.3,20.37,
1762196400,20.36,20.44,20.36,20.41,
1762197300,20.4,20.44,20.39,20.42,
1762198200,20.41,20.5,20.38,20.44,
1762199100,20.43,20.44,20.38,20.39,
1762200000,20.38,20.46,20.38,20.44,
1762200900,20.43,20.46,20.41,20.45,
1762201800,20.46,20.52,20.45,20.45,
1762202700,20.46,20.51,20.43,20.46,
1762203600,20.4,20.42,20.36,20.38,
1762266600,21.43,21.69,21.29,21.29,
1762267500,21.3,21.33,20.99,20.99,
1762268400,21,21.05,20.95,21,
1762269300,20.99,20.99,20.81,20.84,
1762270200,20.85,20.88,20.76,20.82,
1762271100,20.81,21.03,20.81,20.99,
1762272000,20.98,21.02,20.9,20.98,
1762272900,20.97,21.02,20.92,20.92,
1762273800,20.94,20.95,20.85,20.87,
1762274700,20.89,20.94,20.84,20.86,
1762275600,20.85,21.04,20.85,21.03,
1762276500,21.04,21.22,21.02,21.09,
1762277400,21.08,21.25,21.08,21.22,
1762278300,21.19,21.3,21.07,21.26,
1762279200,21.28,21.34,21.26,21.32,
1762280100,21.3,21.45,21.28,21.43,
1762281000,21.44,21.52,21.37,21.37,
1762281900,21.36,21.42,21.26,21.27,
1762282800,21.28,21.3,21.15,21.23,
1762283700,21.24,21.24,21.08,21.1,
1762284600,21.13,21.33,21.13,21.3,
1762285500,21.29,21.32,21.26,21.26,
1762286400,21.27,21.27,21.11,21.11,
1762287300,21.12,21.19,21.08,21.1,
1762288200,21.09,21.16,21.02,21.02,
1762289100,21,21.26,21,21.26,
1762290000,21.24,21.31,21.21,21.3,
