time,open,high,low,close
1357137000,17.63,17.63,16.59,16.69
1357223400,16.69,16.99001,16.48,16.74001
1357309800,16.49001,16.49001,16.17999,16.34
1357569000,16.42999,16.82001,16.42999,16.45
1357655400,16.45,16.84,16.38,16.45
1357741800,16.45,16.59,16.13,16.5
1357828200,16.5,16.5,16.07001,16.12
1357914600,16.12,16.34,15.97,16.00999
1358173800,16.16,16.50999,16.16,16.28999
1358260200,16.28999,16.62,16.2,16.33
1358346600,16.33,16.47,16.03,16.24001
1358433000,16.17999,16.17999,15.85,16.08
1358519400,16.03999,16.03999,15.22,15.29
1358865000,15.29,15.62,14.72,14.72
1358951400,14.72,14.9,14.39,14.5
1359037800,14.5,15.19,14.37,14.67
1359124200,14.67,14.79,14.43,14.66
1359383400,14.84,15.24,14.84,15.07
1359469800,15.07,15.3,14.67,14.74
1359556200,14.93,15.43,14.93,15.42
1359642600,15.42,15.62,15.39,15.55
1359729000,15.02,15.02,14.6,14.79
1359988200,15.27,15.85,15.27,15.79
1360074600,15.49,15.49,15,15.3
1360161000,15.3,15.54,15.11,15.14
1360247400,15.17,15.82,15.17,15.19
1360333800,15.02,15.02,14.73,14.8
1360593000,14.8,15.02,14.67,14.68
1360679400,14.68,14.83,14.45,14.53
1360765800,14.53,14.72,14.43,14.63
1360852200,14.63,14.9,14.43,14.43
1360938600,14.43,14.59,14.23,14.26
1361284200,14.26,14.44,13.94,13.99
1361370600,14.01,15.41,14.01,15.41
1361457000,15.41,16.37,15.41,15.71
1361543400,15.56,15.56,14.98,14.98
1361802600,14.98,18.03,14.57,17.94
1361889000,17.94,17.96001,16.86,17.25
1361975400,17.10001,17.10001,15.46,15.66
1362061800,15.66,16.2,15.35,16.17999
1362148200,16.17999,17.12,16.09,16.28999
1362407400,16.28999,16.67999,15.42,15.42
1362493800,15.08,15.08,14.75,14.95
1362580200,14.95,15.19,14.73,15.03
1362666600,15.03,15.03,14.71,14.74
1362753000,14.74,14.97,14.43,14.52
1363008600,14.52,14.97,14.3,14.3
1363095000,14.3,14.98,14.3,14.58
1363181400,14.58,14.78,14.51,14.51
1363267800,14.46,14.46,13.98,14.1
1363354200,14.21,14.67,14.21,14.26
1363613400,14.82,15.5,14.82,15.39
1363699800,15.39,16.72,15.09,15.71
1363786200,15,15,14.6,14.93
1363872600,14.93,15.63,14.92,15.53
1363959000,15.46,15.46,15.17,15.26
1364218200,15.26,15.86,14.71,15.3
1364304600,15,15,14.71,14.75
1364391000,14.8,15.53,14.8,14.93
1364477400,14.93,14.94,12.39,14.64
1364823000,14.95,15.46,14.95,15.28
1364909400,15,15,14.6,14.71
1364995800,14.71,15.73,14.7,15.49
1365082200,15.49,15.92,15.3,15.3
1365168600,15.33,16.38,15.33,15.38
1365427800,15.38,15.63,14.7,14.71
1365514200,14.71,15,14.35,14.46
1365600600,14.37,14.37,13.98,14.12
1365687000,14.12,14.24,13.94,14.17
1365773400,14.17,14.68,13.98,14.02
1366032600,14.54,17.03,14.54,17.03
1366119000,15.75,15.75,15.07,15.1
1366205400,15.73,17.46001,15.73,16.92999
1366291800,16.92999,17.96001,16.7,17.52
1366378200,17.21001,17.21001,16.17,16.17
1366637400,16.17,16.77,15.55,15.66
1366723800,15.66,15.8,14.82,14.83
1366810200,14.83,15.08,14.73,14.97
1366896600,14.97,15.09,14.53,14.96
1366983000,14.96,15.3,14.87,14.89
1367242200,14.89,15,14.6,14.92
1367328600,14.92,15.32,14.74,14.78
1367415000,15.03,15.64,15.03,15.61
1367501400,15.5,15.5,14.87,14.87
1367587800,14.52,14.52,14.31,14.45
1367847000,14.45,14.59,14.22,14.31
1367933400,14.31,14.41,14.15,14.35
1368019800,14.36,14.66,14.36,14.4
1368106200,14.45,15.08,14.45,14.81
1368192600,14.81,15.13,14.68,14.71
1368451800,14.93,15.24,14.93,15.05
1368538200,15.05,15.31,14.97,14.98
1368624600,15.02,15.5,15.02,15.05
1368711000,15.08,15.53,15.08,15.45
1368797400,15.4,15.4,15.04,15.17
1369056600,15.19,15.49,15.19,15.31
1369143000,15.31,15.78,15.28,15.78
1369229400,15.78,16.37,15.33,15.82
1369315800,15.9,16.62,15.9,16
1369402200,16,16.36,15.92,15.92
1369747800,15.92,16.00999,15.42,15.87
1369834200,15.96,16.64999,15.96,16.14999
1369920600,16.14999,16.25,15.86,16.00999
1370007000,16.02,17.28,16.02,17.13
1370266200,17.13,17.95,17.09,17.22
1370352600,17.22,17.8,16.92999,17.25999
1370439000,17.45,18.17999,17.45,18
1370525400,18,18.78999,17.53,17.55
