time,open,high,low,close
1740407400,19.11,19.11,18.95,19.07
1740407700,19.08,19.29,19.08,19.27
1740408000,19.28,19.41,19.25,19.36
1740408300,19.37,19.51,19.34,19.51
1740408600,19.49,19.74,19.49,19.74
1740408900,19.72,19.87,19.72,19.86
1740409200,19.88,20.25,19.79,20.25
1740409500,20.22,20.43,20.03,20.03
1740409800,20.06,20.06,19.68,19.68
1740410100,19.65,19.84,19.56,19.84
1740410400,19.83,19.83,19.62,19.63
1740410700,19.65,19.9,19.65,19.9
1740411000,19.92,19.94,19.79,19.9
1740411300,19.89,19.97,19.82,19.9
1740411600,19.89,19.92,19.84,19.9
1740411900,19.91,19.97,19.86,19.86
1740412200,19.84,20,19.8,19.96
1740412500,19.98,20.1,19.91,19.91
1740412800,19.94,19.96,19.85,19.86
1740413100,19.85,19.85,19.68,19.74
1740413400,19.75,19.77,19.65,19.65
1740413700,19.64,19.64,19.54,19.54
1740414000,19.53,19.53,19.43,19.43
1740414300,19.44,19.44,19.22,19.25
1740414600,19.21,19.21,19.15,19.18
1740414900,19.19,19.35,19.16,19.34
1740415200,19.35,19.35,19.15,19.23
1740415500,19.21,19.21,19.13,19.16
1740415800,19.18,19.2,19.12,19.15
1740416100,19.16,19.23,19.15,19.23
1740416400,19.22,19.22,19.11,19.12
1740416700,19.1,19.19,19.06,19.15
1740417000,19.16,19.18,19.09,19.18
1740417300,19.16,19.16,19.04,19.04
1740417600,19.03,19.05,19,19.03
1740417900,19.05,19.07,19.01,19.07
1740418200,19.08,19.12,19.07,19.09
1740418500,19.08,19.09,18.99,18.99
1740418800,19,19,18.95,18.95
1740419100,18.94,18.96,18.9,18.93
1740419400,18.94,19.02,18.94,19.02
1740419700,19.01,19.07,18.95,19.07
1740420000,19.06,19.06,19.03,19.04
1740420300,19.03,19.04,18.97,18.98
1740420600,18.96,19.01,18.95,18.99
1740420900,18.97,18.97,18.83,18.88
1740421200,18.87,18.94,18.87,18.93
1740421500,18.91,18.91,18.84,18.89
1740421800,18.88,18.92,18.87,18.89
1740422100,18.93,18.93,18.89,18.91
1740422400,18.9,18.92,18.86,18.91
1740422700,18.9,19.01,18.87,18.99
1740423000,19,19.06,19,19
1740423300,19.01,19.15,19,19.07
1740423600,19.08,19.08,18.98,18.98
1740423900,19,19.11,18.99,19.11
1740424200,19.09,19.17,19.09,19.12
1740424500,19.13,19.24,19.13,19.24
1740424800,19.22,19.26,19.19,19.2
1740425100,19.19,19.2,19.18,19.19
1740425400,19.2,19.2,19.09,19.09
1740425700,19.1,19.13,19.1,19.12
1740426000,19.13,19.2,19.13,19.2
1740426300,19.19,19.24,19.19,19.2
1740426600,19.21,19.24,19.19,19.24
1740426900,19.26,19.28,19.24,19.26
1740427200,19.24,19.36,19.24,19.32
1740427500,19.33,19.35,19.27,19.28
1740427800,19.29,19.32,19.29,19.32
1740428100,19.29,19.33,19.22,19.33
1740428400,19.29,19.35,19.29,19.35
1740428700,19.38,19.45,19.36,19.45
1740429000,19.46,19.46,19.37,19.39
1740429300,19.41,19.44,19.39,19.44
1740429600,19.45,19.57,19.45,19.53
1740429900,19.54,19.57,19.47,19.5
1740430200,19.49,19.9,19.49,19.9
1740430500,19.89,20.03,19.87,19.97
1740430800,19.92,19.95,19.91,19.95
1740431100,19.96,19.96,19.92,19.93
1740431400,19.92,19.92,19.83,19.83
1740493800,20.04,20.2,19.99,20.01
1740494100,20.04,20.09,19.95,20
1740494400,19.98,20.18,19.98,20.18
1740494700,20.21,20.36,20.14,20.29
1740495000,20.27,20.62,20.27,20.53
1740495300,20.52,20.52,20.2,20.32
1740495600,20.53,20.7,20.39,20.65
1740495900,20.64,20.74,20.59,20.63
1740496200,20.57,20.8,20.55,20.8
1740496500,20.79,20.97,20.69,20.97
1740496800,21.02,21.14,20.93,21.07
1740497100,21.11,21.23,21.05,21.23
1740497400,21.21,21.25,21.13,21.13
1740497700,21.11,21.11,20.72,20.74
1740498000,20.72,20.81,20.55,20.67
1740498300,20.64,20.79,20.62,20.65
1740498600,20.63,20.65,20.4,20.4
1740498900,20.41,20.65,20.35,20.65
1740499200,20.69,20.93,20.69,20.9
1740499500,20.89,20.94,20.74,20.75
1740499800,20.76,20.76,20.61,20.67
1740500100,20.66,20.75,20.63,20.69
1740500400,20.74,20.82,20.69,20.76
1740500700,20.77,20.96,20.77,20.93
1740501000,20.96,21.26,20.96,21.1
1740501300,21.05,21.11,20.87,20.87
1740501600,20.9,20.97,20.89,20.91
1740501900,20.92,20.92,20.67,20.67
1740502200,20.64,20.65,20.56,20.58
1740502500,20.56,20.6,20.29,20.38
1740502800,20.39,20.41,20.35,20.41
1740503100,20.4,20.43,20.4,20.41
1740503400,20.38,20.4,20.32,20.4
