time,open,high,low,close,Volume
1761917400,14.09,14.94,14.07,14.94,
1761918300,14.8,15.09,14.65,14.78,
1761919200,14.77,15.21,14.7,15.19,
1761920100,15.2,15.31,14.96,15.07,
1761921000,15.04,15.06,14.71,14.72,
1761921900,14.74,14.95,14.64,14.87,
1761922800,14.88,15.35,14.86,15.35,
1761923700,15.36,15.49,15.17,15.49,
1761924600,15.47,15.95,15.35,15.82,
1761925500,15.76,15.99,15.67,15.96,
1761926400,15.98,16.39,15.9,16.24,
1761927300,16.22,16.58,15.87,15.91,
1761928200,15.9,16.17,15.73,16.11,
1761929100,16.13,16.51,16,16.46,
1761930000,16.45,16.7,16.26,16.65,
1761930900,16.67,17.05,16.62,16.73,
1761931800,16.74,16.79,16.31,16.31,
1761932700,16.26,16.26,15.81,16.05,
1761933600,16.02,16.02,15.51,15.57,
1761934500,15.56,15.66,15.24,15.24,
1761935400,15.25,15.31,15.12,15.17,
1761936300,15.18,15.35,15.08,15.08,
1761937200,15.07,15.12,14.83,14.86,
1761938100,14.85,14.88,14.63,14.7,
1761939000,14.72,14.75,14.45,14.54,
1761939900,14.55,14.65,14.52,14.53,
1761940800,14.59,14.73,14.57,14.7,
1762180200,15.51,16.17,15.45,16.16,
1762181100,16.14,16.66,16.1,16.62,
1762182000,16.56,17.1,16.56,16.77,
1762182900,16.85,17.77,16.85,17.71,
1762183800,17.68,17.8,16.84,16.84,
1762184700,16.94,17.06,16.57,16.68,
1762185600,16.67,16.76,16.48,16.48,
1762186500,16.5,16.65,16.36,16.58,
1762187400,16.6,16.6,16.12,16.16,
1762188300,16.15,16.27,15.73,15.73,
1762189200,15.76,15.97,15.59,15.61,
1762190100,15.59,15.88,15.46,15.78,
1762191000,15.79,15.79,15.37,15.43,
1762191900,15.42,15.42,15.18,15.2,
1762192800,15.21,15.29,14.95,14.97,
1762193700,14.98,15.06,14.96,15.01,
1762194600,15,15,14.75,14.76,
1762195500,14.75,15.04,14.75,14.97,
1762196400,14.96,15.2,14.96,15.05,
1762197300,15.06,15.19,15,15.11,
1762198200,15.14,15.32,14.96,15.09,
1762199100,15.07,15.12,14.87,14.89,
1762200000,14.88,15.07,14.84,15.01,
1762200900,14.98,15.04,14.89,14.94,
1762201800,14.97,15.15,14.93,14.93,
1762202700,14.92,15.16,14.91,15.04,
1762203600,14.83,15.03,14.83,15,
1762266600,17.95,18.74,17.52,17.52,
1762267500,17.57,17.68,16.79,16.79,
1762268400,16.81,17.12,16.8,16.98,
1762269300,16.97,16.97,16.44,16.5,
1762270200,16.51,16.61,16.29,16.44,
1762271100,16.41,16.95,16.41,16.8,
1762272000,16.79,16.89,16.58,16.81,
1762272900,16.78,16.98,16.69,16.71,
1762273800,16.75,16.77,16.43,16.51,
