time,open,high,low,close
1438263000,12.62,13.75,11.06,11.06
1438349400,10.94,11.83,10.49,10.67
1438608600,12.19,13.75,11.61,12.12
1438695000,12.21,12.82,11.72,12.42
1438781400,10.87,12,10.24,11.51
1438867800,11.42,14.44,11.33,13.66
1438954200,13.39,14.65,13.04,13.04
1439213400,12.76,12.76,11.35,11.44
1439299800,13.3,15.1,12.56,14.13
1439386200,16.61,18.53,13.88,14.27
1439472600,14.02,14.98,12.66,13.63
1439559000,13.52,13.88,11.77,11.77
1439818200,14.07,14.49,11.17,11.29
1439904600,11.68,12.52,11.23,12.14
1439991000,13.71,15.68,12.08,14.34
1440077400,16.71,21.44,15.96,20.88
1440163800,25.78,39.3,23.23,38.96
1440423000,38.96,81.94,36.5,54.61
1440509400,39.5,47.51,32.98,44.92
1440595800,38.53,45.75,35.48,37.88
1440682200,32.27,34.61,27.29,28.89
1440768600,29.51,32.65,27.11,27.11
1441027800,29.5,31.83,26.18,28.26
1441114200,33.06,34.37,29.31,31.21
1441200600,28.37,29.41,23.15,24.26
1441287000,23.75,25.06,21.55,23.99
1441373400,26.67,29.4,24.9,26.88
1441719000,25.55,27.48,24.36,24.42
1441805400,24.3,29.1,24.3,27.9
1441891800,28.62,30.24,26.11,26.11
1441978200,27.31,28.02,23.28,23.43
1442237400,26.41,27.48,25.26,25.52
1442323800,25.38,25.87,23.49,24.62
1442410200,24.82,25.23,23.12,23.75
1442496600,24.68,26.04,17.5,22.25
1442583000,23.95,24.61,21.2,21.78
1442842200,22.69,23.06,19.6,19.61
1442928600,24.21,25.69,23.12,23.45
1443015000,23.49,24,21.45,22.46
1443101400,25.03,26.83,22.63,24.22
1443187800,21.31,24.78,21.23,22.89
1443447000,26.69,31.13,25.61,30.26
1443533400,29.55,31.06,27.96,28.56
1443619800,26.24,27.37,24.48,25.7
1443706200,22.84,24.94,21.91,21.93
1443792600,24.14,24.51,19.21,19.35
1444051800,19.88,20.61,18.56,19.02
1444138200,18.82,19.8,17.74,18.19
1444224600,17.19,18.54,16.32,16.39
1444311000,16.96,17.49,15.06,15.47
1444397400,14.89,16.58,14.2,14.27
1444656600,16.17,16.43,14.51,14.73
1444743000,15.99,16.66,14.48,16.53
1444829400,16.45,18.19,15.93,16.9
1444915800,16.72,17.22,13.84,13.85
1445002200,13.7,14.55,12.86,12.89
1445261400,14.88,15.26,13.64,13.87
1445347800,14.79,15.68,13.94,15.01
1445434200,14.58,16.7,14.18,16.67
1445520600,15.19,15.72,13.1,13.1
1445607000,13.57,14.57,12.79,13.15
1445866200,14.61,15.64,14.53,15.2
1445952600,16.28,16.75,15.39,16.31
1446039000,16.12,21.12,14.02,14.57
1446125400,15.26,16.15,14.26,14.54
1446211800,14.55,15.28,13.31,14.31
1446474600,15.38,15.38,12.94,13.68
1446561000,13.92,14.08,12.84,13.81
1446647400,12.96,15.75,12.87,14.76
1446733800,14.81,16.33,14.2,14.22
1446820200,13.59,15.4,12.54,12.6
1447079400,14.88,17.87,14.75,16.39
1447165800,16.74,17.2,14.1,14.29
1447252200,14.16,15.68,14.08,15.6
1447338600,16.77,18.39,15.87,18.39
1447425000,18.77,21.34,18.2,20.43
1447684200,21.11,21.2,16.29,16.81
1447770600,16.5,18.32,15.32,17.02
1447857000,16.56,16.58,13.33,13.33
1447943400,13.37,14.28,13.16,13.62
1448029800,12.98,13.44,12.4,12.4
1448289000,14.83,15.1,13.45,14.07
1448375400,16.06,17.06,14.39,14.54
1448461800,14.49,15.05,14.14,14.35
1448634600,14.75,15.8,13.94,14.21
1448893800,15.19,17.37,15.15,16.6
1448980200,15.57,16.78,13.95,13.99
1449066600,14.54,17.1,13.96,15.97
1449153000,16.01,20.57,15.97,18.71
1449239400,17.42,17.81,13.64,13.65
1449498600,15.94,18.07,15.88,16
1449585000,19.02,20.09,17.52,18.81
1449671400,19.77,22.99,18.08,22.07
1449757800,21.48,22.08,19.16,20.42
1449844200,23.34,29.88,22.94,28
1450103400,30.71,34.18,25.28,25.78
1450189800,24.04,24.04,22.29,23.05
1450276200,22.38,24.7,17.87,18.81
1450362600,15.9,19.5,15.85,18.88
1450449000,18.91,20.16,18.22,19.38
1450708200,19.16,19.53,17.55,17.55
1450794600,16.34,17.07,14.73,15.06
1450881000,14.39,14.95,13.2,13.64
1450967400,13.55,13.75,12.97,13.47
1451313000,16.76,17.42,15.76,15.79
1451399400,14.73,16.33,14.35,14.74
1451485800,15.01,16.22,15.01,15.96
1451572200,16.94,18.1,16.19,17.52
1451917800,24.72,25.79,21.34,21.93
1452004200,21.73,22.09,19.08,19.37
1452090600,22.37,22.77,20.11,20.6
1452177000,24.16,27.58,23.63,26.19
1452263400,23,28.3,22.58,27.98
1452522600,26.68,28.34,23.47,24.21
1452609000,23.06,23.75,21.42,22.3
1452695400,21.48,26.87,21.08,25.57
1452781800,25.21,27.53,23.68,24.63
1452868200,32.1,35.47,28.96,29.6
