time,open,high,low,close
1740407400,17.39,17.39,16.94,17.13
1740407700,17.15,17.74,17.15,17.69
1740408000,17.72,18.1,17.6,17.96
1740408300,17.99,18.33,17.9,18.33
1740408600,18.27,19.02,18.27,19.02
1740408900,18.97,19.44,18.97,19.41
1740409200,19.47,20.45,19.23,20.45
1740409500,20.37,20.92,19.95,19.96
1740409800,20.02,20.02,19.16,19.18
1740410100,19.13,19.64,18.88,19.64
1740410400,19.65,19.65,19.13,19.13
1740410700,19.1,19.72,19.1,19.72
1740411000,19.69,19.78,19.32,19.52
1740411300,19.51,19.61,19.32,19.4
1740411600,19.32,19.32,19.11,19.25
1740411900,19.26,19.39,19.13,19.13
1740412200,19.05,19.38,19,19.35
1740412500,19.39,19.59,19.1,19.1
1740412800,19.16,19.2,18.88,18.88
1740413100,18.84,18.84,18.51,18.71
1740413400,18.72,18.76,18.53,18.53
1740413700,18.52,18.52,18.27,18.27
1740414000,18.26,18.27,18.13,18.13
1740414300,18.15,18.15,17.81,17.87
1740414600,17.81,17.81,17.59,17.61
1740414900,17.63,17.94,17.55,17.92
1740415200,17.95,17.96,17.63,17.74
1740415500,17.71,17.71,17.59,17.63
1740415800,17.62,17.69,17.54,17.59
1740416100,17.63,17.74,17.62,17.73
1740416400,17.71,17.71,17.53,17.57
1740416700,17.52,17.62,17.47,17.54
1740417000,17.55,17.58,17.44,17.56
1740417300,17.52,17.52,17.21,17.22
1740417600,17.21,17.23,17.15,17.21
1740417900,17.2,17.29,17.19,17.29
1740418200,17.28,17.39,17.28,17.36
1740418500,17.35,17.37,17.15,17.15
1740418800,17.16,17.16,17.04,17.04
1740419100,16.98,17.11,16.96,17.02
1740419400,17.01,17.2,17.01,17.2
1740419700,17.18,17.28,17.06,17.28
1740420000,17.26,17.26,17.13,17.13
1740420300,17.11,17.13,16.96,16.96
1740420600,16.93,17.01,16.88,16.95
1740420900,16.91,16.91,16.68,16.73
1740421200,16.72,16.87,16.72,16.84
1740421500,16.8,16.8,16.69,16.76
1740421800,16.74,16.81,16.71,16.74
1740422100,16.82,16.82,16.69,16.72
1740422400,16.7,16.73,16.62,16.69
1740422700,16.68,16.88,16.62,16.84
1740423000,16.85,16.96,16.82,16.83
1740423300,16.82,17.11,16.82,17.01
1740423600,17.02,17.02,16.81,16.81
1740423900,16.84,16.96,16.79,16.94
1740424200,16.9,17.08,16.9,16.99
1740424500,17.01,17.21,16.99,17.21
1740424800,17.19,17.29,17.14,17.17
1740425100,17.18,17.18,17.11,17.15
1740425400,17.16,17.16,16.93,16.93
1740425700,16.94,17.05,16.94,17.04
1740426000,17.05,17.25,17.05,17.23
1740426300,17.21,17.32,17.21,17.26
1740426600,17.28,17.32,17.21,17.32
1740426900,17.3,17.42,17.3,17.36
1740427200,17.33,17.58,17.31,17.46
1740427500,17.47,17.51,17.32,17.34
1740427800,17.36,17.42,17.36,17.41
1740428100,17.35,17.35,17.2,17.29
1740428400,17.35,17.52,17.34,17.52
1740428700,17.59,17.65,17.54,17.65
1740429000,17.67,17.67,17.4,17.47
1740429300,17.48,17.6,17.47,17.59
1740429600,17.63,17.84,17.61,17.77
1740429900,17.79,17.84,17.63,17.71
1740430200,17.68,18.47,17.68,18.47
1740430500,18.48,18.65,18.4,18.51
1740430800,18.47,18.47,18.35,18.43
1740431100,18.41,18.43,18.35,18.37
1740431400,18.35,18.35,18.24,18.25
1740493800,18.98,19.16,18.85,18.87
1740494100,18.93,19.08,18.74,18.91
1740494400,18.87,19.34,18.87,19.34
