time,open,high,low,close,Volume
1746050400,5617.5,5639.25,5615,5634.5,8647
1746051300,5634.5,5635.5,5624.25,5625.75,6069
1746052200,5626.25,5634.75,5623.75,5623.75,3954
1746053100,5623.5,5630.75,5623.25,5630.5,1732
1746054000,5630.25,5633.25,5624,5627,2497
1746054900,5626.75,5634.5,5626.75,5634,1483
1746055800,5634,5635.25,5631.25,5632.25,1375
1746056700,5632,5636.25,5630.75,5634.25,2567
1746057600,5634.5,5639.5,5633.5,5638.5,2964
1746058500,5638.25,5643.75,5636.25,5638,3449
1746059400,5638,5639.5,5634,5639.25,1586
1746060300,5639.5,5641.75,5637.25,5640.75,1502
1746061200,5640.75,5642.25,5636.25,5639.25,2695
1746062100,5639,5642.5,5638,5638.5,2027
1746063000,5638.75,5643,5638.25,5642,1573
1746063900,5641.75,5642.25,5639,5641.25,683
1746064800,5641.25,5642,5640,5640,733
1746065700,5640.5,5645.5,5640,5643.25,1476
1746066600,5642.75,5644.5,5641.75,5642.5,636
1746067500,5642.25,5642.5,5635,5636.25,1355
1746068400,5636.25,5640.75,5634.75,5638.75,1158
1746069300,5638.75,5644.5,5638,5643.75,2169
1746070200,5643.75,5647.5,5642.25,5646,2335
1746071100,5646,5648,5645.5,5647.5,1521
1746072000,5647.25,5649,5646,5647,1354
1746072900,5647.25,5647.25,5642.25,5642.5,1400
1746073800,5643,5644.75,5642,5643.5,918
1746074700,5643.5,5644.75,5642.5,5644,1075
1746075600,5644.25,5648.5,5644,5648.5,1108
1746076500,5648.5,5649,5640.5,5647.75,2578
1746077400,5647.75,5653.25,5645.75,5646.5,2948
1746078300,5646.25,5647.25,5640.5,5641.25,1518
1746079200,5641.5,5644.75,5639.5,5641.5,1751
1746080100,5641.5,5646.25,5640.5,5645.75,1540
1746081000,5645.75,5648,5643,5643.75,2154
1746081900,5643.75,5644.25,5639,5639.75,2128
1746082800,5639.75,5644,5635,5643.25,4354
1746083700,5643.75,5648.5,5639.5,5647.25,2778
1746084600,5647.25,5650,5645,5648.25,2442
1746085500,5648.25,5648.5,5644,5644.75,1679
1746086400,5644.75,5646,5637.5,5640.5,5354
1746087300,5640.5,5645.75,5640.5,5645.25,2059
1746088200,5645.5,5649.25,5642.5,5647.5,2772
1746089100,5647.25,5652.5,5646.75,5651.5,2182
1746090000,5651.75,5656.5,5651,5654,2242
1746090900,5654,5655.75,5650.25,5655,2129
1746091800,5655,5660,5654.5,5657.25,3828
1746092700,5657.5,5662,5657.25,5660.25,1868
1746093600,5660.5,5662,5656.25,5658.5,2725
1746094500,5658.5,5662.25,5654.75,5655.5,2588
1746095400,5655.5,5655.75,5652.25,5653.25,3337
1746096300,5653,5653,5648,5652.25,4729
1746097200,5652.25,5658.75,5648.25,5655.75,4924
1746098100,5655.5,5656.5,5645.5,5647.75,6260
1746099000,5647.75,5655.25,5647.5,5654.25,4871
1746099900,5654.5,5658,5653.25,5654.75,2997
1746100800,5654.5,5659.75,5651.5,5655.5,5526
1746101700,5655.5,5657.75,5645,5645.75,6184
1746102600,5645.75,5650,5636.5,5646.25,13527
1746103500,5646.25,5648.75,5639.5,5639.5,7185
1746104400,5639.5,5645.25,5634.75,5643,9372
1746105300,5643,5648.75,5641.25,5645,11906
1746106200,5645,5651,5631.5,5641,71559
1746107100,5641,5654.75,5627.25,5628.75,54299
1746108000,5630.75,5652.25,5629,5644.75,62443
1746108900,5644.75,5663.5,5644.5,5661.5,45666
1746109800,5661.5,5669.75,5652.5,5663.25,49457
1746110700,5663,5675.5,5662.25,5675,38355
1746111600,5675,5677,5668,5676.25,37540
