time,open,high,low,close,Volume
1763334000,6764.75,6766.75,6741.5,6742,4446
1763334300,6741.75,6752,6740.5,6749.75,2613
1763334600,6749.75,6755.5,6747.5,6754.75,1519
1763334900,6754.5,6760.25,6753.25,6760,1587
1763335200,6760,6763.5,6760,6762.25,1281
1763335500,6762,6763.75,6760.25,6761.5,976
1763335800,6761.5,6765.75,6761,6763.25,1226
1763336100,6763.25,6770,6763.25,6767.5,1563
1763336400,6767.75,6768.25,6766,6766.5,403
1763336700,6766.75,6768.5,6765.5,6766.25,734
1763337000,6766.25,6770.5,6764.5,6770,724
1763337300,6770,6770.5,6766,6766.75,619
1763337600,6766.5,6769,6766.25,6768.25,804
1763337900,6768,6768.5,6760.75,6761.25,1095
1763338200,6761.25,6764,6758.5,6761.5,1379
1763338500,6761.5,6762,6755.75,6759,1156
1763338800,6759,6760.75,6756.25,6758.25,755
1763339100,6758,6767.75,6758,6767.75,1195
1763339400,6767.75,6777.25,6767.5,6776.5,3975
1763339700,6776.5,6778.75,6774.25,6778,1468
1763340000,6777.75,6778.25,6774.25,6776,979
1763340300,6776,6778.75,6775.75,6777.5,916
1763340600,6777.5,6778,6775.75,6776.25,853
1763340900,6776.25,6777.75,6774.75,6776,838
1763341200,6776.25,6777.25,6771.25,6772.25,1534
1763341500,6772.5,6775.75,6771.5,6773.75,1306
1763341800,6774,6779.5,6773.75,6777.25,1240
1763342100,6777.25,6779.75,6777,6778.25,840
1763342400,6778.25,6780.25,6777.5,6778,963
1763342700,6777.75,6779,6776.75,6777.25,584
1763343000,6777.25,6778.25,6776,6777.25,662
1763343300,6777.25,6777.75,6775.5,6776.5,607
1763343600,6776.5,6777,6772.25,6773.75,923
1763343900,6773.75,6775.25,6773,6774.25,625
1763344200,6774.25,6774.75,6770,6771.25,1052
1763344500,6771.25,6773.25,6770,6770.75,1162
1763344800,6770.75,6772.25,6770,6772,764
1763345100,6772,6777,6772,6772.75,1308
1763345400,6773,6778,6773,6776.75,673
1763345700,6776.75,6778.5,6776,6777.5,463
1763346000,6777.5,6777.5,6775.25,6776.25,422
1763346300,6776.25,6776.25,6771.75,6772.5,525
1763346600,6772.25,6774,6772.25,6773,351
1763346900,6772.75,6775.75,6772.75,6775.25,405
1763347200,6775.25,6775.75,6774,6775,520
1763347500,6775,6778.75,6774.75,6778.25,639
1763347800,6778,6781.5,6777.75,6780.75,1231
1763348100,6780.75,6782,6780.25,6781,710
1763348400,6780.75,6785,6780.25,6783.5,1251
1763348700,6783.25,6784,6782.25,6783.25,473
1763349000,6783.5,6784.75,6782.75,6783.5,414
1763349300,6783.5,6784.25,6780.75,6782,667
1763349600,6782,6783.5,6781.75,6782.5,302
1763349900,6782,6782,6780.25,6780.5,321
1763350200,6780.25,6781,6779.25,6780,447
1763350500,6780,6781,6779.25,6780,249
1763350800,6780,6781.75,6780,6780.75,338
1763351100,6781,6782.5,6779.75,6782,380
1763351400,6781.75,6784.5,6781.75,6783,459
1763351700,6783,6784,6782.25,6784,291
1763352000,6784,6784.5,6782.75,6784,411
1763352300,6784,6786,6783.5,6784.75,820
1763352600,6784.5,6785.5,6783.5,6785.25,358
1763352900,6785.5,6786.25,6784,6784.75,522
1763353200,6784.75,6787.5,6784.75,6786,668
1763353500,6786,6787,6785.75,6786.5,264
1763353800,6786.75,6786.75,6784,6785.5,517
1763354100,6785.25,6786.5,6784.75,6784.75,293
1763354400,6784.75,6786.75,6784.75,6786.25,427
1763354700,6786.5,6787.5,6786.25,6786.5,495
1763355000,6786.5,6787.75,6786.25,6786.75,283
1763355300,6786.75,6787.5,6786,6786,306
1763355600,6786,6787.5,6785.75,6786.75,457
1763355900,6786.75,6788.25,6785,6785.75,642
1763356200,6785.5,6786.75,6785,6786.5,446
1763356500,6786.5,6787.75,6785.25,6786.5,506
1763356800,6786.25,6786.5,6783.25,6785.25,798
1763357100,6785.25,6786.5,6783,6785.5,581
1763357400,6785.25,6786.75,6783.25,6784.25,547
1763357700,6784,6784.5,6781.75,6782.5,406
1763358000,6782.75,6784.5,6782.5,6783.5,437
1763358300,6783.25,6784.5,6783,6784.25,302
1763358600,6784.25,6784.5,6781.5,6782,551
1763358900,6781.75,6781.75,6780,6780.75,508
1763359200,6780.75,6782,6780,6781.75,669
1763359500,6781.75,6783.25,6781,6781.25,514
1763359800,6781.25,6781.75,6779.25,6781.75,437
1763360100,6781.75,6784.5,6780.5,6783.25,560
1763360400,6783.25,6785.5,6782.75,6782.75,636
1763360700,6783,6784.75,6782.75,6783.75,406
1763361000,6784,6785,6781,6781.25,736
1763361300,6781.25,6783.25,6781,6781.5,811
1763361600,6781.5,6781.5,6779.25,6780.5,541
1763361900,6780.25,6781.25,6779.25,6779.5,380
1763362200,6779.75,6780,6778.25,6778.5,468
1763362500,6778.5,6781.5,6778.5,6779.5,817
1763362800,6779.5,6781,6778.5,6780.5,752
1763363100,6780.5,6784,6780.25,6783.75,460
1763363400,6783.75,6789.25,6783.75,6788.25,861
1763363700,6788.5,6792.75,6787.5,6791,1342
1763364000,6790.75,6795,6790.25,6793.75,1101
1763364300,6793.5,6795.25,6792.5,6794.25,875
1763364600,6794.25,6795,6792.25,6794,1078
1763364900,6794,6794.75,6791.75,6793.5,835
1763365200,6793.5,6794,6792.25,6793.25,582
1763365500,6793.5,6795,6792.75,6793.25,528
1763365800,6793,6794.25,6792.75,6793.5,440
1763366100,6793.75,6794,6792,6792.5,599
1763366400,6792.25,6798.75,6790.25,6797.5,2201
1763366700,6797.5,6798.25,6795.5,6796.25,1069
1763367000,6796.25,6799,6795.5,6798.5,855
1763367300,6798.75,6798.75,6795.75,6797.75,781
1763367600,6797.25,6800.5,6797,6798.5,1513
1763367900,6798.5,6800,6794,6795,1386
1763368200,6795.25,6798.75,6794.5,6798.5,1225
1763368500,6798.75,6801.5,6797,6801.25,1009
