time,open,high,low,close,Volume
1767201300,6876.51,6878.96,6876.32,6878.55,11896460
1767201600,6878.58,6878.58,6875.88,6876.14,10438560
1767201900,6876.14,6878,6875.66,6877.13,10741450
1767202200,6877.16,6879.54,6876.75,6879.43,10424350
1767202500,6879.39,6880.14,6877.46,6877.51,11298950
1767202800,6877.63,6877.93,6876.11,6877.84,10593080
1767203100,6877.82,6878.33,6875.95,6875.98,10389960
1767203400,6875.98,6876.48,6874.72,6876.03,10410890
1767203700,6876.1,6876.1,6873.92,6875.14,10956180
1767204000,6875.23,6876.27,6874.73,6876.2,11153690
1767204300,6876.14,6878.14,6874.6,6877.83,10202540
1767204600,6877.86,6879.98,6877.43,6879.98,10079300
1767204900,6880.05,6880.2,6876.8,6876.87,10331070
1767205200,6876.84,6877.75,6876.71,6877.45,9272350
1767205500,6877.5,6881.06,6877.41,6880.71,10598530
1767205800,6880.77,6881.77,6880.04,6881.77,10397440
1767206100,6881.81,6882.28,6881.11,6881.26,11260410
1767206400,6881.29,6884.57,6881.29,6884.21,11144770
1767206700,6884.29,6886.56,6883.73,6885.25,12181770
1767207000,6885.25,6886.57,6884.63,6886.46,9682550
1767207300,6886.49,6887.3,6884.68,6885.28,11075460
1767207600,6885.26,6889.3,6885.26,6887.77,11703070
1767207900,6887.77,6887.88,6886.35,6887.14,10554320
1767208200,6887.19,6887.25,6885.95,6886.18,9170040
1767208500,6886.21,6886.31,6881.42,6881.64,10686480
1767208800,6881.67,6882,6879.36,6881.53,11004440
1767209100,6881.51,6881.51,6877.71,6877.96,12049220
1767209400,6877.92,6878.54,6868.65,6868.79,14746170
1767209700,6868.8,6875.24,6868.8,6872.16,14602860
1767210000,6872.23,6874.91,6872.13,6872.79,12267080
1767210300,6872.84,6873.4,6870.51,6870.63,11355600
1767210600,6870.77,6871.2,6868.04,6868.33,10899460
1767210900,6868.4,6869.89,6868.06,6868.73,11315880
1767211200,6868.78,6869.17,6862.09,6863.54,15674430
1767211500,6863.55,6865.76,6860.09,6860.95,15334690
1767211800,6860.76,6860.76,6857.4,6859.62,15389350
1767212100,6859.72,6862.4,6859.43,6861.69,16279450
1767212400,6861.64,6861.64,6855.86,6856.9,16879520
1767212700,6856.88,6857.54,6853.1,6854.36,17069600
1767213000,6854.37,6861.49,6852.95,6860.41,20867890
1767213300,6860.38,6864.17,6859.83,6859.83,20353270
1767213600,6859.75,6861.67,6858.13,6861.48,20867930
1767213900,6861.51,6861.96,6855.07,6855.07,30414990
1767214200,6855.07,6856.53,6851.9,6852.07,55869250
1767214500,6852.02,6857.03,6844.55,6847.19,137186630
1767214800,6845.11,6845.87,6845.11,6845.49,365107400
1767364200,6878.11,6888.67,6871.68,6874.76,125555404
1767364500,6874.36,6878.56,6869.5,6871.58,44741446
1767364800,6871.21,6877.13,6867.9,6875.6,43296863
1767365100,6876.09,6890.24,6874.93,6886.63,46205066
1767365400,6886.96,6894.5,6885.61,6888.16,35161781
1767365700,6888.2,6890.81,6886.34,6887.77,33101910
1767366000,6887.92,6894.87,6887.92,6890.27,39401360
1767366300,6890.22,6890.88,6883.1,6883.39,34631480
1767366600,6883.32,6884.74,6866.85,6869.22,37047740
1767366900,6869.21,6869.99,6860.51,6863.79,33970070
1767367200,6864.25,6864.25,6846.46,6847.08,32681230
1767367500,6847.46,6851.02,6842.31,6850.08,28974450
1767367800,6850.3,6861.87,6847.29,6860.48,33288700
1767368100,6860.69,6865.7,6856.18,6861.8,33541060
1767368400,6862.08,6871.27,6861.57,6867.56,27434320
1767368700,6867.39,6869.84,6859.26,6859.3,26993650
1767369000,6859.41,6860.44,6845.88,6855.02,30156330
1767369300,6855.32,6858.64,6837.28,6840.18,33180850
1767369600,6840.13,6841.1,6834.45,6836.32,31168500
1767369900,6836.36,6840.65,6832.73,6839.74,27046580
1767370200,6839.8,6843.96,6830.78,6843.93,30568580
1767370500,6844.03,6848.92,6838.67,6841.91,28132220
1767370800,6841.81,6848.65,6837.87,6847.92,25209600
1767371100,6847.77,6849.56,6844.09,6844.31,21794880
1767371400,6844.36,6851.25,6841.77,6849.71,24243220
1767371700,6849.91,6851.78,6844.32,6844.64,22136650
1767372000,6844.82,6845.52,6840.83,6841.06,19882390
1767372300,6840.95,6842.15,6837.9,6838.4,19400760
1767372600,6838.8,6839.85,6828.99,6830.72,21529200
1767372900,6831.08,6837.32,6830.55,6837.25,19097120
1767373200,6837.29,6838.38,6832.72,6834.76,18661160
1767373500,6834.81,6839.98,6834.81,6837.29,17047680
1767373800,6837.28,6849.63,6837.2,6848.73,19175840
1767374100,6848.86,6850.53,6847.85,6847.91,18792640
1767374400,6847.88,6850.26,6846.92,6847.86,19278000
1767374700,6847.86,6850.36,6845.25,6850.36,15927990
1767375000,6850.46,6853.95,6847.84,6848.44,19416810
1767375300,6848.61,6849.82,6844.59,6846.21,16306100
1767375600,6846.3,6848.07,6843.75,6846.17,16903670
1767375900,6846.19,6848.27,6836.37,6838.07,19979540
1767376200,6837.94,6840.26,6836.19,6839.84,16923750
1767376500,6839.85,6841.87,6836.26,6837.57,15342030
1767376800,6837.68,6841.59,6837.28,6839.72,15221560
1767377100,6839.73,6839.89,6834.17,6835.95,15258170
1767377400,6835.87,6838.47,6833.68,6834.3,15412470
1767377700,6834.29,6840.85,6832.37,6839.82,16636230
1767378000,6839.91,6843.38,6837.19,6837.63,16665830
1767378300,6837.68,6838.44,6834.45,6835.85,14520230
1767378600,6835.94,6836.55,6834.04,6835.38,15363320
1767378900,6835.44,6839.09,6833.79,6836.81,15881220
1767379200,6836.86,6837.25,6833.84,6837.25,14948390
1767379500,6837.31,6839.2,6827.69,6828.05,18419030
1767379800,6827.97,6830.82,6824.31,6830.6,18066030
1767380100,6830.63,6831.01,6826.55,6831.01,15147360
1767380400,6830.95,6836.57,6830.15,6836.57,19931140
1767380700,6836.38,6842.68,6836.38,6842.25,19313200
1767381000,6842.21,6851.02,6840.34,6850.11,22195330
1767381300,6850.1,6851.5,6847.15,6847.61,20880600
1767381600,6847.72,6854.38,6845.38,6854.3,18596730
1767381900,6854.36,6855.65,6852.46,6855.04,16576500
1767382200,6855.1,6861.98,6855.06,6861.65,19799530
1767382500,6861.54,6864,6859.15,6862.59,19259430
1767382800,6862.47,6865.21,6861.6,6861.62,19458750
1767383100,6861.77,6863.47,6859.96,6862.3,18523040
1767383400,6862.31,6862.95,6858.63,6860.92,17725200
1767383700,6860.93,6861.14,6855.46,6857.48,19854640
1767384000,6857.44,6861.64,6855.13,6859.76,20357380
1767384300,6859.86,6861.08,6857.67,6859.47,19527520
1767384600,6859.5,6862.65,6858.48,6858.52,21210400
1767384900,6858.48,6862.48,6857.36,6861.97,21157300
1767385200,6862.13,6862.75,6859.04,6859.38,22942650
1767385500,6859.44,6860.57,6856.47,6858.68,22365140
1767385800,6858.63,6860.14,6855.89,6856.41,30162560
1767386100,6856.48,6859.74,6856.33,6856.51,27195720
1767386400,6856.41,6856.64,6851.9,6851.99,32048960
1767386700,6851.98,6853.12,6846.63,6848.39,43060060
1767387000,6848.46,6856.44,6848.46,6851.06,73486570
1767387300,6851.15,6858.79,6848.7,6858.53,160682780
1767387600,6858.03,6858.48,6858.03,6858.48,433446810
1767623400,6892.19,6902.69,6892.19,6897.66,120200320
1767623700,6897.63,6899.59,6892.28,6895.44,64670258
1767624000,6895.84,6902.2,6893.12,6901.44,59329506
1767624300,6901.36,6905.34,6895.46,6898.13,58674100
1767624600,6898.19,6898.63,6891.58,6895.89,49360360
1767624900,6896.15,6899.39,6893.47,6896.52,43898550
1767625200,6897.16,6903.98,6892.55,6902.89,51807880
1767625500,6903.24,6905.34,6898.48,6903.27,47732410
1767625800,6903.39,6904.5,6899.49,6902.51,41777680
1767626100,6902.5,6905.5,6899.84,6905.47,40543990
1767626400,6905.58,6907.42,6903.16,6907.19,36764740
1767626700,6907.26,6913.37,6903.42,6912.87,47823080
1767627000,6912.85,6914.72,6910.96,6912.81,43418000
1767627300,6912.98,6913.15,6906.47,6907.62,40168580
1767627600,6907.59,6910.13,6906.32,6907.02,35516150
1767627900,6907.03,6911.43,6907.01,6910.22,34422300
1767628200,6910.44,6911.09,6907.6,6908.17,33225960
1767628500,6908.24,6911.83,6906.91,6909.62,34802560
1767628800,6909.6,6910.11,6906.4,6908.1,47047570
1767629100,6908.23,6911.74,6907.5,6911.58,35048320
1767629400,6911.66,6913.68,6910.65,6910.65,32618640
1767629700,6910.57,6911.95,6908.94,6909.26,30518800
1767630000,6909.12,6914.65,6909.12,6914.03,31910740
1767630300,6914.11,6915.18,6912.23,6912.82,30900490
1767630600,6913.26,6914.69,6911.17,6911.35,33238980
1767630900,6911.36,6915.63,6910.88,6914.87,27168460
1767631200,6914.86,6915.24,6912.88,6914.54,30833610
1767631500,6914.53,6918.52,6914.29,6918.22,27165420
1767631800,6918.12,6920.38,6916.08,6916.61,28155690
1767632100,6916.71,6917.11,6914.09,6915.08,33611800
1767632400,6915.17,6917.93,6915.17,6916.98,37100040
1767632700,6917.03,6918.02,6914.67,6915.38,30428750
1767633000,6915.29,6916.91,6913.82,6916.15,29344350
1767633300,6916.22,6916.67,6912.3,6913.15,25415950
1767633600,6913.02,6913.34,6910.44,6911.43,26108350
1767633900,6911.54,6911.54,6908.6,6909.9,28508300
1767634200,6909.99,6911.64,6908.43,6909.33,26641530
1767634500,6909.17,6912.55,6909.02,6912.19,26858420
1767634800,6912.1,6912.77,6909.57,6909.92,25621570
1767635100,6909.98,6914.18,6909.98,6912.82,24232460
1767635400,6913,6913.29,6909.75,6911.03,23504660
1767635700,6911,6912.38,6909.68,6911.94,24794850
1767636000,6911.97,6914.06,6911.22,6912.58,24626180
1767636300,6912.87,6912.93,6907.54,6909.89,23862800
1767636600,6909.98,6911.14,6909.52,6910.53,22112170
1767636900,6910.59,6910.59,6903.21,6906.43,24093330
1767637200,6906.4,6908.7,6904.38,6908.65,23233100
1767637500,6908.65,6910.62,6907.7,6910.02,20714060
