time,open,high,low,close,Volume,Plot,Plot,Plot,
1741012200,5968.33,5986.09,5967.38,5979.67,,,20,80,
1741012500,5979.42,5981.7,5962.43,5964.7,,,20,80,0
1741012800,5964.47,5968.66,5957.99,5960.58,,,20,80,0
1741013100,5960.63,5968.08,5953.1,5954.67,,,20,80,0
1741013400,5954.57,5957.17,5950.01,5952.41,,,20,80,0
1741013700,5952.4,5953.52,5936.76,5937.04,,,20,80,0
1741014000,5939.45,5939.74,5919.18,5939.13,,,20,80,0
1741014300,5939.4,5945.24,5929.84,5931.96,,,20,80,0
1741014600,5931.68,5942.86,5928.63,5930.93,,,20,80,0
1741014900,5931.24,5935.23,5927.73,5932.83,,,20,80,0
1741015200,5932.95,5950.52,5932.55,5944.11,,,20,80,0
1741015500,5944.09,5952.74,5943.02,5952.71,,,20,80,0
1741015800,5952.87,5957.98,5947.41,5952.57,,,20,80,0
1741016100,5952.58,5953.05,5939.86,5948.62,,,20,80,0
1741016400,5948.85,5962.67,5944.72,5962.67,,,20,80,0
1741016700,5962.74,5962.74,5943.48,5945.56,,,20,80,0
1741017000,5945.65,5952.92,5944.41,5951.03,,,20,80,0
1741017300,5951.11,5952.17,5935.12,5936.32,,,20,80,0
1741017600,5936.41,5945.49,5936.41,5942.76,,,20,80,0
1741017900,5942.79,5947.32,5939.3,5940.66,,,20,80,0
1741018200,5941.01,5946.6,5935.65,5944.65,,,20,80,0
1741018500,5944.63,5948.76,5941.29,5948.41,,,20,80,0
1741018800,5948.42,5957.3,5947.45,5956.09,,,20,80,0
1741019100,5956.22,5956.22,5937.08,5937.19,,,20,80,0
1741019400,5937.15,5939.7,5934.72,5935.2,,,20,80,0
1741019700,5935.19,5938.7,5927.17,5928.88,,,20,80,0
1741020000,5928.81,5929.92,5923.85,5925.22,,,20,80,0
1741020300,5925.21,5937.79,5924.65,5937.78,,,20,80,0
1741020600,5937.61,5944.3,5936.84,5942.07,,,20,80,0
1741020900,5942.06,5945.65,5941.58,5942.77,,,20,80,0
1741021200,5942.75,5944,5939.45,5942.89,,,20,80,0
1741021500,5942.83,5948.53,5941.94,5944.14,,,20,80,0
1741021800,5944.02,5949.88,5944.02,5948.35,,,20,80,0
1741022100,5948.48,5952.7,5945.23,5951.41,,,20,80,0
1741022400,5951.6,5953.16,5949.94,5951.52,,,20,80,0
1741022700,5951.4,5953.02,5946.9,5949.51,,,20,80,0
1741023000,5949.48,5951.01,5945.47,5946.05,,,20,80,0
1741023300,5946.46,5949.45,5943.66,5948.83,,,20,80,0
1741023600,5948.96,5953.47,5948.07,5948.51,,,20,80,0
