"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-02-10","15:51:00",6947.79,"492 Feb 11 6985 C STO 5.75 | 328 Feb 11 6940 P STO 18.80 | 492 Feb 20 7010 C BTO 30.25 | 328 Feb 20 6915 P BTO 48.55",-13325,6982.91,"2026-02-11","09:35:00",-13600,"Exited at Specified Time",40901.6,1.8716697936210132,164,3474282.2,3415300,"",2919.2,1279.2,0.292,0.257,17.77,16.94,9.67,-26.7,2.25,-3.83
"2026-01-20","15:15:00",6793.73,"399 Jan 21 6875 C STO 3.65 | 266 Jan 21 6785 P STO 25.80 | 399 Jan 30 6900 C BTO 33.65 | 266 Jan 30 6760 P BTO 67.20",-17305,6819.35,"2026-01-21","09:35:00",-18260,"Exited at Specified Time",123610.2,5.370702109216989,133,3433380.6,3299065,"",2367.4,1037.4,0.266,0.118,20.9,19.06,-74.77,-71.51,5.66,-1.04
"2026-01-13","15:28:00",6945.3,"537 Jan 14 6985 C STO 4.15 | 358 Jan 14 6940 P STO 16.90 | 537 Jan 23 7010 C BTO 23.05 | 358 Jan 23 6915 P BTO 38.25",-9965,6940.24,"2026-01-14","09:35:00",-11010,"Exited at Specified Time",182472.6,10.229804315102859,179,3309770.4,3126235,"",3186.2,1396.2,0.318,0.277,16.3,17.01,0.14,-32.11,10.74,-3.86
"2026-01-07","15:15:00",6933.74,"474 Jan 8 6955 C STO 5.10 | 316 Jan 8 6930 P STO 12.20 | 474 Jan 20 6980 C BTO 32.45 | 316 Jan 20 6905 P BTO 39.40",-13670,6910.4,"2026-01-08","09:35:00",-12205,"Exited at Specified Time",-235514.8,-10.90416971470373,158,3127297.8,3344860,"",2812.4,1232.4,0.225,0.293,15.23,15.78,0.25,-11.33,1.61,-10.53
"2025-12-31","15:22:00",6856.56,"573 Jan 2 6910 C STO 2.00 | 382 Jan 2 6850 P STO 14.90 | 573 Jan 12 6935 C BTO 17.85 | 382 Jan 12 6825 P BTO 36.95",-9190,6874.35,"2026-01-02","09:35:00",-10065,"Exited at Specified Time",162235.4,9.24265505984766,191,3362812.6,3187790,"",3399.8,1489.8,0.281,0.118,15.05,14.92,2.58,-42.26,10.23,-4.13
"2025-12-17","15:52:00",6727.94,"495 Dec 18 6815 C STO 2.25 | 330 Dec 18 6720 P STO 23.20 | 495 Dec 29 6840 C BTO 19.40 | 330 Dec 29 6695 P BTO 49.90",-10510,6786.55,"2025-12-18","09:35:00",-11910,"Exited at Specified Time",226776,13.077069457659373,165,3200577.2,2971650,"",2937,1287,0.336,0.171,17.68,16.42,2.62,-74.94,14.61,-2.76
"2025-09-29","15:16:00",6645.33,"453 Sep 30 6670 C STO 6.70 | 302 Sep 30 6640 P STO 14.50 | 453 Oct 9 6695 C BTO 28.40 | 302 Oct 9 6615 P BTO 35.90",-10815,6649.55,"2025-09-30","09:35:00",-12205,"Exited at Specified Time",206024.4,12.615811373092924,151,2973801.2,2765565,"",2687.8,1177.8,0.313,0.206,16.27,16.53,17.88,-16.25,14.98,-0.65
"2025-09-10","15:15:00",6518.36,"423 Sep 11 6560 C STO 4.45 | 282 Sep 11 6515 P STO 18.30 | 423 Sep 22 6585 C BTO 23.00 | 282 Sep 22 6490 P BTO 39.15",-9760,6555.57,"2025-09-11","09:35:00",-12125,"Exited at Specified Time",329855.4,23.96926229508197,141,2767776.8,2433660,"",2509.8,1099.8,0.339,0.205,15.39,14.82,37.68,-31.93,24.49,0
"2025-08-11","15:51:00",6372.35,"429 Aug 12 6400 C STO 10.40 | 286 Aug 12 6365 P STO 19.00 | 429 Aug 21 6425 C BTO 28.35 | 286 Aug 21 6340 P BTO 38.70",-9350,6411.33,"2025-08-12","09:35:00",-9560,"Exited at Specified Time",26369.2,1.9721925133689842,143,2437921.4,2409550,"",2545.4,1115.4,0.426,0.398,16.21,15.13,0.22,-17.32,12.99,-2.14
"2025-07-30","15:29:00",6337.4,"420 Jul 31 6390 C STO 5.90 | 280 Jul 31 6330 P STO 21.80 | 420 Aug 11 6415 C BTO 23.80 | 280 Aug 11 6305 P BTO 42.65",-9565,6410.73,"2025-07-31","09:35:00",-9715,"Exited at Specified Time",17416,1.300575013068479,140,2411552.2,2389100,"",2492,1092,0.391,0.46,16.88,15.19,10.37,-43.83,10.35,0
"2025-07-29","15:37:00",6366.99,"372 Jul 30 6415 C STO 2.50 | 248 Jul 30 6360 P STO 14.40 | 372 Aug 8 6440 C BTO 21.95 | 248 Aug 8 6335 P BTO 37.80",-10540,6377.8,"2025-07-30","09:35:00",-11810,"Exited at Specified Time",154305.6,11.806451612903226,124,2394136.2,2236960,"",2207.2,967.2,0.257,0.155,16,15.88,15.85,-38.63,12.33,-2.61
"2025-07-15","15:55:00",6251.7,"360 Jul 16 6305 C STO 1.30 | 240 Jul 16 6245 P STO 13.20 | 360 Jul 25 6330 C BTO 20.85 | 240 Jul 25 6220 P BTO 37.15",-10680,6256.24,"2025-07-16","09:35:00",-11110,"Exited at Specified Time",48528,3.786516853932584,120,2239830.6,2181600,"",2136,936,0.221,0.119,17.13,16.7,26.73,-43.59,6.65,-2.67
"2025-05-28","15:40:00",5899.32,"273 May 29 5935 C STO 14.00 | 182 May 29 5890 P STO 23.90 | 273 Jun 9 5960 C BTO 39.45 | 182 Jun 9 5865 P BTO 50.45",-12970,5931.68,"2025-05-29","09:35:00",-16495,"Exited at Specified Time",318445.4,26.980724749421743,91,2191302.6,1862770,"",1619.8,709.8,0.41,0.294,19.17,18.83,4,-26.22,29.18,-3.47
"2025-05-21","15:25:00",5835.89,"255 May 22 5920 C STO 3.20 | 170 May 22 5830 P STO 24.15 | 255 Jun 2 5945 C BTO 26.35 | 170 Jun 2 5805 P BTO 56.40",-13420,5828.45,"2025-05-22","09:35:00",-14405,"Exited at Specified Time",81549,7.1490312965722795,85,1872857.2,1778200,"",1513,663,0.302,0.238,20.89,21.43,-30.28,-74.29,13.64,-1.15
"2025-04-23","15:39:00",5357.49,"150 Apr 24 5405 C STO 21.55 | 100 Apr 24 5345 P STO 35.80 | 150 May 5 5430 C BTO 72.70 | 100 May 5 5320 P BTO 87.20",-25650,5379.65,"2025-04-24","09:35:00",-27910,"Exited at Specified Time",111720,8.71111111111111,50,1791308.2,1657500,"",890,390,0.347,0.223,29.15,27.81,108.16,-38.43,8.91,-1.99
"2025-04-16","15:25:00",5224.41,"153 Apr 17 5345 C STO 10.80 | 102 Apr 17 5210 P STO 45.20 | 153 Apr 28 5370 C BTO 50.50 | 102 Apr 28 5185 P BTO 97.35",-22365,5287.6,"2025-04-17","09:35:00",-25270,"Exited at Specified Time",146849.4,12.874580818242789,51,1679588.2,1523115,"",907.8,397.8,0.355,0.144,34.54,31.25,-60.88,-111.34,13.1,-0.69
"2025-04-08","15:15:00",4982.72,"93 Apr 9 5205 C STO 14.30 | 62 Apr 9 4960 P STO 80.60 | 93 Apr 21 5230 C BTO 77.50 | 62 Apr 21 4935 P BTO 173.90",-37645,4969.31,"2025-04-09","09:35:00",-41155,"Exited at Specified Time",108016.4,9.255943684420242,31,1532738.8,1399495,"",551.8,241.8,0.352,0.282,53.78,51.07,131.32,-210.85,11.14,-7.01
"2025-03-03","15:23:00",5833.57,"213 Mar 4 5980 C STO 1.65 | 142 Mar 4 5825 P STO 31.20 | 213 Mar 13 6005 C BTO 19.25 | 142 Mar 13 5800 P BTO 70.00",-13065,5793.56,"2025-03-04","09:35:00",-12345,"Exited at Specified Time",-52937.6,-5.706850363566781,71,1424722.4,1460115,"",1263.8,553.8,0.341,0.422,23.37,24.71,13.83,-134.76,6.51,-7.85
"2025-01-07","15:18:00",5909.37,"264 Jan 8 6005 C STO 0.75 | 176 Jan 8 5905 P STO 20.30 | 264 Jan 17 6030 C BTO 13.70 | 176 Jan 17 5880 P BTO 45.20",-8890,5903.68,"2025-01-08","09:35:00",-9310,"Exited at Specified Time",34707.2,4.436445444319459,88,1477660,1442320,"",1566.4,686.4,0.326,0.303,18.16,18.75,17.88,-83.89,6.02,-9.11
