"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-03-06","15:00:00",6762.81,"400 Mar 11 6625 P STO 31.95 | 400 Mar 11 6895 C STO 13.10 | 400 Mar 13 6625 P BTO 47.25 | 400 Mar 13 6895 C BTO 24.45",-2670,6791.05,"2026-03-11","09:32:00",-1880,"Below Short/Long Ratio",-319200,-29.8876404494382,400,10384252,1068000,"",1600,1600,0.628,0.043,26.66,24.48,-61.68,-6.22,11.05,-29.4
"2026-02-27","15:00:00",6848.81,"439 Mar 4 6745 P STO 23.95 | 439 Mar 4 6945 C STO 9.50 | 439 Mar 6 6745 P BTO 37.10 | 439 Mar 6 6945 C BTO 20.75",-2445,6837.77,"2026-03-04","10:01:00",-2365,"Below Short/Long Ratio",-38632,-3.59918200408998,439,10703452,1073355,"",1756,1756,0.578,0.095,20.8,22.19,-52.32,-7.73,21.68,-3.07
"2026-02-20","15:00:00",6897.17,"381 Feb 25 6815 P STO 20.20 | 381 Feb 25 6975 C STO 6.60 | 381 Feb 27 6815 P BTO 34.35 | 381 Feb 27 6975 C BTO 20.95",-2855,6924.77,"2026-02-25","09:32:00",-2485,"Below Short/Long Ratio",-144018,-13.239929947460597,381,10742084,1087755,"",1524,1524,0.485,0.055,19.11,18.74,-18.63,53.91,8.93,-12.78
"2026-02-06","15:00:00",6915.42,"528 Feb 11 6835 P STO 19.40 | 528 Feb 11 6995 C STO 7.70 | 528 Feb 13 6835 P BTO 30.20 | 528 Feb 13 6995 C BTO 17.40",-2055,6937.47,"2026-02-11","10:15:00",-2095,"Below Short/Long Ratio",16896,1.5571776155717763,528,10886102,1085040,"",2112,2112,0.569,0.099,17.85,18.26,18.34,98.68,15.57,-4.62
"2026-01-30","15:00:00",6927.59,"469 Feb 4 6845 P STO 19.00 | 469 Feb 4 7010 C STO 8.00 | 469 Feb 6 6845 P BTO 30.75 | 469 Feb 6 7010 C BTO 19.40",-2320,6926.68,"2026-02-04","10:26:00",-2295,"Below Short/Long Ratio",-15477,-1.4224137931034484,469,10869206,1088080,"",1876,1876,0.538,0.084,17.86,18.06,-21.74,-19.68,11.85,-14.87
"2026-01-23","15:00:00",6918.72,"444 Jan 28 6855 P STO 14.70 | 444 Jan 28 6985 C STO 6.45 | 444 Jan 30 6855 P BTO 26.80 | 444 Jan 30 6985 C BTO 18.20",-2390,6971.93,"2026-01-28","15:00:00",-3005,"Below Short/Long Ratio",269508,25.397489539748953,444,10884683,1061160,"",1776,1776,0.47,0.088,15.54,16.34,-5.5,10.87,26.36,0
"2026-01-09","15:00:00",6974.31,"669 Jan 14 6920 P STO 12.10 | 669 Jan 14 7035 C STO 5.40 | 669 Jan 16 6920 P BTO 19.55 | 669 Jan 16 7035 C BTO 13.20",-1530,6927.85,"2026-01-14","15:37:00",-2085,"Below Short/Long Ratio",365943,35.751633986928105,669,10615175,1023570,"",2676,2676,0.534,0.089,14.57,16.51,6.37,46.48,38.89,-16.01
"2026-01-02","15:00:00",6857.43,"547 Jan 7 6805 P STO 11.40 | 547 Jan 7 6920 C STO 5.15 | 547 Jan 9 6805 P BTO 20.50 | 547 Jan 9 6920 C BTO 13.90",-1790,6922.14,"2026-01-07","15:45:00",-2615,"Exited at Specified Time",446899,45.642458100558656,547,10249232,979130,"",2188,2188,0.481,0.149,14.68,15.33,32.61,-20.68,49.44,-35.47
"2025-12-12","15:00:00",6829.95,"487 Dec 17 6765 P STO 15.60 | 487 Dec 17 6905 C STO 7.05 | 487 Dec 19 6765 P BTO 25.95 | 487 Dec 19 6905 C BTO 16.50",-1985,6736.5,"2025-12-17","15:45:00",-2250,"Exited at Specified Time",125159,12.947103274559193,487,9802333,966695,"",1948,1948,0.534,0.557,16,17.51,-14.15,-56.9,26.45,-9.32
"2025-12-05","15:00:00",6874.24,"464 Dec 10 6815 P STO 14.00 | 464 Dec 10 6945 C STO 6.40 | 464 Dec 12 6815 P BTO 24.50 | 464 Dec 12 6945 C BTO 16.90",-2105,6866.15,"2025-12-10","14:51:00",-1915,"Below Short/Long Ratio",-91872,-9.406175771971496,464,9677174,976720,"",1856,1856,0.493,0.096,15.38,16.25,9.2,7.92,15.44,-9.03
"2025-11-14","15:00:00",6764.32,"359 Nov 19 6680 P STO 20.45 | 359 Nov 19 6860 C STO 8.30 | 359 Nov 21 6680 P BTO 34.40 | 359 Nov 21 6860 C BTO 19.85",-2555,6651.83,"2025-11-19","15:45:00",-4165,"Exited at Specified Time",575118,62.70058708414873,359,9769046,917245,"",1436,1436,0.53,0.402,19.66,23.32,-65.35,92.18,75.34,-27.4
"2025-11-07","15:00:00",6719.85,"458 Nov 12 6635 P STO 20.30 | 458 Nov 12 6815 C STO 9.10 | 458 Nov 14 6635 P BTO 31.65 | 458 Nov 14 6815 C BTO 18.20",-2050,6856.73,"2025-11-12","15:45:00",-1620,"Exited at Specified Time",-200604,-21.365853658536587,458,9193928,938900,"",1832,1832,0.59,0.719,19.91,17.53,-24.14,23.67,6.59,-35.85
"2025-10-31","15:00:00",6847.46,"513 Nov 5 6780 P STO 16.40 | 513 Nov 5 6930 C STO 7.10 | 513 Nov 7 6780 P BTO 25.95 | 513 Nov 7 6930 C BTO 16.20",-1870,6816.36,"2025-11-05","12:17:00",-1475,"Below Short/Long Ratio",-206739,-21.550802139037433,513,9394532,959310,"",2052,2052,0.558,0.095,17.42,17.36,56.83,-31.71,7.75,-22.19
"2025-10-24","15:00:00",6804.06,"351 Oct 29 6740 P STO 15.20 | 351 Oct 29 6870 C STO 6.60 | 351 Oct 31 6740 P BTO 27.80 | 351 Oct 31 6870 C BTO 19.70",-2575,6876.83,"2025-10-29","15:45:00",-4115,"Exited at Specified Time",537732,59.495145631067956,351,9601271,903825,"",1404,1404,0.459,0.199,16.32,17.22,33.63,31.99,64.85,-2.91
"2025-10-17","15:00:00",6665.73,"379 Oct 22 6575 P STO 21.55 | 379 Oct 22 6760 C STO 8.20 | 379 Oct 24 6575 P BTO 34.35 | 379 Oct 24 6760 C BTO 19.75",-2440,6729.67,"2025-10-22","10:22:00",-1930,"Below Short/Long Ratio",-196322,-21.229508196721312,379,9063539,924760,"",1516,1516,0.55,0.098,22.11,18.58,-15.8,52.46,2.87,-21.52
"2025-10-10","15:00:00",6594.57,"489 Oct 15 6485 P STO 25.40 | 489 Oct 15 6700 C STO 10.15 | 489 Oct 17 6485 P BTO 34.60 | 489 Oct 17 6700 C BTO 19.10",-1820,6667.7,"2025-10-15","12:46:00",-2530,"Below Short/Long Ratio",343278,38.57142857142858,489,9259861,889980,"",1956,1956,0.662,0.088,21.38,20.28,5.38,-145.92,45.88,-4.4
"2025-10-03","15:00:00",6722.82,"572 Oct 8 6670 P STO 12.90 | 572 Oct 8 6780 C STO 5.70 | 572 Oct 10 6670 P BTO 20.70 | 572 Oct 10 6780 C BTO 13.60",-1575,6728.61,"2025-10-08","09:32:00",-1400,"Below Short/Long Ratio",-104676,-11.619047619047619,572,8916583,900900,"",2288,2288,0.542,0.088,16.53,17,6.79,0.68,13.65,-10.79
"2025-09-26","15:00:00",6644.38,"588 Oct 1 6590 P STO 12.70 | 588 Oct 1 6710 C STO 5.90 | 588 Oct 3 6590 P BTO 20.30 | 588 Oct 3 6710 C BTO 13.50",-1525,6669.35,"2025-10-01","09:48:00",-1610,"Below Short/Long Ratio",45276,5.049180327868853,588,9021259,896700,"",2352,2352,0.55,0.095,15.55,16.6,10.66,29,21.97,-35.41
"2025-09-19","15:00:00",6657.25,"620 Sep 24 6610 P STO 12.10 | 620 Sep 24 6715 C STO 4.90 | 620 Sep 26 6610 P BTO 19.20 | 620 Sep 26 6715 C BTO 12.30",-1455,6668.35,"2025-09-24","09:32:00",-1375,"Below Short/Long Ratio",-54560,-6.048109965635739,620,8975983,902100,"",2480,2480,0.54,0.068,15.59,16.37,15.15,10.14,31.96,-5.15
"2025-09-12","15:00:00",6597.69,"641 Sep 17 6545 P STO 12.35 | 641 Sep 17 6660 C STO 5.40 | 641 Sep 19 6545 P BTO 19.10 | 641 Sep 19 6660 C BTO 12.15",-1355,6600.23,"2025-09-17","15:06:00",-1895,"Below Short/Long Ratio",341012,39.261992619926204,641,9030543,868555,"",2564,2564,0.568,0.082,14.55,15.56,3.19,7.03,84.87,-2.21
"2025-09-05","15:00:00",6473.79,"500 Sep 10 6420 P STO 12.30 | 500 Sep 10 6535 C STO 5.10 | 500 Sep 12 6420 P BTO 20.80 | 500 Sep 12 6535 C BTO 13.40",-1685,6525.8,"2025-09-10","14:20:00",-2210,"Below Short/Long Ratio",258500,30.68249258160237,500,8689531,842500,"",2000,2000,0.509,0.087,15.48,15.12,27,-55.29,31.75,-3.26
"2025-08-22","15:00:00",6468.6,"389 Aug 27 6425 P STO 11.60 | 389 Aug 27 6525 C STO 4.55 | 389 Aug 29 6425 P BTO 22.40 | 389 Aug 29 6525 C BTO 15.50",-2180,6464.48,"2025-08-27","09:32:00",-2045,"Below Short/Long Ratio",-55627,-6.559633027522936,389,8431031,848020,"",1556,1556,0.426,0.062,14.4,14.92,14.42,84.01,2.29,-16.97
"2025-08-15","15:00:00",6458.48,"466 Aug 20 6410 P STO 10.90 | 466 Aug 20 6515 C STO 5.00 | 466 Aug 22 6410 P BTO 20.00 | 466 Aug 22 6515 C BTO 13.50",-1765,6402.31,"2025-08-20","15:45:00",-2330,"Exited at Specified Time",259562,31.558073654390935,466,8486658,822490,"",1864,1864,0.475,0.255,14.78,15.62,8.84,-18.9,32.29,-63.17
"2025-08-08","15:00:00",6390.91,"623 Aug 13 6335 P STO 13.80 | 623 Aug 13 6460 C STO 6.40 | 623 Aug 15 6335 P BTO 20.60 | 623 Aug 15 6460 C BTO 12.30",-1275,6447.53,"2025-08-13","12:50:00",-1720,"Below Short/Long Ratio",272251,34.274509803921575,623,8227096,794325,"",2492,2492,0.614,0.099,15.36,14.65,15.22,35.69,41.18,0
"2025-08-01","15:00:00",6233.4,"432 Aug 6 6145 P STO 20.50 | 432 Aug 6 6330 C STO 8.90 | 432 Aug 8 6145 P BTO 30.70 | 432 Aug 8 6330 C BTO 17.05",-1840,6348.65,"2025-08-06","15:45:00",-1835,"Exited at Specified Time",-5616,-0.7065217391304348,432,7954845,794880,"",1728,1728,0.616,0.507,20.81,16.74,-52.11,-53.88,12.77,-9.24
"2025-07-25","15:00:00",6391.96,"344 Jul 30 6345 P STO 12.10 | 344 Jul 30 6455 C STO 5.25 | 344 Aug 1 6345 P BTO 23.90 | 344 Aug 1 6455 C BTO 16.40",-2300,6386.46,"2025-07-30","13:03:00",-2400,"Below Short/Long Ratio",31648,4,344,7960461,791200,"",1376,1376,0.431,0.098,15.08,16,6.66,21.95,11.52,-6.52
"2025-07-18","15:00:00",6292.25,"517 Jul 23 6245 P STO 10.90 | 517 Jul 23 6350 C STO 4.95 | 517 Jul 25 6245 P BTO 18.25 | 517 Jul 25 6350 C BTO 12.80",-1525,6322.04,"2025-07-23","09:46:00",-1600,"Below Short/Long Ratio",34639,4.393442622950819,517,7928813,788425,"",2068,2068,0.51,0.091,16.61,16.13,15.59,-20.7,18.36,-2.3
