"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-03-05","15:15:00",6802.05,"31 Mar 6 6825 C BTO 25.85 | 31 Mar 6 6875 C STO 7.90",-1820,6736.77,"2026-03-06","09:35:00",-320,"Exited at Specified Time",-46658.72,-82.6989010989011,31,530466.08,56420,"",110.36,48.36,0.306,0.169,24.35,27.65,-18.42,-49.03,39.01,-81.59
"2026-02-23","15:15:00",6823.53,"37 Feb 24 6840 C BTO 19.80 | 37 Feb 24 6890 C STO 4.20",-1585,6823.53,"2026-02-24","09:35:00",-1320,"Exited at Specified Time",-9994.44,-17.042271293375393,37,577124.8,58645,"",131.72,57.72,0.212,0.143,21.71,21.89,-8.26,-77.72,22.71,-15.14
"2026-02-19","15:15:00",6848.44,"37 Feb 20 6870 C BTO 19.25 | 37 Feb 20 6920 C STO 3.55",-1595,6850.65,"2026-02-20","09:35:00",-1240,"Exited at Specified Time",-13324.44,-22.57805642633229,37,587119.24,59015,"",131.72,57.72,0.184,0.109,20.53,20.8,-19.97,-12.9,17.24,-37.3
"2026-02-12","15:15:00",6868.43,"40 Feb 13 6890 C BTO 20.60 | 40 Feb 13 6940 C STO 4.90",-1595,6831.53,"2026-02-13","09:35:00",-515,"Exited at Specified Time",-43404.8,-68.03260188087775,40,600443.68,63800,"",142.4,62.4,0.238,0.176,19.72,21.09,16.07,-89.11,0,-66.14
"2026-02-05","15:15:00",6819.94,"36 Feb 6 6845 C BTO 25.25 | 36 Feb 6 6895 C STO 8.50",-1700,6861.52,"2026-02-06","09:35:00",-2455,"Exited at Specified Time",26995.68,44.11058823529412,36,643848.48,61200,"",128.16,56.16,0.337,0.281,20.42,19.53,-45.33,-17.45,48.24,-38.82
"2025-11-20","15:15:00",6577.24,"35 Nov 21 6605 C BTO 28.90 | 35 Nov 21 6655 C STO 11.30",-1785,6567.64,"2025-11-21","09:35:00",-1180,"Exited at Specified Time",-21354.2,-34.180392156862744,35,616852.8,62475,"",124.6,54.6,0.391,0.309,25.36,25.21,95.77,-160.69,8.68,-41.74
"2025-11-17","15:15:00",6643.9,"39 Nov 18 6665 C BTO 23.85 | 39 Nov 18 6715 C STO 7.70",-1640,6644.6,"2025-11-18","09:35:00",-1340,"Exited at Specified Time",-11899.68,-18.60487804878049,39,638207,63960,"",138.84,60.84,0.323,0.216,23.18,23.73,-20.5,-69.71,37.2,-42.38
"2025-11-13","15:15:00",6734.93,"44 Nov 14 6755 C BTO 22.65 | 44 Nov 14 6805 C STO 6.95",-1595,6651.28,"2025-11-14","09:35:00",-145,"Exited at Specified Time",-64025.28,-91.23009404388715,44,650106.68,70180,"",156.64,68.64,0.307,0.227,21.04,22.94,-24.45,-91.54,15.67,-89.34
"2025-10-22","15:15:00",6690.89,"54 Oct 23 6705 C BTO 14.15 | 54 Oct 23 6755 C STO 1.50",-1290,6707.13,"2025-10-23","09:35:00",-1500,"Exited at Specified Time",11063.52,15.88217054263566,54,714131.96,69660,"",192.24,84.24,0.106,0.073,19.01,18.81,5.99,-50.45,36.05,-1.55
"2025-10-16","15:15:00",6616.93,"40 Oct 17 6640 C BTO 25.20 | 40 Oct 17 6690 C STO 8.20",-1725,6624.73,"2025-10-17","09:35:00",-1635,"Exited at Specified Time",-3804.8,-5.5142028985507245,40,703068.44,69000,"",142.4,62.4,0.325,0.256,24.33,24.05,17.96,-72.09,11.88,-18.26
