"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-03-03","12:32:00",466.45,"1 Mar 11 451 P STO 5.33 | 1 Mar 11 481 C STO 5.58 | 1 Mar 13 451 P BTO 6.30 | 1 Mar 13 481 C BTO 6.85",-229,481.06,"2026-03-10","11:36:00",-249,"Call Tested",9.76,4.262008733624454,1,65397.88,229,"",7.12,3.12,0.83,0.59,-17.23,-6.32,31.88,-6.11
"2026-03-02","15:32:00",490.35,"1 Mar 9 475 P STO 3.75 | 1 Mar 9 505 C STO 3.83 | 1 Mar 13 475 P BTO 5.73 | 1 Mar 13 505 C BTO 6.25",-445,470.19,"2026-03-03","09:32:00",-413,"Put Tested",-42.24,-9.492134831460675,1,65202,445,"",7.12,3.12,0.633,0.76,6.39,0.21,3.82,-4.94
"2026-03-02","14:32:00",489.79,"1 Mar 9 475 P STO 3.73 | 1 Mar 9 505 C STO 3.63 | 1 Mar 13 475 P BTO 5.70 | 1 Mar 13 505 C BTO 6.03",-442,470.19,"2026-03-03","09:32:00",-413,"Put Tested",-39.24,-8.877828054298643,1,65162.76,442,"",7.12,3.12,0.627,0.76,6.39,-0.35,4.52,-4.3
"2026-03-02","13:32:00",486.72,"1 Mar 9 472 P STO 3.63 | 1 Mar 9 500 C STO 4.03 | 1 Mar 13 472 P BTO 5.63 | 1 Mar 13 500 C BTO 6.53",-455,470.19,"2026-03-03","09:32:00",-445,"Put Tested",-20.24,-4.448351648351648,1,65142.52,455,"",7.12,3.12,0.63,0.729,6.39,-3.42,3.08,-2.86
"2026-03-02","12:32:00",488.52,"1 Mar 9 474 P STO 3.95 | 1 Mar 9 505 C STO 3.48 | 1 Mar 13 474 P BTO 5.95 | 1 Mar 13 505 C BTO 5.85",-442,470.19,"2026-03-03","09:32:00",-412,"Put Tested",-40.24,-9.104072398190045,1,65102.28,442,"",7.12,3.12,0.63,0.753,6.39,-1.62,3.62,-4.52
"2026-03-02","11:32:00",487.46,"1 Mar 9 472 P STO 3.93 | 1 Mar 9 500 C STO 4.83 | 1 Mar 13 472 P BTO 5.88 | 1 Mar 13 500 C BTO 7.38",-455,470.19,"2026-03-03","09:32:00",-445,"Put Tested",-20.24,-4.448351648351648,1,65028.8,455,"",7.12,3.12,0.661,0.729,6.39,-2.68,3.08,-2.86
"2026-03-02","10:32:00",491.29,"1 Mar 9 476 P STO 4.05 | 1 Mar 9 505 C STO 4.40 | 1 Mar 13 476 P BTO 6.00 | 1 Mar 13 505 C BTO 6.85",-445,470.19,"2026-03-03","09:32:00",-420,"Put Tested",-35.24,-7.919101123595507,1,64993.56,445,"",7.12,3.12,0.658,0.765,6.39,1.15,5.62,-4.04
"2026-03-02","09:32:00",489.2,"1 Mar 9 474 P STO 3.95 | 1 Mar 9 505 C STO 4.13 | 1 Mar 13 474 P BTO 6.03 | 1 Mar 13 505 C BTO 6.55",-455,470.19,"2026-03-03","09:32:00",-412,"Put Tested",-53.24,-11.7010989010989,1,65049.04,455,"",7.12,3.12,0.642,0.753,6.39,-0.94,0.66,-8.35
"2026-02-27","12:32:00",480.33,"1 Mar 6 465 P STO 3.43 | 1 Mar 6 495 C STO 3.88 | 1 Mar 9 465 P BTO 4.00 | 1 Mar 9 495 C BTO 4.60",-134,464.93,"2026-03-03","09:46:00",-169,"Put Tested",24.76,18.47761194029851,1,65018.32,134,"",7.12,3.12,0.85,0.851,3.36,-0.51,58.21,-11.19
"2026-02-27","09:32:00",479.82,"1 Mar 6 465 P STO 3.90 | 1 Mar 6 495 C STO 4.15 | 1 Mar 9 465 P BTO 4.63 | 1 Mar 9 495 C BTO 4.90",-153,464.93,"2026-03-03","09:46:00",-169,"Put Tested",5.76,3.7647058823529407,1,65024.08,153,"",7.12,3.12,0.845,0.851,3.36,-1.02,38.56,-22.88
"2026-02-26","12:32:00",475.35,"1 Mar 6 460 P STO 3.58 | 1 Mar 6 490 C STO 4.00 | 1 Mar 9 460 P BTO 4.13 | 1 Mar 9 490 C BTO 4.70",-130,490.57,"2026-03-02","09:38:00",-153,"Call Tested",12.76,9.815384615384614,1,63849.96,130,"",7.12,3.12,0.858,0.866,1.6,0.33,41.54,-16.15
"2026-02-25","15:32:00",476.53,"1 Mar 4 462 P STO 3.35 | 1 Mar 4 490 C STO 3.68 | 1 Mar 9 462 P BTO 5.13 | 1 Mar 9 490 C BTO 5.88",-403,490.57,"2026-03-02","09:38:00",-460,"Call Tested",46.76,11.602977667493795,1,63500.88,403,"",7.12,3.12,0.639,0.622,1.24,0.68,21.84,-4.22
"2026-02-25","14:32:00",477.93,"1 Mar 4 463 P STO 3.14 | 1 Mar 4 495 C STO 2.78 | 1 Mar 9 463 P BTO 4.83 | 1 Mar 9 495 C BTO 4.78",-374,462.11,"2026-03-03","09:51:00",-477,"Put Tested",92.76,24.802139037433157,1,65196.6,374,"",7.12,3.12,0.616,0.609,1.24,2.08,48.66,-27.01
"2026-02-25","13:32:00",478.51,"1 Mar 4 464 P STO 3.16 | 1 Mar 4 495 C STO 2.82 | 1 Mar 9 464 P BTO 4.93 | 1 Mar 9 495 C BTO 4.83",-383,462.11,"2026-03-03","09:51:00",-495,"Put Tested",101.76,26.569190600522198,1,65298.36,383,"",7.12,3.12,0.613,0.613,1.24,2.66,46.74,-29.77
"2026-02-25","12:32:00",479.16,"1 Mar 4 464 P STO 2.94 | 1 Mar 4 495 C STO 2.91 | 1 Mar 9 464 P BTO 4.75 | 1 Mar 9 495 C BTO 5.00",-395,462.11,"2026-03-03","09:51:00",-495,"Put Tested",89.76,22.724050632911393,1,65388.12,395,"",7.12,3.12,0.6,0.613,1.24,3.31,42.28,-31.9
"2026-02-25","11:32:00",478.04,"1 Mar 4 463 P STO 3.00 | 1 Mar 4 495 C STO 2.68 | 1 Mar 9 463 P BTO 4.75 | 1 Mar 9 495 C BTO 4.75",-387,462.11,"2026-03-03","09:51:00",-477,"Put Tested",79.76,20.60981912144703,1,65103.84,387,"",7.12,3.12,0.598,0.609,1.24,2.19,43.67,-29.46
"2026-02-25","10:32:00",475.58,"1 Mar 4 461 P STO 3.13 | 1 Mar 4 490 C STO 3.35 | 1 Mar 9 461 P BTO 4.95 | 1 Mar 9 490 C BTO 5.55",-407,490.57,"2026-03-02","09:38:00",-454,"Call Tested",36.76,9.031941031941033,1,63537.64,407,"",7.12,3.12,0.617,0.623,1.24,-0.27,17.94,-12.04
"2026-02-25","09:32:00",475.58,"1 Mar 4 461 P STO 3.38 | 1 Mar 4 490 C STO 3.73 | 1 Mar 9 461 P BTO 5.20 | 1 Mar 9 490 C BTO 5.93",-407,490.57,"2026-03-02","09:38:00",-454,"Call Tested",36.76,9.031941031941033,1,63574.4,407,"",7.12,3.12,0.639,0.623,1.24,-0.27,17.94,-12.04
"2026-02-24","15:32:00",474.92,"1 Mar 4 460 P STO 4.55 | 1 Mar 4 490 C STO 4.68 | 1 Mar 6 460 P BTO 5.78 | 1 Mar 6 490 C BTO 6.18",-278,490.57,"2026-03-02","09:38:00",-283,"Call Tested",-5.24,-1.8848920863309353,1,63569.16,278,"",7.12,3.12,0.772,0.722,-11.18,4.82,14.39,-15.47
"2026-02-24","14:32:00",473.28,"1 Mar 4 458 P STO 3.98 | 1 Mar 4 490 C STO 3.95 | 1 Mar 6 458 P BTO 5.23 | 1 Mar 6 490 C BTO 5.35",-270,490.57,"2026-03-02","09:38:00",-275,"Call Tested",-5.24,-1.9407407407407409,1,63563.92,270,"",7.12,3.12,0.75,0.726,-11.18,3.18,15.56,-21.11
"2026-02-24","13:32:00",474.29,"1 Mar 4 459 P STO 3.83 | 1 Mar 4 490 C STO 3.95 | 1 Mar 6 459 P BTO 4.90 | 1 Mar 6 490 C BTO 5.35",-252,490.57,"2026-03-02","09:38:00",-286,"Call Tested",23.76,9.428571428571429,1,63587.68,252,"",7.12,3.12,0.759,0.719,-11.18,4.19,25,-6.75
"2026-02-24","12:32:00",474.07,"1 Mar 4 459 P STO 3.75 | 1 Mar 4 490 C STO 3.88 | 1 Mar 6 459 P BTO 4.88 | 1 Mar 6 490 C BTO 5.18",-248,490.57,"2026-03-02","09:38:00",-286,"Call Tested",27.76,11.193548387096774,1,63615.44,248,"",7.12,3.12,0.758,0.719,-11.18,3.97,27.02,-5.24
"2026-02-24","11:32:00",472.38,"1 Mar 4 457 P STO 3.85 | 1 Mar 4 485 C STO 4.98 | 1 Mar 6 457 P BTO 4.95 | 1 Mar 6 485 C BTO 6.50",-267,489.2,"2026-03-02","09:32:00",-270,"Call Tested",-7.24,-2.711610486891386,1,63446.36,267,"",7.12,3.12,0.771,0.77,-11.18,2.28,22.1,-8.24
"2026-02-24","10:32:00",472.06,"1 Mar 4 457 P STO 4.08 | 1 Mar 4 485 C STO 4.98 | 1 Mar 6 457 P BTO 5.13 | 1 Mar 6 485 C BTO 6.40",-252,489.2,"2026-03-02","09:32:00",-270,"Call Tested",7.76,3.0793650793650795,1,63454.12,252,"",7.12,3.12,0.786,0.77,-11.18,1.96,29.37,-2.78
"2026-02-24","09:32:00",469.84,"1 Mar 4 455 P STO 4.13 | 1 Mar 4 485 C STO 4.60 | 1 Mar 6 455 P BTO 5.23 | 1 Mar 6 485 C BTO 5.93",-248,489.2,"2026-03-02","09:32:00",-266,"Call Tested",7.76,3.129032258064516,1,63453.6,248,"",7.12,3.12,0.782,0.772,-11.18,-0.26,27.02,-6.85
"2026-02-23","15:32:00",480.44,"1 Mar 2 465 P STO 4.45 | 1 Mar 2 495 C STO 4.83 | 1 Mar 6 465 P BTO 6.73 | 1 Mar 6 495 C BTO 7.60",-510,490,"2026-03-02","16:00:00",-741,"Expired",223.88,43.898039215686275,1,64537.6,510,"",7.12,0,0.648,0.009,5.99,5.83,52.94,-7.06
"2026-02-23","14:32:00",478.8,"1 Mar 2 464 P STO 4.40 | 1 Mar 2 495 C STO 4.33 | 1 Mar 6 464 P BTO 6.65 | 1 Mar 6 495 C BTO 7.05",-502,490,"2026-03-02","16:00:00",-730,"Expired",220.88,44,1,64313.72,502,"",7.12,0,0.637,0.01,5.99,4.19,54.18,-6.57
"2026-02-23","13:32:00",478.64,"1 Mar 2 464 P STO 4.38 | 1 Mar 2 495 C STO 4.20 | 1 Mar 6 464 P BTO 6.65 | 1 Mar 6 495 C BTO 6.90",-502,490,"2026-03-02","16:00:00",-730,"Expired",220.88,44,1,64758.48,502,"",7.12,0,0.633,0.01,5.99,4.03,54.18,-6.57
"2026-02-23","12:32:00",478.88,"1 Mar 2 464 P STO 4.35 | 1 Mar 2 495 C STO 4.35 | 1 Mar 6 464 P BTO 6.58 | 1 Mar 6 495 C BTO 6.98",-491,490,"2026-03-02","16:00:00",-730,"Expired",231.88,47.22606924643584,1,64990.36,491,"",7.12,0,0.642,0.01,5.99,4.27,57.64,-4.48
"2026-02-23","11:32:00",478.59,"1 Mar 2 464 P STO 4.15 | 1 Mar 2 495 C STO 4.40 | 1 Mar 6 464 P BTO 6.40 | 1 Mar 6 495 C BTO 6.90",-480,490,"2026-03-02","16:00:00",-730,"Expired",242.88,50.6,1,64092.84,480,"",7.12,0,0.643,0.01,5.99,3.98,61.25,-2.5
"2026-02-23","10:32:00",477.62,"1 Mar 2 463 P STO 4.10 | 1 Mar 2 495 C STO 3.90 | 1 Mar 6 463 P BTO 6.33 | 1 Mar 6 495 C BTO 6.28",-466,490,"2026-03-02","16:00:00",-727,"Expired",253.88,54.48068669527897,1,65244.24,466,"",7.12,0,0.634,0.01,5.99,3.01,64.59,-3.22
"2026-02-23","09:32:00",475.1,"1 Mar 2 460 P STO 3.60 | 1 Mar 2 490 C STO 3.98 | 1 Mar 6 460 P BTO 5.70 | 1 Mar 6 490 C BTO 6.53",-470,490.57,"2026-03-02","09:38:00",-702,"Call Tested",221.76,47.182978723404254,1,63837.2,470,"",7.12,3.12,0.62,0.324,5.99,0.49,52.34,-3.83
"2026-02-20","12:32:00",465.4,"1 Feb 27 450 P STO 3.03 | 1 Feb 27 480 C STO 3.50 | 1 Mar 2 450 P BTO 3.70 | 1 Mar 2 480 C BTO 4.23",-145,480,"2026-02-23","15:05:00",-170,"Call Tested",14.76,10.179310344827586,1,63428.08,145,"",7.12,3.12,0.823,0.851,3.8,2.04,40,-15.17
"2026-02-20","11:32:00",464.66,"1 Feb 27 450 P STO 3.10 | 1 Feb 27 480 C STO 3.23 | 1 Mar 2 450 P BTO 3.75 | 1 Mar 2 480 C BTO 3.95",-142,480,"2026-02-23","15:05:00",-170,"Call Tested",17.76,12.507042253521128,1,63445.84,142,"",7.12,3.12,0.822,0.851,3.8,1.3,42.96,-14.08
"2026-02-20","10:32:00",461.88,"1 Feb 27 447 P STO 3.33 | 1 Feb 27 477 C STO 3.53 | 1 Mar 2 447 P BTO 3.93 | 1 Mar 2 477 C BTO 4.20",-132,477.03,"2026-02-23","09:45:00",-117,"Call Tested",-25.24,-19.12121212121212,1,63413.32,132,"",7.12,3.12,0.844,0.888,3.8,-1.48,19.7,-13.64
"2026-02-19","15:32:00",459.11,"1 Feb 27 444 P STO 3.15 | 1 Feb 27 474 C STO 3.40 | 1 Mar 2 444 P BTO 3.65 | 1 Mar 2 474 C BTO 4.03",-118,475.1,"2026-02-23","09:32:00",-134,"Call Tested",5.76,4.88135593220339,1,63108.2,118,"",7.12,3.12,0.853,0.872,-0.97,1.8,33.9,-9.32
"2026-02-19","14:32:00",458.4,"1 Feb 27 443 P STO 3.03 | 1 Feb 27 473 C STO 3.60 | 1 Mar 2 443 P BTO 3.65 | 1 Mar 2 473 C BTO 4.15",-122,475.1,"2026-02-23","09:32:00",-139,"Call Tested",6.76,5.5409836065573765,1,63114.96,122,"",7.12,3.12,0.85,0.873,-0.97,1.09,40.16,-13.93
"2026-02-19","13:32:00",457.52,"1 Feb 27 443 P STO 3.25 | 1 Feb 27 473 C STO 3.48 | 1 Mar 2 443 P BTO 3.73 | 1 Mar 2 473 C BTO 4.13",-118,475.1,"2026-02-23","09:32:00",-139,"Call Tested",10.76,9.118644067796609,1,63125.72,118,"",7.12,3.12,0.856,0.873,-0.97,0.21,44.92,-11.02
"2026-02-19","12:32:00",458.61,"1 Feb 27 444 P STO 3.30 | 1 Feb 27 474 C STO 3.78 | 1 Mar 2 444 P BTO 3.90 | 1 Mar 2 474 C BTO 4.38",-125,475.1,"2026-02-23","09:32:00",-134,"Call Tested",-1.24,-0.992,1,63124.48,125,"",7.12,3.12,0.855,0.872,-0.97,1.3,26.4,-16
"2026-02-19","11:32:00",459.55,"1 Feb 27 445 P STO 3.68 | 1 Feb 27 475 C STO 3.80 | 1 Mar 2 445 P BTO 4.28 | 1 Mar 2 475 C BTO 4.48",-133,475.1,"2026-02-23","09:32:00",-126,"Call Tested",-17.24,-12.962406015037592,1,63107.24,133,"",7.12,3.12,0.854,0.874,-0.97,2.24,15.79,-18.8
"2026-02-19","10:32:00",460.96,"1 Feb 27 446 P STO 3.63 | 1 Feb 27 476 C STO 3.93 | 1 Mar 2 446 P BTO 4.23 | 1 Mar 2 476 C BTO 4.65",-137,476.03,"2026-02-23","09:37:00",-151,"Call Tested",3.76,2.7445255474452552,1,63438.56,137,"",7.12,3.12,0.851,0.854,-0.97,3.65,27.74,-24.09
"2026-02-19","09:32:00",457.12,"1 Feb 27 442 P STO 3.60 | 1 Feb 27 472 C STO 3.95 | 1 Mar 2 442 P BTO 4.23 | 1 Mar 2 472 C BTO 4.60",-133,475.1,"2026-02-23","09:32:00",-122,"Call Tested",-21.24,-15.969924812030072,1,63169.76,133,"",7.12,3.12,0.855,0.892,-0.97,-0.19,24.06,-27.82
"2026-02-18","15:32:00",457.5,"1 Feb 25 443 P STO 2.82 | 1 Feb 25 472 C STO 2.81 | 1 Mar 2 443 P BTO 4.35 | 1 Mar 2 472 C BTO 4.73",-350,475.1,"2026-02-23","09:32:00",-417,"Call Tested",56.76,16.217142857142857,1,63363.04,350,"",7.12,3.12,0.62,0.652,7.62,1.68,24.29,-3.43
"2026-02-18","14:32:00",457.21,"1 Feb 25 442 P STO 2.70 | 1 Feb 25 472 C STO 2.82 | 1 Mar 2 442 P BTO 4.18 | 1 Mar 2 472 C BTO 4.70",-341,475.1,"2026-02-23","09:32:00",-411,"Call Tested",59.76,17.524926686217007,1,63229.52,341,"",7.12,3.12,0.622,0.655,7.62,1.39,23.46,-2.93
"2026-02-18","13:32:00",458.23,"1 Feb 25 443 P STO 2.56 | 1 Feb 25 473 C STO 2.86 | 1 Mar 2 443 P BTO 4.05 | 1 Mar 2 473 C BTO 4.75",-343,475.1,"2026-02-23","09:32:00",-430,"Call Tested",76.76,22.379008746355687,1,63306.28,343,"",7.12,3.12,0.616,0.625,7.62,2.41,28.28,-4.08
"2026-02-18","12:32:00",459.44,"1 Feb 25 444 P STO 2.58 | 1 Feb 25 474 C STO 2.83 | 1 Mar 2 444 P BTO 4.00 | 1 Mar 2 474 C BTO 4.68",-332,475.1,"2026-02-23","09:32:00",-414,"Call Tested",71.76,21.614457831325304,1,63434.8,332,"",7.12,3.12,0.623,0.623,7.62,3.62,27.71,-2.41
"2026-02-18","11:32:00",459.28,"1 Feb 25 444 P STO 2.65 | 1 Feb 25 474 C STO 2.81 | 1 Mar 2 444 P BTO 4.15 | 1 Mar 2 474 C BTO 4.58",-332,475.1,"2026-02-23","09:32:00",-414,"Call Tested",71.76,21.614457831325304,1,63012.68,332,"",7.12,3.12,0.625,0.623,7.62,3.46,27.71,-5.12
"2026-02-18","10:32:00",459.68,"1 Feb 25 445 P STO 2.93 | 1 Feb 25 475 C STO 2.86 | 1 Mar 2 445 P BTO 4.38 | 1 Mar 2 475 C BTO 4.70",-334,475.1,"2026-02-23","09:32:00",-434,"Call Tested",89.76,26.87425149700599,1,63102.44,334,"",7.12,3.12,0.638,0.59,7.62,3.86,32.93,-6.29
"2026-02-18","09:32:00",456.58,"1 Feb 25 442 P STO 2.80 | 1 Feb 25 472 C STO 2.53 | 1 Mar 2 442 P BTO 4.25 | 1 Mar 2 472 C BTO 4.20",-317,475.1,"2026-02-23","09:32:00",-411,"Call Tested",83.76,26.422712933753946,1,63191,317,"",7.12,3.12,0.631,0.655,7.62,0.76,32.81,-6.62
"2026-02-17","15:32:00",448.05,"1 Feb 25 435 P STO 3.45 | 1 Feb 25 463 C STO 2.68 | 1 Feb 27 435 P BTO 4.28 | 1 Feb 27 463 C BTO 3.80",-200,463.98,"2026-02-20","09:32:00",-232,"Call Tested",21.76,10.88,1,61613.32,200,"",7.12,3.12,0.759,0.768,-12.46,-2.11,34.5,-4.5
"2026-02-17","14:32:00",448.44,"1 Feb 25 435 P STO 3.33 | 1 Feb 25 463 C STO 2.64 | 1 Feb 27 435 P BTO 4.20 | 1 Feb 27 463 C BTO 3.75",-203,463.98,"2026-02-20","09:32:00",-232,"Call Tested",18.76,9.24137931034483,1,61632.08,203,"",7.12,3.12,0.751,0.768,-12.46,-1.72,32.51,-5.91
"2026-02-17","13:32:00",448.71,"1 Feb 25 435 P STO 3.53 | 1 Feb 25 464 C STO 2.76 | 1 Feb 27 435 P BTO 4.38 | 1 Feb 27 464 C BTO 3.85",-199,464.12,"2026-02-20","09:33:00",-230,"Call Tested",20.76,10.432160804020102,1,61697.36,199,"",7.12,3.12,0.764,0.761,-12.46,-1.45,33.17,-7.04
"2026-02-17","12:32:00",447.17,"1 Feb 25 430 P STO 3.04 | 1 Feb 25 462 C STO 2.98 | 1 Feb 27 430 P BTO 3.83 | 1 Feb 27 462 C BTO 4.05",-191,463.98,"2026-02-20","09:32:00",-210,"Call Tested",8.76,4.586387434554974,1,61591.56,191,"",7.12,3.12,0.764,0.792,-12.46,-2.99,33.51,-9.42
"2026-02-17","11:32:00",448.82,"1 Feb 25 435 P STO 3.63 | 1 Feb 25 464 C STO 2.84 | 1 Feb 27 435 P BTO 4.48 | 1 Feb 27 464 C BTO 3.90",-196,464.12,"2026-02-20","09:33:00",-230,"Call Tested",23.76,12.122448979591837,1,61676.6,196,"",7.12,3.12,0.772,0.761,-12.46,-1.34,35.2,-6.63
"2026-02-17","10:32:00",446.91,"1 Feb 25 430 P STO 3.30 | 1 Feb 25 462 C STO 3.04 | 1 Feb 27 430 P BTO 4.00 | 1 Feb 27 462 C BTO 4.08",-179,463.98,"2026-02-20","09:32:00",-210,"Call Tested",20.76,11.597765363128493,1,61652.84,179,"",7.12,3.12,0.785,0.792,-12.46,-3.25,42.46,-6.7
"2026-02-17","09:32:00",450.55,"1 Feb 25 436 P STO 3.33 | 1 Feb 25 466 C STO 2.67 | 1 Feb 27 436 P BTO 4.20 | 1 Feb 27 466 C BTO 3.68",-193,466.12,"2026-02-20","12:09:00",-235,"Call Tested",31.76,16.4559585492228,1,61729.12,193,"",7.12,3.12,0.761,0.756,-12.46,0.39,38.34,-14.51
"2026-02-13","15:32:00",462.26,"1 Feb 20 447 P STO 2.02 | 1 Feb 20 477 C STO 1.64 | 1 Feb 23 447 P BTO 2.61 | 1 Feb 23 477 C BTO 2.39",-139,446.56,"2026-02-17","09:51:00",-105,"Put Tested",-44.24,-31.8273381294964,1,61670.24,139,"",7.12,3.12,0.732,0.853,8.4,2.47,17.99,-24.46
"2026-02-13","14:32:00",463.51,"1 Feb 20 449 P STO 1.99 | 1 Feb 20 479 C STO 1.37 | 1 Feb 23 449 P BTO 2.57 | 1 Feb 23 479 C BTO 1.96",-122,448.85,"2026-02-17","09:39:00",-107,"Put Tested",-25.24,-20.688524590163933,1,61505.92,122,"",7.12,3.12,0.742,0.835,8.4,3.72,35.25,-9.02
