"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-02-06","09:45:00",6878.13,"19 Feb 6 6870 P BTO 19.10 | 19 Feb 6 6890 P STO 27.90",870,6932.3,"2026-02-06","16:00:00",0,"Expired",16462.36,99.59080459770115,19,1032874.8,21470,"SPX","",67.64,1.461,1,19.03,17.87,18.34,61.39,100,-40.8
"2026-01-22","09:45:00",6917.92,"21 Jan 22 6910 P BTO 11.15 | 21 Jan 22 6930 P STO 20.50",925,6913.35,"2026-01-22","16:00:00",1665,"Expired",-15614.76,-80.38486486486487,21,1016412.44,22575,"SPX","",74.76,1.839,340,15.92,15.61,38.82,3.48,65.95,-102.7
"2026-01-09","09:45:00",6940.57,"21 Jan 9 6935 P BTO 16.70 | 21 Jan 9 6955 P STO 26.50",970,6966.28,"2026-01-09","16:00:00",0,"Expired",20295.24,99.63298969072166,21,1032027.2,21630,"SPX","",74.76,1.587,1,15.55,14.52,6.37,12.74,100,-54.64
"2025-12-19","09:45:00",6823.48,"19 Dec 19 6815 P BTO 13.55 | 19 Dec 19 6835 P STO 22.40",875,6834.5,"2025-12-19","16:00:00",50,"Expired",15607.36,93.87885714285716,19,1011731.96,21375,"SPX","",67.64,1.653,17,15.64,15.1,17.86,30.86,94.29,-24
"2025-12-05","09:45:00",6870.83,"21 Dec 5 6865 P BTO 11.50 | 21 Dec 5 6885 P STO 21.20",960,6870.4,"2025-12-05","16:00:00",1460,"Expired",-10574.76,-52.454166666666666,21,996124.6,21840,"SPX","",74.76,1.843,289,15.85,15.35,9.2,4.51,64.58,-102.08
"2025-12-02","09:45:00",6837.55,"21 Dec 2 6830 P BTO 10.25 | 21 Dec 2 6850 P STO 19.80",945,6829.37,"2025-12-02","16:00:00",2000,"Expired",-22229.76,-112.01693121693121,21,1006699.36,22155,"SPX","",74.76,1.932,28.733,16.74,16.6,18.33,6.59,41.8,-111.64
"2025-11-24","09:45:00",6643.49,"20 Nov 24 6635 P BTO 19.70 | 20 Nov 24 6655 P STO 28.80",900,6705.12,"2025-11-24","16:00:00",0,"Expired",17928.8,99.60444444444444,20,1028929.12,22000,"SPX","",71.2,1.462,1,22.34,20.63,33.55,6.95,100,-15
"2025-11-10","09:45:00",6808.57,"20 Nov 10 6800 P BTO 10.65 | 20 Nov 10 6820 P STO 19.90",915,6832.43,"2025-11-10","16:00:00",0,"Expired",18228.8,99.61092896174863,20,1011000.32,21700,"SPX","",71.2,1.869,1,17.98,17.72,56.56,23.21,100,-98.91
"2025-10-27","09:45:00",6850.71,"21 Oct 27 6845 P BTO 8.55 | 21 Oct 27 6865 P STO 18.75",1010,6875.16,"2025-10-27","16:00:00",0,"Expired",21135.24,99.64752475247526,21,992771.52,20790,"SPX","",74.76,2.193,1,15.82,15.81,53.77,5.25,100,-15.35
"2025-10-24","09:45:00",6794.88,"20 Oct 24 6790 P BTO 11.25 | 20 Oct 24 6810 P STO 20.50",915,6791.69,"2025-10-24","16:00:00",1831,"Expired",-18391.2,-100.49836065573771,20,971636.28,21700,"SPX","",71.2,1.822,186.5,16.02,16.37,33.63,22.81,48.63,-100.11
