"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-03-17","09:45:00",6745.17,"27 Mar 17 6740 P BTO 14.00 | 27 Mar 17 6760 P STO 23.70",960,6716.09,"2026-03-17","16:00:00",2000,"Expired",-28176.12,-108.70416666666667,27,1288031.96,28080,"SPX","",96.12,1.693,1.841,22.19,22.46,22.97,22.82,20.83,-109.38
"2026-03-16","09:45:00",6705.52,"27 Mar 16 6700 P BTO 16.20 | 27 Mar 16 6720 P STO 25.45",915,6699.38,"2026-03-16","16:00:00",2000,"Expired",-29391.12,-118.96830601092896,27,1316208.08,29295,"SPX","",96.12,1.571,25.312,24.41,23.75,42.18,31.15,45.36,-118.58
"2026-03-13","09:45:00",6729.84,"29 Mar 13 6725 P BTO 19.50 | 29 Mar 13 6745 P STO 29.35",975,6632.19,"2026-03-13","16:00:00",2000,"Expired",-29828.24,-105.49333333333333,29,1345599.2,29725,"SPX","",103.24,1.505,1.215,24.77,27.18,0.87,56.35,0,-117.95
"2026-02-06","09:45:00",6878.13,"26 Feb 6 6870 P BTO 19.10 | 26 Feb 6 6890 P STO 27.90",870,6932.3,"2026-02-06","16:00:00",0,"Expired",22527.44,99.59080459770114,26,1375427.44,29380,"SPX","",92.56,1.461,1,19.03,17.87,18.34,61.39,100,-40.8
"2026-01-22","09:45:00",6917.92,"28 Jan 22 6910 P BTO 11.15 | 28 Jan 22 6930 P STO 20.50",925,6913.35,"2026-01-22","16:00:00",1665,"Expired",-20819.68,-80.38486486486487,28,1352900,30100,"SPX","",99.68,1.839,340,15.92,15.61,38.82,3.48,65.95,-102.7
"2026-01-09","09:45:00",6940.57,"28 Jan 9 6935 P BTO 16.70 | 28 Jan 9 6955 P STO 26.50",970,6966.28,"2026-01-09","16:00:00",0,"Expired",27060.32,99.63298969072164,28,1373719.68,28840,"SPX","",99.68,1.587,1,15.55,14.52,6.37,12.74,100,-54.64
"2025-12-19","09:45:00",6823.48,"25 Dec 19 6815 P BTO 13.55 | 25 Dec 19 6835 P STO 22.40",875,6834.5,"2025-12-19","16:00:00",50,"Expired",20536,93.87885714285716,25,1346659.36,28125,"SPX","",89,1.653,17,15.64,15.1,17.86,30.86,94.29,-24
"2025-12-05","09:45:00",6870.83,"28 Dec 5 6865 P BTO 11.50 | 28 Dec 5 6885 P STO 21.20",960,6870.4,"2025-12-05","16:00:00",1460,"Expired",-14099.68,-52.454166666666666,28,1326123.36,29120,"SPX","",99.68,1.843,289,15.85,15.35,9.2,4.51,64.58,-102.08
"2025-12-02","09:45:00",6837.55,"28 Dec 2 6830 P BTO 10.25 | 28 Dec 2 6850 P STO 19.80",945,6829.37,"2025-12-02","16:00:00",2000,"Expired",-29639.68,-112.01693121693121,28,1340223.04,29540,"SPX","",99.68,1.932,28.733,16.74,16.6,18.33,6.59,41.8,-111.64
"2025-11-24","09:45:00",6643.49,"26 Nov 24 6635 P BTO 19.70 | 26 Nov 24 6655 P STO 28.80",900,6705.12,"2025-11-24","16:00:00",0,"Expired",23307.44,99.60444444444444,26,1369862.72,28600,"SPX","",92.56,1.462,1,22.34,20.63,33.55,6.95,100,-15
