"Date","Net Liquidity","Current Funds","Withdrawn","Trading Funds","P/L","P/L %","Drawdown %"
"2022-05-16",999464.4,1000000,0,1000000,-535.6,-0.05,-0.05
"2022-05-17",1004347.88,1000224.28,0,1000224.28,4883.48,0.49,0
"2022-05-18",994497.44,997629.24,0,997629.24,-9850.44,-0.98,-0.98
"2022-05-19",991811.2,998338.76,0,998338.76,-2686.24,-0.27,-1.25
"2022-05-20",990465.48,998338.76,0,998338.76,-1345.72,-0.14,-1.38
"2022-05-23",1000936.84,999174.36,0,999174.36,10471.36,1.06,-0.34
"2022-05-24",1009135.36,999174.36,0,999174.36,8198.52,0.82,0
"2022-05-25",1029805.6,1022399.92,0,1022399.92,20670.24,2.05,0
"2022-05-26",1048824.92,1048546.28,0,1048546.28,19019.32,1.85,0
"2022-05-27",1065458.36,1065682.36,0,1065682.36,16633.44,1.59,0
"2022-05-31",1067823.52,1066552.96,0,1066552.96,2365.16,0.22,0
"2022-06-01",1071335.24,1069711.04,0,1069711.04,3511.72,0.33,0
"2022-06-02",1069362.28,1068007.72,0,1068007.72,-1972.96,-0.18,-0.18
"2022-06-03",1072884.16,1068818.32,0,1068818.32,3521.88,0.33,0
"2022-06-06",1076849.16,1069713.92,0,1069713.92,3965,0.37,0
"2022-06-07",1077796.24,1077272.12,0,1077272.12,947.08,0.09,0
"2022-06-08",1078651.12,1075216.4,0,1075216.4,854.88,0.08,0
"2022-06-09",1087026.88,1087062.92,0,1087062.92,8375.76,0.78,0
"2022-06-10",1071408.56,1083266.72,0,1083266.72,-15618.32,-1.44,-1.44
"2022-06-13",1064204.32,1083266.72,0,1083266.72,-7204.24,-0.67,-2.1
"2022-06-14",1067363.68,1083266.72,0,1083266.72,3159.36,0.3,-1.81
"2022-06-15",1075334.32,1068701.92,0,1068701.92,7970.64,0.75,-1.08
"2022-06-16",1087595.4,1083775.08,0,1083775.08,12261.08,1.14,0
"2022-06-17",1088359.92,1082579.6,0,1082579.6,764.52,0.07,0
"2022-06-21",1095846.56,1092796.24,0,1092796.24,7486.64,0.69,0
"2022-06-22",1096181.72,1092796.24,0,1092796.24,335.16,0.03,0
"2022-06-23",1100975.48,1095335.16,0,1095335.16,4793.76,0.44,0
"2022-06-24",1112409.76,1111338.6,0,1111338.6,11434.28,1.04,0
"2022-06-27",1111249,1112209.2,0,1112209.2,-1160.76,-0.1,-0.1
"2022-06-28",1113567.9,1128181.56,0,1128181.56,2318.9,0.21,0
"2022-06-29",1117296.32,1119256.2,0,1119256.2,3728.42,0.33,0
"2022-06-30",1118480.92,1125736.2,0,1125736.2,1184.6,0.11,0
"2022-07-01",1126928.08,1131632,0,1131632,8447.16,0.76,0
"2022-07-05",1133892.04,1131632,0,1131632,6963.96,0.62,0
"2022-07-06",1154282.88,1153318.76,0,1153318.76,20390.84,1.8,0
"2022-07-07",1157474.24,1157474.24,0,1157474.24,3191.36,0.28,0
"2022-07-08",1156499.76,1158394.84,0,1158394.84,-974.48,-0.08,-0.08
"2022-07-11",1155613.4,1159305.44,0,1159305.44,-886.36,-0.08,-0.16
"2022-07-12",1161450.72,1158811.04,0,1158811.04,5837.32,0.51,0
"2022-07-13",1184453.6,1176266.96,0,1176266.96,23002.88,1.98,0
"2022-07-14",1165663.52,1166323.8,0,1166323.8,-18790.08,-1.59,-1.59
"2022-07-15",1185323.2,1180275.08,0,1180275.08,19659.68,1.69,0
"2022-07-18",1183674.56,1179286.28,0,1179286.28,-1648.64,-0.14,-0.14
"2022-07-19",1208676.28,1196197.6,0,1196197.6,25001.72,2.11,0
"2022-07-20",1200248.52,1196776.52,0,1196776.52,-8427.76,-0.7,-0.7
"2022-07-21",1202406.12,1202406.12,0,1202406.12,2157.6,0.18,-0.52
"2022-07-22",1215624.68,1216879.92,0,1216879.92,13218.56,1.1,0
"2022-07-25",1215490.44,1217790.52,0,1217790.52,-134.24,-0.01,-0.01
"2022-07-26",1227150.04,1218451.12,0,1218451.12,11659.6,0.96,0
"2022-07-27",1254491.76,1234851.48,0,1234851.48,27341.72,2.23,0
"2022-07-28",1273564.24,1268598,0,1268598,19072.48,1.52,0
"2022-07-29",1295552.28,1291117.08,0,1291117.08,21988.04,1.73,0
"2022-08-01",1303850.92,1291008.88,0,1291008.88,8298.64,0.64,0
"2022-08-02",1320972.2,1292773.28,0,1292773.28,17121.28,1.31,0
"2022-08-03",1321554.72,1304705.8,0,1304705.8,582.52,0.04,0
"2022-08-04",1326731.84,1319300.84,0,1319300.84,5177.12,0.39,0
"2022-08-05",1324538.84,1326947.48,0,1326947.48,-2193,-0.17,-0.17
"2022-08-08",1325422.2,1327808.08,0,1327808.08,883.36,0.07,-0.1
"2022-08-09",1350183.52,1330387.72,0,1330387.72,24761.32,1.87,0
"2022-08-10",1346563.44,1337413.12,0,1337413.12,-3620.08,-0.27,-0.27
"2022-08-11",1324913.8,1320645.52,0,1320645.52,-21649.64,-1.61,-1.87
"2022-08-12",1337768.72,1346396.76,0,1346396.76,12854.92,0.97,-0.92
"2022-08-15",1328051.36,1335008.64,0,1335008.64,-9717.36,-0.73,-1.64
"2022-08-16",1327348.32,1323991.56,0,1323991.56,-703.04,-0.05,-1.69
"2022-08-17",1347425.96,1326894.04,0,1326894.04,20077.64,1.51,-0.2
"2022-08-18",1332989.16,1323666.32,0,1323666.32,-14436.8,-1.07,-1.27
"2022-08-19",1335347.52,1329098.32,0,1329098.32,2358.36,0.18,-1.1
"2022-08-22",1302935.48,1320355.68,0,1320355.68,-32412.04,-2.43,-3.5
"2022-08-23",1300568.88,1314833.76,0,1314833.76,-2366.6,-0.18,-3.67
"2022-08-24",1295431.44,1285518.16,0,1285518.16,-5137.44,-0.4,-4.06
"2022-08-25",1290983.04,1280924.92,0,1280924.92,-4448.4,-0.34,-4.38
"2022-08-26",1295076.84,1292708.16,0,1292708.16,4093.8,0.32,-4.08
"2022-08-29",1291871.76,1297146.72,0,1297146.72,-3205.08,-0.25,-4.32
"2022-08-30",1272039.08,1295496.72,0,1295496.72,-19832.68,-1.54,-5.79
"2022-08-31",1263471.6,1267967.6,0,1267967.6,-8567.48,-0.67,-6.42
"2022-09-01",1258881.12,1260365.64,0,1260365.64,-4590.48,-0.36,-6.76
"2022-09-02",1246461.2,1252223,0,1252223,-12419.92,-0.99,-7.68
"2022-09-06",1249446.68,1252223,0,1252223,2985.48,0.24,-7.46
"2022-09-07",1264770.8,1262344.4,0,1262344.4,15324.12,1.23,-6.33
"2022-09-08",1269329.56,1271257.72,0,1271257.72,4558.76,0.36,-5.99
"2022-09-09",1278598.96,1278849.4,0,1278849.4,9269.4,0.73,-5.3
"2022-09-12",1283781.08,1279160.6,0,1279160.6,5182.12,0.41,-4.92
"2022-09-13",1274226.16,1276319.04,0,1276319.04,-9554.92,-0.74,-5.63
"2022-09-14",1269992.52,1272202.64,0,1272202.64,-4233.64,-0.33,-5.94
"2022-09-15",1268212.56,1273470.72,0,1273470.72,-1779.96,-0.14,-6.07
"2022-09-16",1264203.48,1273470.72,0,1273470.72,-4009.08,-0.32,-6.37
"2022-09-19",1270461.52,1273470.72,0,1273470.72,6258.04,0.5,-5.9
