"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-03-20","13:30:00",6547.63,"551 Mar 25 6375 P STO 16.80 | 551 Mar 25 6690 C STO 12.65 | 551 Mar 27 6375 P BTO 30.35 | 551 Mar 27 6690 C BTO 24.85",-2585,6508.39,"2026-03-20","15:59:00",-2715,"Backtest Completed",65987.76,4.632882011605415,551,190017360.08,1424335,"SPX","5/7 DTE DC | 17Δ / Min V9D/V 0.85 | Leg Delta / S/L exit | 1:30p / 3:52p | F",3923.12,1719.12,0.534,0.566,25.79,27.39,-11.83,-47.03,16.25,0
"2026-03-20","11:00:00",6547.51,"1059 Mar 26 6410 P STO 32.45 | 1059 Mar 26 6725 C STO 12.55 | 1059 Mar 27 6410 P BTO 40.25 | 1059 Mar 27 6725 C BTO 18.10",-1345,6508.39,"2026-03-20","15:59:00",-1285,"Backtest Completed",-74130,-5.204460966542751,1059,189943230.08,1424355,"SPX","Friday Happy Hour Calendar - 6/7 - v2",7413,3177,0.771,0.8,26,27.39,-11.83,-47.15,13.01,-11.52
"2026-03-18","15:30:00",6638.1,"428 Mar 20 6520 P STO 15.40 | 428 Mar 20 6755 C STO 8.10 | 428 Mar 25 6520 P BTO 40.65 | 428 Mar 25 6755 C BTO 27.00",-4425,6598.17,"2026-03-19","12:08:00",-4620,"Below Short/Long Ratio",79077.28,4.175367231638418,428,189429483.68,1893900,"SPX","DC 2/7 | Mon, Wed - v2",3047.36,1335.36,0.347,0.198,24.09,24.91,-18.93,-59.06,15.59,0
"2026-03-18","15:20:00",6642.92,"87 Mar 19 6705 C STO 9.70 | 58 Mar 19 6635 P STO 31.60 | 87 Mar 30 6730 C BTO 56.80 | 58 Mar 30 6610 P BTO 84.90",-24815,6568.24,"2026-03-19","09:35:00",-21955,"Exited at Specified Time",-83682.4,-11.628450533951238,29,189350406.4,937135,"SPX","Afternoon Low ORB DC Bounce",516.2,226.2,0.271,0.393,23.98,27.02,-18.93,-54.24,0.52,-13.24
"2026-03-18","09:32:00",6694.04,"525 Mar 19 6595 P STO 12.30 | 525 Mar 19 6780 C STO 6.90 | 525 Mar 20 6595 P BTO 21.65 | 525 Mar 20 6780 C BTO 15.40",-1795,6566.5,"2026-03-19","09:32:00",-1715,"Above Delta",-47376,-5.027298050139276,525,189727734.72,942375,"SPX","Hump Day, Half-Baked Calendar - 1/2",3738,1638,0.518,0.716,23.22,27.11,-18.93,-3.12,0.28,-12.26
"2026-03-17","10:08:00",6742.08,"358 Mar 19 6655 P STO 19.60 | 358 Mar 19 6855 C STO 4.05 | 358 Mar 24 6655 P BTO 42.90 | 358 Mar 24 6855 C BTO 20.15",-3950,6566.5,"2026-03-19","09:32:00",-3140,"Above Delta",-293645.92,-20.765569620253167,358,189434088.8,1414100,"SPX","DC 2/7 Tues",2548.96,1116.96,0.375,0.738,22.31,27.11,22.97,19.73,0.63,-20.25
"2026-03-17","09:40:00",6747.92,"821 Mar 17 6740 P BTO 13.25 | 821 Mar 17 6660 P STO 1.75",-1160,6717.64,"2026-03-17","15:45:00",-2180,"Exited at Specified Time",833216.48,87.48965517241379,821,188871142.56,1888300,"SPX","Pickle RIC v2",2922.76,1280.76,0.132,0.002,22.1,22.49,22.97,25.57,141.38,-21.55
"2026-03-17","09:40:00",6747.92,"821 Mar 17 6755 C BTO 12.85 | 821 Mar 17 6795 C STO 1.45",-1150,6713.59,"2026-03-17","11:37:00",-95,"Underlying Price Move Down",-870358.52,-92.18434782608696,821,188037926.08,1888300,"SPX","Pickle RIC v2",2922.76,1280.76,0.113,0.125,22.1,23.11,22.97,25.57,7.83,-90.87
"2026-03-16","15:30:00",6701.36,"364 Mar 18 6595 P STO 14.30 | 364 Mar 18 6800 C STO 6.70 | 364 Mar 23 6595 P BTO 42.20 | 364 Mar 23 6800 C BTO 30.75",-5205,6740.86,"2026-03-17","10:04:00",-4865,"Below Short/Long Ratio",-127487.36,-6.728914505283382,364,188908284.6,1894620,"SPX","DC 2/7 | Mon, Wed - v2",2591.68,1135.68,0.288,0.197,23.97,22.31,42.18,26.99,0.29,-7.2
"2026-03-16","14:30:00",6707.59,"297 Mar 18 6600 P STO 14.70 | 297 Mar 18 6805 C STO 6.50 | 297 Mar 20 6600 P BTO 31.60 | 297 Mar 20 6805 C BTO 21.30",-3180,6694.04,"2026-03-18","09:32:00",-2815,"Short/Long Ratio Move Down",-111446.28,-11.8,297,188759696.28,944460,"SPX","Monday 2/4 DC - v2",2114.64,926.64,0.401,0.109,23.58,23.22,42.18,33.22,10.06,-13.99
