"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-03-02","14:30:00",6896.87,"271 Mar 4 6805 P STO 11.90 | 271 Mar 4 6965 C STO 4.70 | 271 Mar 6 6805 P BTO 25.80 | 271 Mar 6 6965 C BTO 16.80",-2610,6729.24,"2026-03-03","10:18:00",-2100,"Above Delta",-140985.04,-19.93256704980843,271,5100887.4,707310,"",1929.52,845.52,0.39,0.809,20.48,26.93,-54.52,72.51,9.39,-20.69
"2026-02-23","14:30:00",6828.6,"204 Feb 25 6735 P STO 13.10 | 204 Feb 25 6915 C STO 6.35 | 204 Feb 27 6735 P BTO 31.85 | 204 Feb 27 6915 C BTO 22.70",-3520,6928.06,"2026-02-25","09:38:00",-3065,"Below Delta",-94908.96,-13.217045454545454,204,5241872.44,718080,"",1452.48,636.48,0.357,0.409,21.32,18.62,-8.26,-72.65,5.26,-13.49
"2026-02-09","14:30:00",6979.25,"343 Feb 11 6910 P STO 9.10 | 343 Feb 11 7030 C STO 4.10 | 343 Feb 13 6910 P BTO 19.50 | 343 Feb 13 7030 C BTO 15.10",-2150,6980.27,"2026-02-11","09:49:00",-1780,"Short/Long Ratio Move Down",-130422.32,-17.685581395348837,343,5336781.4,737450,"",2442.16,1070.16,0.382,0.109,16.95,16.97,-15.04,61.99,6.98,-16.74
"2026-02-02","14:30:00",6990.71,"355 Feb 4 6935 P STO 8.00 | 355 Feb 4 7040 C STO 2.95 | 355 Feb 6 6935 P BTO 18.70 | 355 Feb 6 7040 C BTO 13.55",-2140,6886.18,"2026-02-03","13:26:00",-1665,"Above Delta",-172260.2,-22.67476635514019,355,5467203.72,759700,"",2527.6,1107.6,0.34,0.774,16.12,19.25,-22.39,74.07,5.37,-25.47
"2026-01-26","14:30:00",6961.77,"300 Jan 28 6900 P STO 7.85 | 300 Jan 28 7015 C STO 3.35 | 300 Jan 30 6900 P BTO 20.45 | 300 Jan 30 7015 C BTO 15.50",-2485,6973.11,"2026-01-28","12:07:00",-2840,"Short/Long Ratio Move Down",103428,13.873641851106639,300,5639463.92,745500,"",2136,936,0.312,0.092,15.86,17.12,7.62,38.54,15.69,-0.6
"2026-01-12","14:30:00",6978.89,"478 Jan 14 6920 P STO 7.25 | 478 Jan 14 7030 C STO 4.20 | 478 Jan 16 6920 P BTO 14.65 | 478 Jan 16 7030 C BTO 12.25",-1555,6897.42,"2026-01-14","10:47:00",-1620,"Above Delta",26175.28,3.5215434083601282,478,5536035.92,743290,"",3403.36,1491.36,0.426,0.628,15.06,17.92,-22.16,34.77,23.47,-6.11
"2026-01-05","14:30:00",6908.32,"393 Jan 7 6860 P STO 6.60 | 393 Jan 7 6955 C STO 2.80 | 393 Jan 9 6860 P BTO 15.50 | 393 Jan 9 6955 C BTO 12.50",-1870,6961.45,"2026-01-07","11:58:00",-2030,"Below Delta",58855.68,8.00855614973262,393,5509860.64,734910,"",2798.16,1226.16,0.336,0.33,14.82,14.84,33.72,16.13,35.29,-2.14
"2025-12-29","14:30:00",6902.1,"1042 Dec 31 6855 P STO 6.05 | 1042 Dec 31 6950 C STO 3.45 | 1042 Jan 2 6855 P BTO 9.50 | 1042 Jan 2 6950 C BTO 6.90",-700,6877.81,"2025-12-31","12:45:00",-755,"Short/Long Ratio Move Down",46639.92,6.394285714285713,1042,5451004.96,729400,"",7419.04,3251.04,0.579,0.173,14.15,14.65,-26.34,-1.5,25,-11.43
"2025-12-22","14:30:00",6875.79,"1044 Dec 24 6840 P STO 5.15 | 1044 Dec 24 6915 C STO 2.40 | 1044 Dec 26 6840 P BTO 8.75 | 1044 Dec 26 6915 C BTO 5.45",-675,6918.77,"2025-12-24","10:11:00",-860,"Below Delta",182449.44,25.89037037037037,1044,5404365.04,704700,"",7433.28,3257.28,0.532,0.408,14.28,13.72,30.71,10.58,41.48,-7.41
"2025-12-15","14:30:00",6817.48,"322 Dec 17 6750 P STO 8.95 | 322 Dec 17 6885 C STO 4.90 | 322 Dec 19 6750 P BTO 19.70 | 322 Dec 19 6885 C BTO 15.30",-2125,6732.42,"2025-12-17","13:41:00",-2600,"Above Delta",149652.72,21.87105882352941,322,5221915.6,684250,"",2292.64,1004.64,0.396,0.447,16.52,17.58,32.78,-42.71,28.94,-9.41
"2025-12-08","14:30:00",6834.02,"291 Dec 10 6765 P STO 9.45 | 291 Dec 10 6905 C STO 5.45 | 291 Dec 12 6765 P BTO 21.40 | 291 Dec 12 6905 C BTO 16.90",-2350,6858.98,"2025-12-10","14:19:00",-2350,"Short/Long Ratio Move Down",-2979.84,-0.4357446808510639,291,5072262.88,683850,"",2071.92,907.92,0.389,0.113,16.86,16.6,4.8,-41.18,14.47,-6.81
"2025-12-01","14:30:00",6819.55,"377 Dec 3 6755 P STO 8.90 | 377 Dec 3 6880 C STO 4.80 | 377 Dec 5 6755 P BTO 18.30 | 377 Dec 5 6880 C BTO 13.35",-1805,6823.19,"2025-12-03","10:00:00",-1895,"Short/Long Ratio Move Down",30069.52,4.418836565096953,377,5075242.72,680485,"",2684.24,1176.24,0.433,0.128,17.05,16.77,-36.79,7.25,11.91,-2.49
"2025-11-24","14:30:00",6703.83,"599 Nov 26 6620 P STO 11.70 | 599 Nov 26 6780 C STO 5.10 | 599 Nov 28 6620 P BTO 17.80 | 599 Nov 28 6780 C BTO 10.40",-1150,6795.8,"2025-11-26","09:32:00",-1055,"Below Delta",-63038.76,-9.151304347826088,599,5045173.2,688850,"",4264.88,1868.88,0.596,0.7,20.7,17.87,33.55,67.29,4.78,-13.48
"2025-11-17","14:30:00",6674.78,"195 Nov 19 6575 P STO 13.50 | 195 Nov 19 6770 C STO 7.10 | 195 Nov 21 6575 P BTO 31.40 | 195 Nov 21 6770 C BTO 23.40",-3430,6640,"2025-11-19","09:42:00",-4190,"Short/Long Ratio Move Down",146203.2,21.858892128279887,195,5108211.96,668850,"",1388.4,608.4,0.376,0.104,22.19,23.65,-20.5,-38.83,24.49,-1.17
