"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-03-04","10:01:00",6837.77,"83 Mar 4 6845 C BTO 16.50 | 83 Mar 4 6885 C STO 3.85",-1275,6869.5,"2026-03-04","16:00:00",-2450,"Expired",97229.52,91.87764705882353,83,8543305.92,234060,"",295.48,0,0.233,0.002,22.19,21.34,15.06,6.08,177.65,-22.75
"2026-03-04","10:01:00",6837.77,"83 Mar 4 6830 P BTO 18.05 | 83 Mar 4 6750 P STO 2.60",-1555,6866.03,"2026-03-04","10:22:00",-535,"Underlying Price Move Up",-85084.96,-65.92411575562703,83,8446076.4,234060,"",295.48,129.48,0.144,0.168,22.19,20.75,15.06,6.08,31.19,-64.95
"2026-02-25","09:40:00",6927.95,"112 Feb 25 6930 C BTO 11.20 | 112 Feb 25 6970 C STO 0.50",-1080,6946.13,"2026-02-25","16:00:00",-1613,"Expired",59297.28,49.02222222222222,112,8531161.36,235760,"",398.72,0,0.045,0.003,18.65,17.96,25.08,12.8,97.69,-63.43
"2026-02-25","09:40:00",6927.95,"112 Feb 25 6925 P BTO 11.75 | 112 Feb 25 6845 P STO 1.50",-1035,6947.39,"2026-02-25","15:45:00",10,"Exited at Specified Time",-117613.44,-101.46086956521741,112,8471864.08,235760,"",398.72,174.72,0.128,1,18.65,18.04,25.08,12.8,21.74,-100
"2026-02-18","09:42:00",6865.63,"74 Feb 18 6870 C BTO 19.20 | 74 Feb 18 6910 C STO 3.95",-1535,6881.31,"2026-02-18","16:00:00",-1131,"Expired",-30159.44,-26.551140065146576,74,8589477.52,236800,"",263.44,0,0.206,0.004,19.81,19.53,12.26,10.15,114.33,-89.25
"2026-02-18","09:42:00",6865.63,"74 Feb 18 6860 P BTO 19.80 | 74 Feb 18 6780 P STO 3.15",-1675,6894.3,"2026-02-18","10:05:00",-600,"Underlying Price Move Up",-79928.88,-64.48477611940298,74,8619636.96,236800,"",263.44,115.44,0.159,0.147,19.81,19.01,12.26,10.15,22.69,-63.58
"2026-02-12","09:40:00",6968.94,"107 Feb 12 6965 P BTO 12.55 | 107 Feb 12 6885 P STO 1.45",-1120,6846.03,"2026-02-12","15:45:00",-7965,"Exited at Specified Time",731867.16,610.7035714285714,107,8699565.84,221490,"",380.92,166.92,0.116,0.326,17.18,20.3,16.07,11.4,613.84,-7.14
"2026-02-12","09:40:00",6968.94,"107 Feb 12 6975 C BTO 10.05 | 107 Feb 12 7015 C STO 0.55",-960,6931.28,"2026-02-12","10:39:00",-90,"Underlying Price Move Down",-93637.84,-91.15833333333333,107,7967698.68,221490,"",380.92,166.92,0.055,0.13,17.18,18,16.07,11.4,3.12,-89.58
"2026-02-10","09:59:00",6981.19,"113 Feb 10 6985 C BTO 10.70 | 113 Feb 10 7025 C STO 0.50",-1030,6945.93,"2026-02-10","15:53:00",10,"Underlying Price Move Down",-118098.56,-101.46796116504852,113,8061336.52,218655,"",402.28,176.28,0.047,1,17.22,17.79,9.67,6.7,5.34,-100
"2026-02-10","09:59:00",6981.19,"113 Feb 10 6975 P BTO 10.05 | 113 Feb 10 6895 P STO 1.00",-915,6951.14,"2026-02-10","15:45:00",-2320,"Exited at Specified Time",158186.44,152.99234972677598,113,8179435.08,218655,"",402.28,176.28,0.1,0.002,17.22,17.65,9.67,6.7,171.04,-43.72
