"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-02-20","09:45:00",6864.64,"89 Mar 13 6575 P STO 42.90 | 89 Mar 13 7060 C STO 23.35 | 89 Mar 20 6575 P BTO 55.70 | 89 Mar 20 7060 C BTO 36.80",-2640,6734.69,"2026-03-06","15:30:00",-3625,"Exited at Specified Time",86753.64,36.92272727272727,89,4370310.8,234960,"",633.68,277.68,0.716,0.571,20.51,28.28,-18.63,21.38,38.07,-2.08
"2026-02-13","09:45:00",6822.67,"102 Mar 6 6520 P STO 43.90 | 102 Mar 6 7030 C STO 24.95 | 102 Mar 13 6520 P BTO 55.20 | 102 Mar 13 7030 C BTO 36.45",-2295,6871.17,"2026-02-27","15:30:00",-2415,"Exited at Specified Time",11195.52,4.782570806100218,102,4283557.16,234090,"",726.24,318.24,0.751,0.281,21.37,19.93,1.51,-11.6,32.03,-6.54
"2026-02-06","09:45:00",6878.13,"99 Feb 27 6610 P STO 37.65 | 99 Feb 27 7070 C STO 23.70 | 99 Mar 6 6610 P BTO 49.20 | 99 Mar 6 7070 C BTO 35.60",-2360,6900.38,"2026-02-20","15:30:00",-2335,"Exited at Specified Time",-3488.76,-1.493220338983051,99,4272361.64,233640,"",704.88,308.88,0.723,0.311,19.03,19.25,18.34,61.39,17.16,-2.12
"2026-01-23","09:45:00",6903.62,"122 Feb 13 6685 P STO 31.70 | 122 Feb 13 7075 C STO 19.65 | 122 Feb 20 6685 P BTO 40.90 | 122 Feb 20 7075 C BTO 29.00",-1870,6919.94,"2026-02-06","15:30:00",-2080,"Exited at Specified Time",24370.72,10.682352941176472,122,4275850.4,228140,"",868.64,380.64,0.735,0.346,15.73,17.79,-5.5,-4.23,36.36,-1.07
"2026-01-22","09:45:00",6917.92,"131 Feb 12 6700 P STO 30.70 | 131 Feb 12 7100 C STO 18.10 | 131 Feb 19 6700 P BTO 39.55 | 131 Feb 19 7100 C BTO 26.50",-1740,6798.83,"2026-02-05","15:30:00",-2320,"Exited at Specified Time",74638.56,32.744827586206895,131,4251479.68,227940,"",932.72,408.72,0.739,0.648,15.92,21.32,38.82,3.48,39.66,-4.6
"2026-01-20","09:45:00",6855.14,"120 Feb 10 6600 P STO 37.90 | 120 Feb 10 7050 C STO 22.85 | 120 Feb 17 6600 P BTO 47.20 | 120 Feb 17 7050 C BTO 32.35",-1895,6897.35,"2026-02-03","15:30:00",-1975,"Exited at Specified Time",8371.2,3.681266490765172,120,4176841.12,227400,"",854.4,374.4,0.764,0.351,19.25,18.59,-74.77,-10.1,22.69,-6.86
"2025-12-03","09:45:00",6821.74,"118 Dec 24 6600 P STO 33.50 | 118 Dec 24 7000 C STO 20.80 | 118 Dec 31 6600 P BTO 43.15 | 118 Dec 31 7000 C BTO 30.40",-1940,6734.05,"2025-12-17","15:30:00",-1940,"Exited at Specified Time",-1208.32,-0.5278350515463918,118,4168469.92,228920,"",840.16,368.16,0.738,0.449,16.79,17.51,-14.08,6.45,9.79,-21.39
"2025-11-26","09:45:00",6803.23,"95 Dec 17 6570 P STO 33.80 | 95 Dec 17 6975 C STO 23.80 | 95 Dec 24 6570 P BTO 44.90 | 95 Dec 24 6975 C BTO 36.75",-2420,6892.34,"2025-12-10","15:30:00",-2190,"Exited at Specified Time",-22822.8,-9.927272727272726,95,4169678.24,229900,"",676.4,296.4,0.705,0.408,17.8,15.7,27.67,9.68,38.02,-100
"2025-11-03","09:45:00",6852.91,"119 Nov 24 6625 P STO 33.90 | 119 Nov 24 7050 C STO 20.80 | 119 Dec 1 6625 P BTO 43.35 | 119 Dec 1 7050 C BTO 30.65",-1945,6653.66,"2025-11-17","15:30:00",-1890,"Exited at Specified Time",-7763.56,-3.3542416452442168,119,4192501.04,231455,"",847.28,371.28,0.739,0.766,17.87,22.76,42.12,-29.41,3.6,-24.42
"2025-10-31","09:45:00",6854.12,"114 Nov 21 6630 P STO 32.80 | 114 Nov 21 7045 C STO 21.85 | 114 Nov 28 6630 P BTO 42.30 | 114 Nov 28 7045 C BTO 31.80",-1960,6744.18,"2025-11-14","15:30:00",-1640,"Exited at Specified Time",-37647.36,-16.848979591836734,114,4200264.6,223440,"",811.68,355.68,0.738,0.651,16.76,20.15,56.83,-25.05,5.61,-28.57
"2025-10-22","09:45:00",6740.42,"101 Nov 12 6510 P STO 33.35 | 101 Nov 12 6925 C STO 17.85 | 101 Nov 19 6510 P BTO 44.25 | 101 Nov 19 6925 C BTO 28.75",-2195,6822.6,"2025-10-31","13:43:00",-3075,"Profit Target",87845.76,39.624601366742596,101,4237911.96,221695,"",719.12,315.12,0.701,0.535,18.49,18.21,5.99,-0.92,42.37,-16.4
"2025-10-21","09:45:00",6733.68,"104 Nov 11 6500 P STO 33.85 | 104 Nov 11 6925 C STO 18.40 | 104 Nov 18 6500 P BTO 44.60 | 104 Nov 18 6925 C BTO 28.75",-2125,6825.75,"2025-10-31","13:10:00",-2975,"Profit Target",87335.04,39.51811764705882,104,4150066.2,221000,"",740.48,324.48,0.712,0.507,18.63,18.1,1.62,-3.07,40.94,-11.76
"2025-10-16","09:45:00",6695.6,"98 Nov 6 6430 P STO 38.40 | 98 Nov 6 6900 C STO 20.60 | 98 Nov 13 6430 P BTO 49.20 | 98 Nov 13 6900 C BTO 32.20",-2255,6834.82,"2025-10-30","15:30:00",-2645,"Exited at Specified Time",37216.48,16.840798226164083,98,4062731.16,220990,"",697.76,305.76,0.725,0.464,20.33,17.06,17.96,6.58,19.51,-17.29
"2025-10-14","09:45:00",6558.41,"103 Nov 4 6250 P STO 43.05 | 103 Nov 4 6780 C STO 25.20 | 103 Nov 11 6250 P BTO 53.15 | 103 Nov 11 6780 C BTO 36.55",-2160,6909.94,"2025-10-28","15:30:00",-1885,"Exited at Specified Time",-29379.72,-13.205555555555556,103,4025514.68,222480,"",733.36,321.36,0.761,0.888,22.79,16.46,-52.23,-44.08,23.84,-17.59
"2025-09-17","09:45:00",6605.56,"105 Oct 8 6410 P STO 28.60 | 105 Oct 8 6775 C STO 18.35 | 105 Oct 15 6410 P BTO 38.15 | 105 Oct 15 6775 C BTO 28.30",-1965,6715.69,"2025-10-01","15:30:00",-2690,"Exited at Specified Time",75049.8,36.37455470737913,105,4054894.4,206325,"",747.6,327.6,0.707,0.357,16.14,15.99,-1.89,0.69,40.2,-6.87
"2025-09-16","09:45:00",6616.15,"110 Oct 7 6430 P STO 27.90 | 110 Oct 7 6775 C STO 18.35 | 110 Oct 14 6430 P BTO 36.85 | 110 Oct 14 6775 C BTO 28.00",-1875,6678.81,"2025-09-30","15:30:00",-2195,"Exited at Specified Time",34073.6,16.520533333333333,110,3979844.6,206250,"",783.2,343.2,0.713,0.284,15.85,16.15,8.85,-7.98,36.27,-10.67
"2025-09-15","09:45:00",6603.39,"109 Oct 6 6430 P STO 25.75 | 109 Oct 6 6750 C STO 18.15 | 109 Oct 13 6430 P BTO 34.60 | 109 Oct 13 6750 C BTO 28.00",-1885,6693.88,"2025-09-23","09:45:00",-2640,"Profit Target",81178.84,39.50981432360743,109,3945771,205465,"",776.08,340.08,0.701,0.622,15.08,16.14,19.2,-0.1,41.11,-4.77
"2025-09-12","09:45:00",6584.82,"114 Oct 3 6410 P STO 26.25 | 114 Oct 3 6730 C STO 17.85 | 114 Oct 10 6410 P BTO 34.95 | 114 Oct 10 6730 C BTO 27.10",-1810,6663.3,"2025-09-22","10:21:00",-2535,"Profit Target",81482.64,39.48950276243094,114,3864592.16,206340,"",811.68,355.68,0.711,0.583,14.69,15.92,3.19,-5.84,41.44,-6.63
"2025-09-02","09:45:00",6381.78,"99 Sep 23 6150 P STO 33.95 | 99 Sep 23 6550 C STO 19.00 | 99 Sep 30 6150 P BTO 42.80 | 99 Sep 30 6550 C BTO 30.10",-2010,6609.24,"2025-09-16","15:30:00",-2195,"Exited at Specified Time",17301.24,8.694527363184081,99,3783109.52,198990,"",704.88,308.88,0.726,0.805,18.65,16.26,-58.75,-19.73,16.42,-17.66
"2025-08-28","09:45:00",6486.41,"113 Sep 18 6320 P STO 25.35 | 113 Sep 18 6625 C STO 15.85 | 113 Sep 25 6320 P BTO 33.90 | 113 Sep 25 6625 C BTO 24.90",-1775,6587.27,"2025-09-11","15:30:00",-2295,"Exited at Specified Time",57602.88,28.718873239436622,113,3765808.28,200575,"",804.56,352.56,0.701,0.513,14.31,14.76,2.44,2.57,32.11,-9.01
"2025-08-27","09:45:00",6467.9,"109 Sep 17 6290 P STO 25.45 | 109 Sep 17 6600 C STO 19.05 | 109 Sep 24 6290 P BTO 34.05 | 109 Sep 24 6600 C BTO 28.65",-1835,6518.43,"2025-09-10","15:30:00",-2130,"Exited at Specified Time",31038.84,15.51825613079019,109,3708205.4,200015,"",776.08,340.08,0.71,0.402,14.84,15.54,-3.68,5.64,20.98,-28.88
"2025-08-22","09:45:00",6408.42,"98 Sep 12 6210 P STO 29.70 | 98 Sep 12 6560 C STO 18.95 | 98 Sep 19 6210 P BTO 39.70 | 98 Sep 19 6560 C BTO 29.20",-2040,6482.03,"2025-09-05","15:30:00",-2355,"Exited at Specified Time",29866.48,14.93921568627451,98,3677166.56,199920,"",697.76,305.76,0.706,0.307,16.17,15.27,14.42,23.83,27.45,-4.41
"2025-08-08","09:45:00",6365.65,"114 Aug 29 6170 P STO 28.50 | 114 Aug 29 6520 C STO 18.55 | 114 Sep 5 6170 P BTO 37.35 | 114 Sep 5 6520 C BTO 27.00",-1745,6464.67,"2025-08-22","15:30:00",-1830,"Exited at Specified Time",8522.64,4.284240687679083,114,3647300.08,198930,"",811.68,355.68,0.731,0.491,16.11,14.4,15.22,10.43,17.48,-5.44
"2025-08-07","09:45:00",6382.07,"125 Aug 28 6190 P STO 29.40 | 125 Aug 28 6550 C STO 15.70 | 125 Sep 4 6190 P BTO 37.50 | 125 Sep 4 6550 C BTO 23.25",-1580,6373.44,"2025-08-21","15:30:00",-1440,"Exited at Specified Time",-18780,-9.508860759493672,125,3638777.44,197500,"",890,390,0.742,0.425,16.31,16.55,29.26,7.75,3.8,-16.46
"2025-08-01","09:45:00",6240.39,"96 Aug 22 5990 P STO 37.20 | 96 Aug 22 6430 C STO 21.20 | 96 Aug 29 5990 P BTO 47.20 | 96 Aug 29 6430 C BTO 31.95",-2090,6454.29,"2025-08-15","15:30:00",-2480,"Exited at Specified Time",36456.96,18.170334928229664,96,3657557.44,200640,"",683.52,299.52,0.738,0.695,20.17,14.98,-52.11,-46.89,20.57,-4.31
"2025-07-24","09:45:00",6367.15,"116 Aug 14 6190 P STO 25.15 | 116 Aug 14 6525 C STO 15.60 | 116 Aug 21 6190 P BTO 33.80 | 116 Aug 21 6525 C BTO 24.05",-1725,6321.9,"2025-08-07","15:30:00",-1760,"Exited at Specified Time",2872.16,1.4353623188405795,116,3621100.48,200100,"",825.92,361.92,0.704,0.451,15.15,17.34,9.69,-1.45,9.28,-11.59
"2025-07-23","09:45:00",6327.52,"109 Aug 13 6150 P STO 27.70 | 109 Aug 13 6500 C STO 15.55 | 109 Aug 20 6150 P BTO 37.45 | 109 Aug 20 6500 C BTO 24.05",-1840,6348.97,"2025-08-06","15:30:00",-1650,"Exited at Specified Time",-21826.16,-10.882608695652173,109,3618228.32,200560,"",776.08,340.08,0.703,0.311,16.03,16.7,17.28,0.62,31.25,-13.32
"2025-07-22","09:45:00",6309.64,"104 Aug 12 6120 P STO 28.65 | 104 Aug 12 6475 C STO 19.75 | 104 Aug 19 6120 P BTO 38.40 | 104 Aug 19 6475 C BTO 29.00",-1915,6308.92,"2025-08-05","15:30:00",-1820,"Exited at Specified Time",-10944.96,-5.49556135770235,104,3640054.48,199160,"",740.48,324.48,0.718,0.341,16.83,17.66,1,3.04,9.92,-10.18
"2025-07-11","09:45:00",6240.21,"101 Aug 1 6050 P STO 29.25 | 101 Aug 1 6410 C STO 20.90 | 101 Aug 8 6050 P BTO 39.10 | 101 Aug 8 6410 C BTO 30.70",-1980,6393.38,"2025-07-25","15:30:00",-2000,"Exited at Specified Time",985.76,0.4929292929292929,101,3650999.44,199980,"",719.12,315.12,0.718,0.65,16.82,15.12,-24.78,-15.47,14.14,-8.84
