"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-02-12","09:32:00",6961.48,"24 Feb 13 6935 P BTO 17.00 | 24 Feb 13 6850 P STO 4.25",-1285,6837.21,"2026-02-12","15:55:00",-5930,"Exited at Specified Time",111357.12,361.0801556420233,24,1684012.36,30840,"",85.44,37.44,0.25,0.393,17.38,20.71,16.07,3.94,391.44,-17.9
"2026-01-22","09:32:00",6924.49,"28 Jan 23 6905 P BTO 14.00 | 28 Jan 23 6835 P STO 3.25",-1085,6911.34,"2026-01-22","15:55:00",-1115,"Exited at Specified Time",696.64,2.293087557603686,28,1572655.24,30380,"",99.68,43.68,0.232,0.17,15.83,15.63,38.82,10.05,88.94,-44.7
"2026-01-15","09:32:00",6970.09,"32 Jan 16 6950 P BTO 12.70 | 32 Jan 16 6885 P STO 3.35",-945,6944.03,"2026-01-15","15:55:00",-1545,"Exited at Specified Time",19036.16,62.95026455026454,32,1571958.6,30240,"",113.92,49.92,0.264,0.175,15.68,15.84,42.86,0.63,87.83,-44.44
"2025-12-18","09:32:00",6793.53,"22 Dec 19 6765 P BTO 18.20 | 22 Dec 19 6675 P STO 4.50",-1380,6782.79,"2025-12-18","15:55:00",-1395,"Exited at Specified Time",217.36,0.7159420289855073,22,1552922.44,30360,"",78.32,34.32,0.247,0.141,16.35,16.54,56.63,15.47,72.1,-49.28
"2025-12-04","09:32:00",6862.2,"31 Dec 5 6840 P BTO 12.90 | 31 Dec 5 6775 P STO 3.15",-985,6849.21,"2025-12-04","15:55:00",-1025,"Exited at Specified Time",1081.28,3.5411167512690356,31,1552705.08,30535,"",110.36,48.36,0.244,0.145,16.01,15.81,16.75,-4.27,98.48,-16.75
"2025-11-20","09:32:00",6751.17,"18 Nov 21 6720 P BTO 20.85 | 18 Nov 21 6620 P STO 5.20",-1575,6543.82,"2025-11-20","15:55:00",-8805,"Exited at Specified Time",130047.84,458.72253968253966,18,1551623.8,28350,"",64.08,28.08,0.249,0.494,19.35,26.38,95.77,13.24,460.63,-36.19
"2025-10-16","09:32:00",6696.85,"19 Oct 17 6665 P BTO 19.00 | 19 Oct 17 6560 P STO 4.90",-1420,6631.17,"2025-10-16","15:55:00",-3745,"Exited at Specified Time",44077.72,163.3718309859155,19,1421575.96,26980,"",67.64,29.64,0.258,0.24,20.21,24.45,17.96,7.83,271.13,-21.48
"2025-10-09","09:32:00",6763.02,"35 Oct 10 6745 P BTO 10.40 | 35 Oct 10 6680 P STO 2.95",-755,6735.63,"2025-10-09","15:55:00",-1430,"Exited at Specified Time",23445.8,88.72582781456954,35,1377498.24,26425,"",124.6,54.6,0.284,0.2,16.35,16.43,6.78,2.52,215.23,0
"2025-10-02","09:32:00",6729.15,"35 Oct 3 6710 P BTO 10.20 | 35 Oct 3 6650 P STO 2.80",-750,6714.56,"2025-10-02","15:55:00",-890,"Exited at Specified Time",4720.8,17.984,35,1354052.44,26250,"",124.6,54.6,0.275,0.227,16,16.63,20.11,-2.16,160,-5.33
"2025-09-18","09:32:00",6630.62,"24 Sep 19 6610 P BTO 14.30 | 24 Sep 19 6535 P STO 3.25",-1115,6647.74,"2025-09-18","12:39:00",-540,"Stop Loss",-13922.88,-52.0286995515695,24,1349331.64,26760,"",85.44,37.44,0.227,0.286,15.19,15.43,26.5,3.77,45.74,-50.67
