"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-03-02","12:17:00",6884.41,"2 Mar 2 6855 P STO 3.35 | 4 Mar 2 6905 C STO 2.80 | 2 Mar 2 6755 P BTO 0.45 | 4 Mar 2 6955 C BTO 0.15",810,6877.14,"2026-03-02","15:45:00",55,"Exited at Specified Time",1481.2,91.4320987654321,2,1166541.2,18380,"",14.4,14.4,11.933,3.333,20.88,21.43,-54.52,60.05,95.68,-1.23
"2026-02-26","10:19:00",6883.3,"2 Feb 26 6800 P STO 3.45 | 4 Feb 26 6935 C STO 3.15 | 2 Feb 26 6700 P BTO 0.60 | 4 Feb 26 6985 C BTO 0.20",865,6909.04,"2026-02-26","15:45:00",25,"Exited at Specified Time",1651.2,95.44508670520231,2,1165060,18270,"",14.4,14.4,9.75,1,19.92,18.51,-1.39,-61.44,99.42,0
"2026-02-26","09:32:00",6942.87,"2 Feb 26 6875 P STO 3.45 | 4 Feb 26 6985 C STO 2.70 | 2 Feb 26 6775 P BTO 0.45 | 4 Feb 26 7035 C BTO 0.15",800,6887.75,"2026-02-26","10:17:00",1280,"Stop Loss",-988.8,-61.8,2,1163408.8,18400,"",14.4,14.4,11.8,8.15,17.88,19.77,-1.39,-1.87,34.38,-77.5
"2026-02-24","10:29:00",6878.45,"2 Feb 24 6840 P STO 3.75 | 4 Feb 24 6905 C STO 2.50 | 2 Feb 24 6740 P BTO 0.35 | 4 Feb 24 6955 C BTO 0.10",810,6888.49,"2026-02-24","15:45:00",40,"Exited at Specified Time",1511.2,93.28395061728395,2,1164397.6,18380,"",14.4,14.4,15.909,2.333,19.88,19.48,-0.38,41.08,98.77,-9.26
"2026-02-23","09:32:00",6905.83,"2 Feb 23 6840 P STO 3.60 | 4 Feb 23 6945 C STO 2.80 | 2 Feb 23 6740 P BTO 0.55 | 4 Feb 23 6995 C BTO 0.10",835,6843.49,"2026-02-23","10:53:00",1315,"Stop Loss",-988.8,-59.20958083832335,2,1162886.4,18330,"",14.4,14.4,12.267,14.857,19.67,21.16,-8.26,4.58,25.75,-81.44
"2026-02-20","10:02:00",6907.07,"2 Feb 20 6815 P STO 3.55 | 4 Feb 20 6980 C STO 2.95 | 2 Feb 20 6715 P BTO 0.65 | 4 Feb 20 7030 C BTO 0.85",700,6907.28,"2026-02-20","15:45:00",25,"Exited at Specified Time",1321.2,94.37142857142857,2,1163875.2,18600,"",14.4,14.4,4.021,1,19.32,19.06,-18.63,63.81,99.29,-17.14
"2026-02-10","09:32:00",6975.57,"2 Feb 10 6930 P STO 3.55 | 4 Feb 10 7000 C STO 3.15 | 2 Feb 10 6830 P BTO 0.30 | 4 Feb 10 7050 C BTO 0.10",925,6951.14,"2026-02-10","15:45:00",30,"Exited at Specified Time",1761.2,95.2,2,1162554,18150,"",14.4,14.4,19.7,1.667,17.35,17.65,9.67,1.08,98.92,-16.76
"2026-02-09","11:55:00",6975.65,"2 Feb 9 6960 P STO 3.45 | 4 Feb 9 6985 C STO 3.65 | 2 Feb 9 6860 P BTO 0.25 | 4 Feb 9 7035 C BTO 0.10",1020,6967.8,"2026-02-09","15:45:00",105,"Exited at Specified Time",1801.2,88.29411764705883,2,1160792.8,17960,"",14.4,14.4,23.889,6.667,17.08,17.28,-15.04,58.39,91.67,-5.88
"2026-02-09","11:00:00",6964.64,"2 Feb 9 6940 P STO 3.30 | 4 Feb 9 6980 C STO 2.95 | 2 Feb 9 6840 P BTO 0.35 | 4 Feb 9 7030 C BTO 0.10",855,6977.05,"2026-02-09","11:53:00",1335,"Stop Loss",-988.8,-57.82456140350877,2,1158991.6,18290,"",14.4,14.4,16.727,34.125,17.29,17.06,-15.04,47.38,21.64,-60.82
"2026-02-09","09:40:00",6933.91,"2 Feb 9 6870 P STO 3.65 | 4 Feb 9 6970 C STO 3.15 | 2 Feb 9 6770 P BTO 0.50 | 4 Feb 9 7020 C BTO 0.20",895,6966.51,"2026-02-09","10:58:00",1375,"Stop Loss",-988.8,-55.240223463687144,2,1159980.4,18210,"",14.4,14.4,11.056,27.636,18.13,17.3,-15.04,16.65,49.16,-65.92
"2026-02-03","10:03:00",6944.4,"2 Feb 3 6895 P STO 3.75 | 4 Feb 3 6980 C STO 2.90 | 2 Feb 3 6795 P BTO 0.40 | 4 Feb 3 7030 C BTO 0.20",865,6898.87,"2026-02-03","12:42:00",1345,"Stop Loss",-988.8,-57.156069364161844,2,1160969.2,18270,"",14.4,14.4,11.938,18.8,17.36,18.87,9.01,-41.05,60.69,-56.65
